company_name,url,signal_url,normalized_name,normalized_domain,prefilter,prefilter_reason,classification,audit_reason,contact_url,contact_check,evidence_url,service_match
Ritz株式会社,https://ritz-inc.jp/,https://ritz-inc.jp/recruit/,ritz,ritz-inc.jp,pass,,除外,第三者向け受託根拠未確認,https://ritz-inc.jp/contact/,real_form_confirmed,https://ritz-inc.jp/ ; https://ritz-inc.jp/contact/,False
株式会社エイト,https://gw.8grp.co.jp/,https://gw.8grp.co.jp/hr/,エイト,gw.8grp.co.jp,pass,,除外,第三者向け受託根拠未確認,,site_fetch_failed:HTTPError,,False
オールジョブ株式会社,https://www.all-job.jp/,https://www.all-job.jp/recruit/,オールジョブ,all-job.jp,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://www.all-job.jp/contact/,real_form_confirmed,https://www.all-job.jp/ ; https://www.all-job.jp/contact/,True
BEASTAR株式会社,https://bea-star.co.jp/,https://bea-star.co.jp/recruit/,beastar,bea-star.co.jp,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://bea-star.co.jp/contact/,real_form_confirmed,https://bea-star.co.jp/ ; https://bea-star.co.jp/contact/,True
アルファクリエイト株式会社,https://www.alpha-create.ne.jp/,https://www.alpha-create.ne.jp/recruit/entry,アルファクリエイト,alpha-create.ne.jp,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://www.alpha-create.ne.jp/contact,real_form_confirmed,https://www.alpha-create.ne.jp/ ; https://www.alpha-create.ne.jp/contact,True
株式会社ONE CRUISE,https://www.onecruise.co.jp/,https://www.green-japan.com/company/8911/job/254998,onecruise,onecruise.co.jp,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://www.onecruise.co.jp/contact/,real_form_confirmed,https://www.onecruise.co.jp/ ; https://www.onecruise.co.jp/contact/,True
株式会社SIORU,https://sioru-design.com/,https://sioru-design.com/saiyo/,sioru,sioru-design.com,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://sioru-design.com/contact/,real_form_confirmed,https://sioru-design.com/ ; https://sioru-design.com/contact/,True
株式会社WeBridge,https://webridge.co.jp/,https://webridge.co.jp/recruit/,webridge,webridge.co.jp,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://webridge.co.jp/service-contact/,real_form_confirmed,https://webridge.co.jp/ ; https://webridge.co.jp/service-contact/,True
株式会社BLITZ Marketing,https://blitz-marketing.co.jp/,https://blitz-marketing.co.jp/recruit-info/,blitzmarketing,blitz-marketing.co.jp,pass,,除外,事業規模・多角化が個人事業主の提携先想定を超えるため,,enterprise_or_group,https://blitz-marketing.co.jp/,
株式会社TUKURO,https://tukuro.jp/,https://www.wantedly.com/projects/2508222,tukuro,tukuro.jp,pass,,除外,第三者向け受託根拠未確認,,site_fetch_failed:ConnectTimeout,,False
株式会社ビジネスアシスト,https://www.b-assist.co.jp/,https://recruit.b-assist.co.jp/,ビジネスアシスト,b-assist.co.jp,pass,,除外,第三者向け受託根拠未確認,,no_contact_link,https://b-assist.co.jp/,False
株式会社Textrade,https://business.textrade.org/,https://business.textrade.org/about/,textrade,business.textrade.org,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://business.textrade.org/contact/,real_form_confirmed,https://business.textrade.org/ ; https://business.textrade.org/contact/,True
株式会社Hasukon,https://hasukon.com/,https://hasukon.com/,hasukon,hasukon.com,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://hasukon.com/contact/,real_form_confirmed,https://hasukon.com/ ; https://hasukon.com/contact/,True
株式会社オレンジゲート,https://www.orangegate.co.jp/,https://www.orangegate.co.jp/,オレンジゲート,orangegate.co.jp,pass,,除外,第三者向け受託根拠未確認,https://www.orangegate.co.jp/contact/,real_form_confirmed,https://www.orangegate.co.jp/ ; https://www.orangegate.co.jp/contact/,False
株式会社Giving First,https://g1st.co.jp/,https://g1st.co.jp/service/website/,givingfirst,g1st.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,contact_page_no_form,https://g1st.co.jp/,True
株式会社AdOps,https://adops.co.jp/,https://www.wantedly.com/projects/711074,adops,adops.co.jp,pass,,送付対象,第三者向けWeb・広告・SNS・販促受託と実在フォームを確認,https://adops.co.jp/contact/,real_form_confirmed,https://adops.co.jp/ ; https://adops.co.jp/contact/,True
株式会社トランス,https://www.trans.co.jp/,https://doda.jp/DodaFront/View/EndJobDetail/j_id__3007099883/,トランス,trans.co.jp,pass,,除外,上場企業トランザクショングループの連結子会社,,enterprise_or_group,https://www.trans.co.jp/,
株式会社NDPマーケティング,https://www.ndpmarketing.co.jp/,https://www.ndpmarketing.co.jp/,ndpマーケティング,ndpmarketing.co.jp,pass,,除外,大手デジタル広告案件中心で規模適合性が低いため,,enterprise_or_group,https://www.ndpmarketing.co.jp/,
