sheet_row,company_name,url,contact_url,proposal_class,previous_comment,group,decision,comment,adopted,client_hits,service_hits,recurring_hits,negative_hits,form_ok,official_status,contact_status,evidence_urls,prior_classification
2,D-Style,https://www.dental-hp.net/,https://www.dental-hp.net/info/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.dental-hp.net/ ; https://www.dental-hp.net/service/index.html ; https://www.dental-hp.net/service/design.html｜監査日=2026-08-12,yes,,,,,yes,200,200,https://www.dental-hp.net/ / https://www.dental-hp.net/service/index.html / https://www.dental-hp.net/service/design.html,review_insufficient_evidence
3,株式会社ナルコーム,https://www.narcohm.co.jp/hp/,https://www.narcohm.co.jp/hp/inquiry/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.narcohm.co.jp/hp/ ; https://www.narcohm.co.jp/hp/service.html ; https://www.narcohm.co.jp/hp/service.html#service1｜監査日=2026-08-12,yes,,,,,yes,200,200,https://www.narcohm.co.jp/hp/ / https://www.narcohm.co.jp/hp/service.html / https://www.narcohm.co.jp/hp/service.html#service1,review_insufficient_evidence
4,Doctor Web Atelier,https://dental-web-atelier.com/,https://dental-web-atelier.com/#contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,除外｜C｜S｜業界特化Web制作,【除外根拠】実在する問い合わせフォーム未確認｜【確認事実】顧客=医院 / クリニック / 歯科｜受託=ホームページ制作 / 広告運用 / seo対策｜継続支援=明記あり：広告運用 / 公開後 / 月額に含まれる運用 / 運用まで見通して整えます。。。。。月額 / 定期的に確認し、改善｜窓口=実フォーム未確認｜根拠URL=https://dental-web-atelier.com/ ; https://dental-web-atelier.com/#price ; https://dental-web-atelier.com/flow｜監査日=2026-08-12,no,医院 / クリニック / 歯科,ホームページ制作 / 広告運用 / seo対策,広告運用 / 公開後 / 月額に含まれる運用 / 運用まで見通して整えます。。。。。月額 / 定期的に確認し、改善,予約システム,no,200,200,https://dental-web-atelier.com/ / https://dental-web-atelier.com/#price / https://dental-web-atelier.com/flow,keep_partner_fit
5,株式会社シルベ,https://www.shirube365.com/,https://www.shirube365.com/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=店舗 / 医院 / クリニック / サロン / ジム｜受託=ホームページ制作 / サイト制作 / 広告運用 / sns運用 / line運用 / ブランディング / seo対策 / meo対策｜継続支援=明記あり：運用代行 / 広告運用 / sns運用 / line運用 / 改善支援 / 運営支援 / 運用サポート。。月額 / 継続的な運用｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.shirube365.com/ ; https://www.shirube365.com/#naiyou ; https://www.shirube365.com/#plan｜監査日=2026-08-12,yes,店舗 / 医院 / クリニック / サロン / ジム,ホームページ制作 / サイト制作 / 広告運用 / sns運用 / line運用 / ブランディング / seo対策 / meo対策,運用代行 / 広告運用 / sns運用 / line運用 / 改善支援 / 運営支援 / 運用サポート。。月額 / 継続的な運用,,yes,200,200,https://www.shirube365.com/ / https://www.shirube365.com/#naiyou / https://www.shirube365.com/#plan / https://www.shirube365.com/aboutus,keep_partner_fit
6,クリニックファースト,https://clinic-first.com/,https://clinic-first.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック｜受託=ホームページ制作｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://clinic-first.com/ ; https://clinic-first.com/service/｜監査日=2026-08-12,yes,医院 / クリニック,ホームページ制作,,予約システム,yes,200,200,https://clinic-first.com/ / https://clinic-first.com/service/,keep_partner_fit
7,株式会社グローバルユニティ,https://www.global-unity.jp/,https://www.global-unity.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=店舗 / 医院 / クリニック / 歯科 / ジム｜受託=ホームページ制作 / サイト制作 / ブランディング / プロモーション / seo対策 / meo対策｜継続支援=明記あり：運用代行 / webコンサルティング｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.global-unity.jp/ ; https://www.global-unity.jp/company/ ; https://www.global-unity.jp/product/｜監査日=2026-08-12,yes,店舗 / 医院 / クリニック / 歯科 / ジム,ホームページ制作 / サイト制作 / ブランディング / プロモーション / seo対策 / meo対策,運用代行 / webコンサルティング,予約システム,yes,200,200,https://www.global-unity.jp/ / https://www.global-unity.jp/company/ / https://www.global-unity.jp/product/,keep_partner_fit
8,株式会社ヒーローイノベーション,https://shika-promotion.com/,https://shika-promotion.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科 / クライアント様｜受託=ホームページ制作 / サイト制作 / webマーケティング / 広告運用 / ブランディング / プロモーション / seo対策 / meo対策｜継続支援=明記あり：広告運用 / 公開後｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://shika-promotion.com/ ; https://shika-promotion.com/support/ ; https://shika-promotion.com/kyosei/｜監査日=2026-08-12,yes,医院 / クリニック / 歯科 / クライアント様,ホームページ制作 / サイト制作 / webマーケティング / 広告運用 / ブランディング / プロモーション / seo対策 / meo対策,広告運用 / 公開後,クラウドサービス / 予約システム,yes,200,200,https://shika-promotion.com/ / https://shika-promotion.com/support/ / https://shika-promotion.com/kyosei/ / https://shika-promotion.com/company/,keep_partner_fit
9,株式会社アイプラス,https://www.iplus-web.co.jp/,https://www.iplus-web.co.jp/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,除外｜C｜S｜業界特化Web制作,【除外根拠】実在する問い合わせフォーム未確認｜【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム未確認｜監査日=2026-08-12,no,,,,,no,0,0,,keep_partner_fit
10,株式会社Method Innovation,https://www.method-innovation.co.jp/,https://www.method-innovation.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科 / 飲食店｜受託=ホームページ制作 / 広告運用 / seo対策 / meo対策｜継続支援=明記あり：広告運用｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.method-innovation.co.jp/ ; https://www.method-innovation.co.jp/shinki_llmo_contact/ ; https://www.method-innovation.co.jp/shinki_meo_contact/｜監査日=2026-08-12,yes,医院 / クリニック / 歯科 / 飲食店,ホームページ制作 / 広告運用 / seo対策 / meo対策,広告運用,,yes,200,200,https://www.method-innovation.co.jp/ / https://www.method-innovation.co.jp/shinki_llmo_contact/ / https://www.method-innovation.co.jp/shinki_meo_contact/ / https://www.method-innovation.co.jp/services/,keep_partner_fit
11,東京デジタルビームス合同会社,https://www.hospital-web.net/,https://www.hospital-web.net/asking/index.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,C,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.hospital-web.net/ ; https://www.hospital-web.net/service/index.html ; https://www.hospital-web.net/works/index.html｜監査日=2026-08-12,yes,,,,,yes,200,200,https://www.hospital-web.net/ / https://www.hospital-web.net/service/index.html / https://www.hospital-web.net/works/index.html / https://www.hospital-web.net/company/index.html,review_insufficient_evidence
