顧客名,榊原税理士事務所,,,,,,,,,,,,
業種,税理士（士業）,,,,,,,,,,,,
GBPカテゴリ,税理士,,,,,,,,,,,,
開始月,2026年1月,,,,,,,,,,,,
目標口コミ数,20,,,,,,,,,,,,
除外ルール,posts,views_down,calls,,,,,,,,,,,
,,,,,,,,,,,,,
■ パフォーマンス指標（GBP管理画面→パフォーマンスから取得）,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,前年比備考
閲覧数（合計）,120,146,145,,,,,,,,,,
ウェブサイトクリック数,9,2,4,,,,,,,,,,
ルート検索数,64,44,36,,,,,,,,,,
電話発信数,0,1,0,,,,,,,,,,
メッセージ数,,,,,,,,,,,,,
予約数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 口コミ,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
口コミ総数（累計）,0,2,2,,,,,,,,,,
当月新規口コミ数,,2,0,,,,,,,,,,
平均評価（★）,,5.0,5.0,,,,,,,,,,
返信率（%）,,100,100,,,,,,,,,,
返信平均時間（h）,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 投稿,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
当月投稿数,2,2,2,,,,,,,,,,
├ 最新情報,2,2,2,,,,,,,,,,
├ 特典（クーポン）,,,,,,,,,,,,,
├ イベント,,,,,,,,,,,,,
└ FAQ型投稿,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 写真,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
写真総枚数（累計）,,,,,,,,,,,,,
当月追加枚数,,,,,,,,,,,,,
写真閲覧数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 検索クエリTOP10（月ごとに記録）,,,,,,,,,,,,,
順位,1月KW,1月表示回数,2月KW,2月表示回数,3月KW,3月表示回数,4月KW,4月表示回数,5月KW,5月表示回数,6月KW,6月表示回数,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 競合ベンチマーク（四半期更新推奨）,,,,,,,,,,,,,
競合名,Q1口コミ数,Q1評価,Q2口コミ数,Q2評価,Q3口コミ数,Q3評価,Q4口コミ数,Q4評価,,,,,
競合1: 税理士法人松本 大阪オフィス,201,5.0,,,,,,,,,,,
競合2: 川村会計事務所,44,5.0,,,,,,,,,,,
競合3: 浦野会計事務所,25,4.5,,,,,,,,,,,
自社: 榊原税理士事務所,2,5.0,,,,,,,,,,,
,,,,,,,,,,,,,
■ MEO順位（手動or外部ツール）,,,,,,,,,,,,,
対策キーワード,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
KW1:,,,,,,,,,,,,,,
KW2:,,,,,,,,,,,,,,
KW3:,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 月次アクションログ,,,,,,,,,,,,,
月,実施した施策,成果・気づき,,,,,,,,,,,,
1月,,,,,,,,,,,,,
2月,,,,,,,,,,,,,
3月,,,,,,,,,,,,,
