顧客名,みち,,,,,,,,,,,,
業種,お好み焼き屋（飲食店）,,,,,,,,,,,,
GBPカテゴリ,お好み焼き屋,,,,,,,,,,,,
開始月,2026年1月,,,,,,,,,,,,
目標口コミ数,80,,,,,,,,,,,,
対策エリア,東加古川・加古川市,,,,,,,,,,,,
主要サービス,お好み焼き・鉄板焼き,,,,,,,,,,,,
個別メッセージ,選ばれるために、口コミ促進と定期的に投稿をしていきましょう。,,,,,,,,,,,,
,,,,,,,,,,,,,
■ パフォーマンス指標（GBP管理画面→パフォーマンスから取得）,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,前年比備考
閲覧数（合計）,4833,4042,5475,,,,,,,,,,
ウェブサイトクリック数,31,28,20,,,,,,,,,,
ルート検索数,89,73,80,,,,,,,,,,
電話発信数,6,17,18,,,,,,,,,,
メッセージ数,,,,,,,,,,,,,
予約数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 口コミ,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
口コミ総数（累計）,46,46,47,,,,,,,,,,開始時点46件 4.5★
当月新規口コミ数,0,0,1,,,,,,,,,,
平均評価（★）,4.5,4.5,4.5,,,,,,,,,,
返信率（%）,,,,,,,,,,,,,※返信率要確認
返信平均時間（h）,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 投稿,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
当月投稿数,0,0,0,,,,,,,,,,最終投稿2025/10/09
├ 最新情報,0,0,0,,,,,,,,,,
├ 特典（クーポン）,,,,,,,,,,,,,
├ イベント,,,,,,,,,,,,,
└ FAQ型投稿,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 写真,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
写真総枚数（累計）,,,14,,,,,,,,,,"外観○ 内観○ メニュー○ スタッフ×"
当月追加枚数,,,0,,,,,,,,,,
写真閲覧数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 検索クエリTOP10（月ごとに記録）,,,,,,,,,,,,,
順位,1月KW,1月表示回数,2月KW,2月表示回数,3月KW,3月表示回数,4月KW,4月表示回数,5月KW,5月表示回数,6月KW,6月表示回数,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 競合ベンチマーク（四半期更新推奨）,,,,,,,,,,,,,
競合名,Q1口コミ数,Q1評価,Q2口コミ数,Q2評価,Q3口コミ数,Q3評価,Q4口コミ数,Q4評価,,,,,
競合1: 美郷,88,4.3,,,,,,,,,,,
競合2: まごみ,87,4.1,,,,,,,,,,,
競合3: お好み焼 はよし本店,84,4.0,,,,,,,,,,,
競合4: お好み焼きの鉄板バル ORIGAMI,48,4.5,,,,,,,,,,,
競合5: たこ八,37,4.4,,,,,,,,,,,
自社: みち,47,4.5,,,,,,,,,,,
,,,,,,,,,,,,,
■ MEO順位（手動or外部ツール）,,,,,,,,,,,,,
対策キーワード,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
KW1: お好み焼き 東加古川,,,,,,,,,,,,,,
KW2: お好み焼き 加古川,,,,,,,,,,,,,,
KW3: 鉄板焼き 東加古川,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 月次アクションログ,,,,,,,,,,,,,
月,実施した施策,成果・気づき,,,,,,,,,,,,
1月,なし,GBP運用未開始,,,,,,,,,,,
2月,なし,GBP運用未開始,,,,,,,,,,,
3月,GBP診断実施,初期診断実施→改善計画策定,,,,,,,,,,,
4月,,,,,,,,,,,,,
5月,,,,,,,,,,,,,
6月,,,,,,,,,,,,,
7月,,,,,,,,,,,,,
8月,,,,,,,,,,,,,
9月,,,,,,,,,,,,,
10月,,,,,,,,,,,,,
11月,,,,,,,,,,,,,
12月,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 改善TODO（優先度順）,,,,,,,,,,,,,
優先度,施策,期限,ステータス,,,,,,,,,,
1,口コミ返信の実施（全件返信を目標）,4月1週目,未着手,,,,,,,,,,
2,GBP説明文の新規作成（500文字以上）,4月1週目,未着手,,,,,,,,,,
3,投稿再開（5ヶ月以上空白→週2回ペース目標）,4月〜継続,未着手,,,,,,,,,,
4,スタッフ写真の追加,4月中,未着手,,,,,,,,,,
5,写真追加（計30枚以上目標）,4月中,未着手,,,,,,,,,,
6,口コミ獲得の仕組み化（会計時の声がけ＋QRコード設置）,4月中,未着手,,,,,,,,,,
7,ウェブサイトの設定（YouTubeリンク→公式サイトに変更推奨）,早期,未着手,,,,,,,,,,
