顧客名,芝本司法書士事務所,,,,,,,,,,,,
業種,司法書士（士業）,,,,,,,,,,,,
GBPカテゴリ,司法書士,,,,,,,,,,,,
開始月,2026年1月,,,,,,,,,,,,
目標口コミ数,20,,,,,,,,,,,,
対策エリア,加古川市・姫路市・明石市・高砂市,,,,,,,,,,,,
主要サービス,相続登記・成年後見・不動産名義変更,,,,,,,,,,,,
個別メッセージ,まずは相談されたお客様へ口コミ促進をしていきましょう。,,,,,,,,,,,,
,,,,,,,,,,,,,
■ パフォーマンス指標（GBP管理画面→パフォーマンスから取得）,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,前年比備考
閲覧数（合計）,203,173,200,,,,,,,,,,
ウェブサイトクリック数,15,6,5,,,,,,,,,,
ルート検索数,60,37,67,,,,,,,,,,
電話発信数,0,0,0,,,,,,,,,,
メッセージ数,,,,,,,,,,,,,
予約数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 口コミ,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
口コミ総数（累計）,1,1,1,,,,,,,,,,開始時点1件 5.0★
当月新規口コミ数,0,0,0,,,,,,,,,,
平均評価（★）,5.0,5.0,5.0,,,,,,,,,,
返信率（%）,0,0,0,,,,,,,,,,※未返信1件あり→即対応
返信平均時間（h）,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 投稿,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
当月投稿数,0,0,2,,,,,,,,,,抵当権抹消・相続登記
├ 最新情報,0,0,2,,,,,,,,,,
├ 特典（クーポン）,,,,,,,,,,,,,
├ イベント,,,,,,,,,,,,,
└ FAQ型投稿,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 写真,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
写真総枚数（累計）,,,7,,,,,,,,,,"外観○ 内観○ サービス○ スタッフ×"
当月追加枚数,,,0,,,,,,,,,,
写真閲覧数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 検索クエリTOP10（月ごとに記録）,,,,,,,,,,,,,
順位,1月KW,1月表示回数,2月KW,2月表示回数,3月KW,3月表示回数,4月KW,4月表示回数,5月KW,5月表示回数,6月KW,6月表示回数,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 競合ベンチマーク（四半期更新推奨）,,,,,,,,,,,,,
競合名,Q1口コミ数,Q1評価,Q2口コミ数,Q2評価,Q3口コミ数,Q3評価,Q4口コミ数,Q4評価,,,,,
競合1: 司法書士・行政書士丸山雅史事務所,6,5.0,,,,,,,,,,,
競合2: 司法書士かたひら法務事務所,4,5.0,,,,,,,,,,,
競合3: 司法書士宮本秀晃事務所,3,4.7,,,,,,,,,,,
競合4: まつい司法書士事務所,2,5.0,,,,,,,,,,,
自社: 芝本司法書士事務所,1,5.0,,,,,,,,,,,
,,,,,,,,,,,,,
■ MEO順位（手動or外部ツール）,,,,,,,,,,,,,
対策キーワード,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
KW1: 司法書士 加古川,,,,,,,,,,,,,,
KW2: 相続登記 加古川,,,,,,,,,,,,,,
KW3: 成年後見 加古川,,,,,,,,,,,,,,
KW4: 不動産名義変更 加古川,,,,,,,,,,,,,,
KW5: 会社設立 加古川,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 月次アクションログ,,,,,,,,,,,,,
月,実施した施策,成果・気づき,,,,,,,,,,,,
1月,なし,GBP運用未開始,,,,,,,,,,,
2月,なし,GBP運用未開始,,,,,,,,,,,
3月,GBP診断実施・投稿2件（抵当権抹消/相続登記）,初期診断B（53点）→改善計画策定,,,,,,,,,,,
4月,,,,,,,,,,,,,
5月,,,,,,,,,,,,,
6月,,,,,,,,,,,,,
7月,,,,,,,,,,,,,
8月,,,,,,,,,,,,,
9月,,,,,,,,,,,,,
10月,,,,,,,,,,,,,
11月,,,,,,,,,,,,,
12月,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 改善TODO（優先度順）,,,,,,,,,,,,,
優先度,施策,期限,ステータス,,,,,,,,,,
1,既存口コミ1件への返信（感謝＋専門性アピール）,4月1週目,未着手,,,,,,,,,,
2,サービス項目の詳細登録（相続登記/成年後見/不動産登記/会社設立/債務整理）,4月1週目,未着手,,,,,,,,,,
3,属性追加設定（初回無料相談/オンライン対応/バリアフリー/予約制/訪問対応 等）,4月1週目,未着手,,,,,,,,,,
4,説明文500文字以上への拡充,4月1週目,未着手,,,,,,,,,,
5,スタッフ（司法書士）ポートレート写真の追加,4月中,未着手,,,,,,,,,,
6,相談室・事務所内写真の追加（計15枚以上目標）,4月中,未着手,,,,,,,,,,
7,口コミ獲得の仕組み化（案件完了時の声がけ＋QRコード設置）,4月中,未着手,,,,,,,,,,
8,投稿頻度の向上（月2→週1ペース目標）,4月〜継続,未着手,,,,,,,,,,
9,投稿種類の多様化（特典/イベント投稿の追加）,5月〜,未着手,,,,,,,,,,
10,SNSリンク設定（Instagram/X等）,早期,未着手,,,,,,,,,,
