worksheet,row_number,company_name,url,phone,current_status,classification,match_type,match_value,reason,evidence_url
送信済み251127,56,株式会社トルク,https://trq.co.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,8077,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251127,118,リベルタ株式会社,https://liberta-inc.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,4935,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251127,347,ユナイテッド・リクルートメント株式会社,https://recruitment.united.jp/,,,allow_confirmed_same_name_other_entity,major_group_contains,リクルート,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251127,445,株式会社オプティ,https://opti.jp/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,152A,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251127,561,アイガー株式会社,https://eiger-inc.co.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,9226,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
送信済み251127,568,株式会社メンタルヘルステクノロジーズ,https://www.mh-tec.co.jp/,,,exclude_confirmed_enterprise,official_site_code,9218,候補公式サイト内で証券コード9218を確認。,https://www.mh-tec.co.jp/about
送信済み251127,647,株式会社イノベーション,https://www.corpinnovation.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,3970,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
送信済み251127,652,株式会社ベーシック,https://basicinc.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,519A,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
送信済み251127,654,ラストワンマイル株式会社,http://www.lastonemile.jp/,,,exclude_confirmed_enterprise,jpx_company_exact,9252,候補URLの公式情報・公式ドメイン照合により、上場会社または大手グループ会社との同一性を確認。,
送信済み251127,790,合同会社DTS,https://dt-solution.com/,,,allow_confirmed_same_name_other_entity,jpx_company_exact,9682,名称・判定語は一致するが、候補URLは上場会社または大手グループ会社とは別法人。,
送信済み251127,888,株式会社アクトビ,https://actbe.co.jp/,,,exclude_confirmed_enterprise,official_site_code,439A,候補公式サイト内で証券コード439Aを確認。,https://actbe.co.jp/company/
