company_name,url,contact_url,decision,reason
10. 株式会社,https://jpress.okinawatimes.co.jp/,https://jpress.okinawatimes.co.jp/contact/,accept,no_live_or_master_match
37. （有）だいにちシール 代表者 : 中山 孝 〒901-1117 南風原町字津嘉山1568 TEL.098-888-1548 FAX.098-888-15,https://www.dai-seal.com/,https://www.dai-seal.com/inquiry/,accept,no_live_or_master_match
40. 中村印刷株式会社,https://www.nakamura-insatsu.co.jp/,https://www.nakamura-insatsu.co.jp/contact/,accept,no_live_or_master_match
41. 仲本製本所 代表者 : 仲本 政国 〒901-1111 南風原町字兼城194-1 TEL.098-889-2603 FAX.098-889-2604 h,http://nakamoto-seihon.com/,http://nakamoto-seihon.com/contact/,accept,no_live_or_master_match
9. 新星出版株式会社,https://www.s-syuppan.com/,https://www.s-syuppan.com/inquiry/,accept,no_live_or_master_match
Powered by NetCommons2 The NetCommons Project,https://www.netcommons.org/,https://www.netcommons.org/contact,accept,no_live_or_master_match
URL http://mainichi.jp/,https://mainichi.jp/,https://mainichi.jp/help/,accept,no_live_or_master_match
URL http://www.fujitv.co.jp/index.html,https://www.fujitv.co.jp/index.html,https://www.fujitv.co.jp/safe/contact/index.html,accept,no_live_or_master_match
URL http://www.j-wave.co.jp,https://www.j-wave.co.jp/,https://www.j-wave.co.jp/topics/2004_contact.htm,accept,no_live_or_master_match
URL http://www.joqr.co.jp/index.php,http://www.joqr.co.jp/index.php,http://www.joqr.co.jp/qr/article/93105/,exclude,existing_sheet_match
URL http://www.kokusai-k.jp,https://www.kokusai-k.jp/,https://www.kokusai-k.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,exclude,existing_sheet_match
URL http://www.sankei-ad.net,https://sankei-ad.net/,https://sankei-ad.net/inquiry/,exclude,existing_sheet_match
URL http://www.senko-edit.com/,https://www.senko-edit.com/,https://www.senko-edit.com/contact/,exclude,existing_sheet_match
URL http://www.totsumedia.co.jp/,https://www.totsumedia.co.jp/,https://www.totsumedia.co.jp/contact/,exclude,existing_sheet_match
URL http://www.tv-tokyo.co.jp,https://www.tv-tokyo.co.jp/,https://www.tv-tokyo.co.jp/index/company/goiken.html,accept,no_live_or_master_match
URL http://www.yellowweb.co.jp/,https://yellowweb.co.jp/,https://yellowweb.co.jp/2017/04/24/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,exclude,existing_sheet_match
URL https://in-fit.co.jp,https://in-fit.co.jp/,https://in-fit.co.jp/contact/,exclude,existing_sheet_match
URL https://www.beeats.co.jp/,https://www.beeats.co.jp/,https://www.beeats.co.jp/contact/sp_tool/,accept,no_live_or_master_match
URL https://www.kowa-de.com/,https://www.kowa-de.com/,https://www.kowa-de.com/contact/,exclude,existing_sheet_match
URL https://www.okugaikoukoku.com,https://okugaikoukoku.com/,https://okugaikoukoku.com/form.php,accept,no_live_or_master_match
