company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch,affinity_evidence
FPサービス株式会社,https://www.doctorsupportnet.jp/business/clinic_homepage_production/,,,https://www.doctorsupportnet.jp/contact/form_doctor/,S｜医科・歯科特化Web・集客支援,医科・歯科顧客＋Web集客＋公開後運用支援,https://www.doctorsupportnet.jp/business/clinic_homepage_production/,https://www.doctorsupportnet.jp/company/,yes,ok,集客+集患+ホームページ+Web+WEB+広告
GOOGLE株式会社,https://clinic-promotion.com/,,,https://clinic-promotion.com/contact/index.php,S｜医科・歯科特化Web・集客支援,医科・歯科顧客＋Web集客＋公開後運用支援,https://clinic-promotion.com/,https://clinic-promotion.com/company.html,yes,ok,集患+ホームページ+Web+WEB+広告+運用
Webクラフトマン合同会社,https://laollc.com/,,,https://laollc.com/contact/,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援,https://laollc.com/,https://laollc.com/profile/,yes,ok,集客+ホームページ+Web+WEB+広告+運用
matoka株式会社,https://matoka.co.jp/,,,https://matoka.co.jp/information,S｜飲食店特化Web・集客支援,飲食店顧客＋Web集客＋公開後運用支援,https://matoka.co.jp/,https://matoka.co.jp/company,yes,ok,集客+ホームページ+WEB+広告+運用+SEO
ありがとうデザイン株式会社,https://www.seitai-homepage.com/,,,https://www.seitai-homepage.com/contact/index.html,S｜美容室・サロン特化Web・集客支援,美容室・サロン顧客＋Web集客＋公開後運用支援,https://www.seitai-homepage.com/,https://www.seitai-homepage.com/,no,ok,集客+集患+ホームページ+Web+WEB+広告
アルサーガパートナーズ株式会社,https://dental-web.jp/,,,https://dental-web.jp/contact/,S｜医科・歯科特化Web・集客支援,医科・歯科顧客＋Web集客＋公開後運用支援,https://dental-web.jp/,https://dental-web.jp/enterprise/,yes,ok,集患+ホームページ+Web+WEB+広告+運用
スラッシュ株式会社,https://reblo.jp/,,,https://reblo.jp/contact/,S｜不動産会社特化Web・集客支援,不動産会社顧客＋Web集客＋公開後運用支援,https://reblo.jp/,https://reblo.jp/company/,yes,ok,集客+ホームページ+WEB+広告+運用+SEO
チリョーマ株式会社,https://chiryo-ma.co.jp/service-hp/,,,https://chiryo-ma.co.jp/,S｜美容室・サロン特化Web・集客支援,美容室・サロン顧客＋Web集客＋公開後運用支援,https://chiryo-ma.co.jp/service-hp/,https://chiryo-ma.co.jp/company/,yes,ok,集客+ホームページ+広告+運用+SEO+LINE
データライズ株式会社,https://www.datalyze.co.jp/project/website/pagepro/,,,https://www.datalyze.co.jp/inquiry/,S｜士業特化Web・集客支援,士業顧客＋Web集客＋公開後運用支援,https://www.datalyze.co.jp/project/website/pagepro/,https://www.datalyze.co.jp/company/,yes,ok,集客+ホームページ+Web+運用
ユーザビリティパートナーズ株式会社,https://www.easy-juku.com/,,,https://www.easy-juku.com/contact/,S｜飲食店特化Web・集客支援,飲食店顧客＋Web集客＋公開後運用支援,https://www.easy-juku.com/,https://www.easy-juku.com/about/company/,yes,ok,集客+ホームページ+Web+WEB+運用+SEO
