company_name,url,address,phone,contact_url,区分,検出ワード,source_url,source_card,segment,profile_url,company_confirmed,fetch,affinity_confirmed,affinity_evidence
アイビックス株式会社,https://ibx-co.com/,,,,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,アイビックス株式会社 〒503-0813　岐阜県大垣市三本木2-10 WEBサイトを見る TEL: 0584-73-1515,beauty_dealer,https://ibx-co.com/,yes,ok,yes,経営+集客+教育+セミナー+サポート
キムラ株式会社,https://kimura-co.jp/,,,https://kimura-co.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,キムラ 株式会社 〒910-0843 福井県福井市西開発4-608 WEBサイトを見る TEL: 0776-53-1234,beauty_dealer,https://kimura-co.jp/company-overview/,yes,ok,yes,経営+集客+教育+セミナー+講習
タカハシ株式会社,https://www.takahashi-corporation.jp/,,,https://www.takahashi-corporation.jp/お問合せ/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,タカハシ 株式会社 〒810-0014 福岡県福岡市中央区平尾5-5-37 WEBサイトを見る TEL: 092-531-6531,beauty_dealer,https://www.takahashi-corporation.jp/,yes,ok,no,affinity_evidence_short
ナショナル株式会社,https://be-national.jp/,,,https://be-national.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,ＢＥ.ナショナル 株式会社 〒409-3845 山梨県中央市山之神流通団地3-7-1 WEBサイトを見る TEL: 055-273-6688,beauty_dealer,https://be-national.jp/company/,yes,ok,yes,販促+セミナー+サポート
ミツイコーポレーション株式会社,https://www.mitsui-corp.co.jp/,,,https://www.mitsui-corp.co.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,ミツイコーポレーション 株式会社 〒420-0803 静岡県静岡市葵区千代田6-16-2 WEBサイトを見る TEL: 054-261-3185,beauty_dealer,https://www.mitsui-corp.co.jp/company/,yes,ok,yes,経営+開業+集客+販促+教育
山野美容商事株式会社,https://www.yamano.com/,,,https://www.yamano.com/contact,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,山野美容商事 株式会社 〒151-0053 東京都渋谷区代々木1-13-8 WEBサイトを見る TEL: 03-3370-8010,beauty_dealer,https://www.yamano.com/company/,yes,ok,no,affinity_evidence_short
株式会社きくや美粧堂,https://www.kikuya-bisyodo.co.jp/,,,https://www.kikuya-bisyodo.co.jp/inquiry/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,株式会社 きくや美粧堂 〒150-0021 東京都渋谷区恵比寿西1-13-7 KB'Sアーチ WEBサイトを見る TEL: 03-3496-6589,beauty_dealer,https://www.kikuya-bisyodo.co.jp/about,yes,ok,yes,経営+販促+教育+セミナー+サポート
株式会社ひがき,https://www.higakinet.co.jp/,,,,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,株式会社ひがき 〒781-0087　高知県高知市南久保5-43 WEBサイトを見る TEL: 088-884-1101,beauty_dealer,https://www.higakinet.co.jp/,no,ok,no,affinity_evidence_short
株式会社アポロ商事,https://www.apolloshoji.co.jp/,,,https://apolloshoji.co.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,株式会社 アポロ商事 〒983-0013 宮城県仙台市宮城野区中野字神明156-3 WEBサイトを見る TEL: 022-352-5571,beauty_dealer,https://apolloshoji.co.jp/about/,yes,ok,no,affinity_evidence_short
株式会社イワテ美容商事,https://iwatebiyou.com/,,,,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,株式会社イワテ美容商事 〒020-0044　岩手県盛岡市城西町1-5 WEBサイトを見る TEL: 019-624-2088,beauty_dealer,http://iwatebiyou.com/company/,yes,ok,no,affinity_evidence_short
