address,business_description,company_name,confidence,contact_url,decision,evidence_detail,evidence_urls,generic_email,hub_evidence,hub_type,last_verified_at,maps_url,margin_fit,phone,reason,recurring_evidence,recurring_relationship,reject_reason,review_status,source_url,status,store_client_access,store_evidence,url,why_fit
,3段階のホームページ制作パッケージを用意している制作会社。,株式会社ビジネスコンピュータ,,,keep,,,,Web制作会社プロフィール,,,,,,,,,沿革のシステム実績のみで今回の営業適合根拠不足,RECHECK,https://web-kanji.com/companies/believe,MEOハブ候補,,,https://www.believe.co.jp/web,
,ユーザビリティを考慮した、多種多様なデバイスに最適なデザインを提案する愛知県名古屋市の制作会社。IRツールやカタログなどの紙媒体にも対応,株式会社弘春堂,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,https://web-kanji.com/companies/koshundo,MEOハブ候補,,,http://www.koshundo.co.jp/,
,沖縄県豊見城市にある制作会社。格安・短納期という点に強みを持っており、最大7ページのホームページを1週間以内での納品を相談可能。事業の立上げ期の企業様や、活動を始めたばかりの個人事業主など、急ぎでホームページを制作したい場合におすすめ。,有限会社メディアちゃんぷる沖縄,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,https://web-kanji.com/companies/mco,MEOハブ候補,,,http://isp.okinawa.jp/,
,広島県広島市に本社を置く、CG・ホームページ・映像の制作を提供している会社。自社で広島県の情報をインターネット配信しているニュースサイトや教育情報サイトを運営している。ホームページ制作では不動産業界に強みを持つ。,株式会社QLEA（クリア）,,,keep,[],,,Web制作会社プロフィール,,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,https://web-kanji.com/companies/qlea,MEOハブ候補,,,http://www.qlea.co.jp/work/web.html,
,埼玉県さいたま市に本社を構えて事業を行なっている会社。エクステリア・造園業者向けホームページ制作サービス「ガルテンブログ」を運営している。3DCADで作成された図面やパース画像、VR動画を使ったホームページを制作することが可能。,オーセブン株式会社,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式サイトで到達できる問い合わせ先を確認できない,RECHECK,https://web-kanji.com/companies/o-seven,MEOハブ候補,,,https://gartenblog.jp/index.php?catid=20&blogid=9&skinid=28,
,東京都中央区を拠点に大阪、福岡にも展開している企業。ホームページ制作やシステム開発を提供する。,株式会社media it.,B,,keep,"[{""url"": ""http://me-it.net/"", ""text"": ""、予算や時間が無いというお客様へ、4万円で作ります!安くてクオリティが高いと評判の個人様向け、企業・店舗様向けホームページ制作承ります。本格的なシステムIT会社が作るサイトですから機能性も追加料金で可能です。ゲームをサイトに盛り込むことも可能です。 (注記)メールアドレス重複等によりご希望に添え""}, {""url"": ""http://me-it.net/"", ""text"": ""能です。 (注記)メールアドレス重複等によりご希望に添えない場合があります。 制作費用例: 【企業・店舗様向けホームページ制作】4万円  (トップページを含む5~6ページ程度のもの) 弊社ホームページのボリュームとクオリティを参考にしてください。詳細はお問い合わせください。 採用事項のお知らせ ""}, {""url"": ""http://me-it.net/jigyo.html"", ""text"": ""マートフォン向けアプリの開発 大学向けポータルサイト開発(Java) 銀行WEB決済サービス開発(Java) WEBサイト企画・制作 各企業のニーズに合わせたホームページをお作りいたします。 作成前の綿密な打合せで御社のご要望をお聞きし、ご要望に合わせたホームページの内容・レイアウト等を企画・提案し作""}, {""url"": ""http://me-it.net/jigyo.html"", ""text"": ""ndows PHP Java Android iOS 既存オンラインショップのスマートフォン対応 【美容室向けWEBサイト構築】 Windows cakePHP SQLServer 【美容室向けWEB予約システム】 Windows Java JSP SQLServer 上記WEBサイト上から予約""}]",http://me-it.net/ | http://me-it.net/jigyo.html,info@me-it.net,Web制作会社プロフィール,ADD_ON_HUB,2026-08-27T14:47:51,,unknown,,,,signal_only,,EVIDENCE_CHECKED,https://web-kanji.com/companies/me-it,MEOハブ候補,signal_only,,http://me-it.net/,公式ページで「、予算や時間が無いというお客様へ、4万円で作ります!安くてクオリティが高いと評判の個人様向け、企業・店舗様向けホームページ制作承ります。本格的なシステムIT会社が作るサイトですから機能性も追加料金で可能です。ゲームをサイトに盛り込むことも可能です。 (注記)メールアドレ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,名古屋と大阪に拠点を持つホームページ制作会社。企画から構築、運営までトータルにサポートを行う。システム開発やサーバー・社内ネットワークの構築にも対応可能。,株式会社デイブレイクフレーバー,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,https://web-kanji.com/companies/daybreakflavor,MEOハブ候補,,,http://www.daybreakflavor.net/products.cfm,
,名古屋と東京に拠点を持つホームページ制作会社。ECシステム・UI/UXデザイン・GPS管理・大量の画像処理・キュレーションサイト・カタログシステムなどシステム開発が伴うものも含め、幅広く対応する。,スペース・アイ株式会社,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式ページに顧客向けWeb制作・集客運用サービスの明確な根拠なし,RECHECK,https://web-kanji.com/companies/space-i-com,MEOハブ候補,,,https://www.space-i.com/websystem-app/,
,Web集客に強みを持つ制作会社。自社ページでSEOに関する情報発信を行なっているほか、集客に関するセミナーも開講している。,モデリング株式会社,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式サイトで到達できる問い合わせ先を確認できない,RECHECK,https://web-kanji.com/companies/amebaownd,MEOハブ候補,,,https://web-analytics.amebaownd.com/pages/253295/page_201512291415,
,レスポンシブ対応のサイト構築を得意としており、既存のPCサイトのレスポンシブ対応も行う,株式会社インタラクティブ・コミュニケーション・デザイン,,,keep,,,,Web制作会社プロフィール,,,,,,,,,公式ページに顧客向けWeb制作・集客運用サービスの明確な根拠なし,RECHECK,https://web-kanji.com/companies/icd,MEOハブ候補,,,https://www.icd.co.jp/,
