address,business_description,company_name,confidence,contact_url,decision,detail_url,evidence_detail,evidence_urls,generic_email,hub_evidence,hub_type,last_verified_at,list_text,maps_url,margin_fit,phone,pool_source_file,reason,recurring_evidence,recurring_relationship,reject_reason,review_status,risk_notes,source_url,status,store_client_access,store_evidence,url,why_fit
〒939-0321 富山県射水市青井谷1902,ホームページ制作 富山県のおすすめ制作会社 射水市のホームページ制作会社 氷見市のホームページ制作会社 魚津市のホームページ制作会社 富山県のホームページ制作会社 高岡市のホームページ制作会社 富山県の制作会社一覧 富山市 高岡市 魚津市 氷見市 滑川市 黒部市 砺波市 南砺市 射水市 中新川郡 下新川郡,01WEBサイト制作富山,B,http://www.01toyama.com/contact.html,,,"[{""url"": ""http://www.01toyama.com/"", ""text"": ""01WEBサイト制作富山|富山県の格安ホームページ制作 | 富山県で格安ホームページ作成なら01WEBサイト制作富山におまかせください ホームページを持ちたいけれど 「普通に作るだけであまり""}, {""url"": ""http://www.01toyama.com/"", ""text"": ""01WEBサイト制作富山|富山県の格安ホームページ制作 | 富山県で格安ホームページ作成なら01WEBサイト制作富山におまかせください ホームページを持ちたいけれど 「普通に作るだけであまりにも高額・・」「自分で運営する時間""}, {""url"": ""http://www.01toyama.com/"", ""text"": ""01WEBサイト制作富山|富山県の格安ホームページ制作 | 富山県で格安ホームページ作成なら01WEBサイト制作富山におまかせください ホームページを持ちたいけれど 「普通に作るだけであまりにも高額・・」「自分で運営する時間も自信もない・・」 そんな個人事業主様 中小企業様のお手伝""}, {""url"": ""http://www.01toyama.com/"", ""text"": ""たり前の時代になりました 商売をするにあたってホームページを持つことは当たり前の時代になりました。しかしながらホームページの制作費は高額です。至極普通のホームページ作成するのに初期費用だけで30万円前後、維持費も年額にすると同じくらいの金額が掛かってしまします。ホームページからの集客やインターネッ""}, {""url"": ""http://www.01toyama.com/"", ""text"": ""低限の情報掲載や年に数度のお知らせの為に高額費用を掛ける必要はありません。 初期費用も運営維持費も低価格の01WEBサイト制作富山にお任せください。 HOME 01 ホームページの必要性 05 制作サンプル&イメージ ・ プライバシーポリシー 格安制作プラン 02 なぜ格安?他社料金比較 06 ""}]",http://www.01toyama.com/,,集客,ADD_ON_HUB,2026-08-27T14:52:02,,,unknown,,,,サポート / 月額,signal_only,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/01webサイト制作富山/,MEOハブ候補,signal_only,飲食店 / レストラン,http://www.01toyama.com/,公式ページで「01WEBサイト制作富山|富山県の格安ホームページ制作 | 富山県で格安ホームページ作成なら01WEBサイト制作富山におまかせください ホームページを持ちたいけれど 「普通に作るだけであまり」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒241-0803 横浜市旭区川井本町24-25,Webシステム開発・運用 ホームページ制作・運用 レンタルサーバ運用 FileMaker Pro等によるシステム構築 ITコンサルティング・サポート 神奈川県のおすすめ制作会社 横浜市のホームページ制作会社 鶴見区のホームページ制作会社 新横浜のホームページ制作会社 関内・みなとみらいのホームページ制作会社 武蔵小杉のホームページ制作会社 神奈川県の制作会社一覧 横浜市 川崎市 相模原市 横須賀市 平塚市 鎌倉市 藤沢市 小田原市 茅ヶ崎市 逗子市 秦野市 厚木市 大和市 伊勢原市 海老名市 座間市 三浦郡 足柄下郡,A-OKシステムズ株式会社,B,,,,"[{""url"": ""https://www.aoksystems.jp/%E4%BC%9A%E7%A4%BE%E6%83%85%E5%A0%B1/"", ""text"": ""しての開始は2005年1月(電脳さぽ〜と) 事業内容 Webシステム開発・運用 入退出管理システムのサービス ホームページ制作・運用 レンタルサーバ運用 FileMaker Pro等によるシステム構築 ITコンサルティング・サポート 沿革 2005年1月 ITサポート事業開始 2005年6月 Web印""}, {""url"": ""https://www.aoksystems.jp/%E4%BC%9A%E7%A4%BE%E6%83%85%E5%A0%B1/"", ""text"": ""による開発 (株式会社ワキプリントピア様よりのご依頼) 2006年1月 オープンソースCMS Xoopsによるホームページ制作事業を開始 2007年4月 大手コンビニ様向け年賀状印刷受注システム開発と運用の開始 オープンソース・フレームワークEthnaを使用した開発の開始 (株式会社ワキプリント""}, {""url"": ""https://www.aoksystems.jp/%E4%BC%9A%E7%A4%BE%E6%83%85%E5%A0%B1/"", ""text"": ""uby on Railsを使用した開発の開始 オープンソースCMS MODx、WordPressなどを使用したホームページ制作を開始 2009年2月 郵便局様向け総合印刷受注システム開発と運用の開始 (株式会社ワキプリントピア様からのご依頼) 2010年4月 法人向け名刺印刷システム OPS(O""}]",https://www.aoksystems.jp/%E4%BC%9A%E7%A4%BE%E6%83%85%E5%A0%B1/,,集客 / コンサルティング,ADD_ON_HUB,2026-08-27T14:56:10,,,unknown,0453829630,,,運用 / サポート / コンサルティング,signal_only,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/a-okシステムズ株式会社/,MEOハブ候補,signal_only,美容室 / サロン / クリニック / 歯科,https://www.aoksystems.jp/,公式ページで「しての開始は2005年1月(電脳さぽ〜と) 事業内容 Webシステム開発・運用 入退出管理システムのサービス ホームページ制作・運用 レンタルサーバ運用 FileMaker Pro等によるシステム構築 ITコンサルティング・サポート 沿革 2005年1月 ITサポート事」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒814-0002 福岡県福岡市早良区西新7丁目1-19-201号,セミナー・講演会などの撮影、ＤＶＤ・ビデオ制作およびそれに付帯関係する業務・ホームページ制作,A-zo株式会社,B,https://www.a-zo.tv/contact,,,"[{""url"": ""https://www.a-zo.tv/"", ""text"": ""作会社 ホーム 価格プラン サービス紹介 セミナー撮影 ライブ配信 オンデマンド配信 ドローン空撮 映像制作・web制作・写真撮影 その他のサービス 福岡のセミナー撮影・制作実績一覧 福岡のセミナー撮影・制作実績一覧 直近の制作実績・事例紹介 お客様の声 お客様1分PR動画 会社案内 羽山""}, {""url"": ""https://www.a-zo.tv/"", ""text"": ""price サービス紹介 service セミナー撮影 ライブ配信 オンデマンド配信 ドローン空撮 映像制作・web制作・写真撮影 その他のサービス 福岡のセミナー撮影・制作実績一覧 Performance 福岡のセミナー撮影・制作実績一覧 直近の制作実績・事例紹介 お客様の声 Custo""}, {""url"": ""https://www.a-zo.tv/"", ""text"": ""price サービス紹介 service セミナー撮影 ライブ配信 オンデマンド配信 ドローン空撮 映像制作・web制作・写真撮影 その他のサービス 福岡のセミナー撮影・制作実績一覧 Performance 福岡のセミナー撮影・制作実績一覧 直近の制作実績・事例紹介 お客様の声 Custo""}, {""url"": ""https://www.a-zo.tv/"", ""text"": ""予算に合うプランをご提案します。相見積もり歓迎。 Services A-zoの主なサービス 撮影・配信・空撮・Web制作まで、用途に応じて幅広く対応いたします。 セミナー撮影 会場でのセミナー・講演会を高品質に収録。DVD納品・オンデマンド配信にも対応。 詳細を見る → ライブ配信 You""}, {""url"": ""https://www.a-zo.tv/"", ""text"": ""・施設・観光地などの空撮映像制作。DJI最新機材を使用した高品質映像。 詳細を見る → 写真撮影・映像制作・ WEB制作 プロモーション映像・コーポレートサイト・LP制作まで幅広くご対応。 詳細を見る → まずはご相談ください 092-516-6714 平日 9:00〜18:00 お問い合""}]",https://www.a-zo.tv/,,集客 / 保守管理,ADD_ON_HUB,2026-08-27T14:45:55,,,unknown,0925166714,daily_directory_enriched.csv,,保守 / 管理,unknown,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/a-zo%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,signal_only,,https://www.a-zo.tv/,公式ページで「作会社 ホーム 価格プラン サービス紹介 セミナー撮影 ライブ配信 オンデマンド配信 ドローン空撮 映像制作・web制作・写真撮影 その他のサービス 福岡のセミナー撮影・制作実績一覧 福岡のセミナー撮影・制作実績一覧 直近の制作実績・事例紹介 お客様の声 お客様1分PR」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒591-8025 大阪府堺市北区長曽根町3082-9AXISJUN303号室,作業効率アップに関するコンサルティング ・Microsoft Accessによるオリジナル業務システム開発 ・「想い」が伝わるホームページ制作 (コンサルティング、デザイン&システム、アフターフォローまで) ・小規模美容室向けおもてなしWeb予約システム ・Microsoft AccessやWebサイト制作に関するセミナー&講師 大阪府のおすすめ制作会社 堺市のホームページ制作会社 大阪府のホームページ制作会社 貝塚市のホームページ制作会社 羽曳野市のホームページ制作会社 大阪市のホームページ制作会社 大阪府の制作会社一覧 大阪市 堺市 岸和田市 豊中市 池田市 吹田市 泉大津市 高槻市 貝塚市 守口市 枚方市 茨木市 八尾市 泉佐野市 富田林市 寝屋川市 河内長野市 松原市 大東市 和泉市 箕面市 柏原市 羽曳野市 門真市 摂津市 東大阪市 泉南市 四條畷市 交野市 大阪狭山市 阪南市 泉南郡,Accessシステム＆Webデザイン工房 つむぎ,B,https://tumugidesign.com/contact.php,,,"[{""url"": ""http://tumugidesign.com/"", ""text"": ""Accessによる業務システム開発と「想い」が伝わるホームページ制作 | 大阪・堺市の「Accessシステム&Webデザイン工房 つむぎ」 「Accessシステム&Webデザイン工房 つむぎ」は、堺市を拠点に中小企業さまの作業効率アップと""}, {""url"": ""http://tumugidesign.com/"", ""text"": ""りますがご相談は可能です。 見る人にとってわかりやすく、伝えたいことが伝わる中小企業さま・個人事業主さま向けのホームページを制作しています。 「つむぎ」では、いまやパソコンと利用数を二分している、スマートフォンやタブレットに対応したホームページの制作も行っています。 見る媒体によってデザインサイズ""}, {""url"": ""http://tumugidesign.com/"", ""text"": ""を制作しています。 「つむぎ」では、いまやパソコンと利用数を二分している、スマートフォンやタブレットに対応したホームページの制作も行っています。 見る媒体によってデザインサイズが変わる「レスポンシブデザイン」、「スマートフォン・タブレット専用のホームページ」も制作します。 ☆こんなことで、困ってお""}, {""url"": ""http://tumugidesign.com/"", ""text"": ""!覚書 2025/01/05 みなさま、いつもありがとうございます。 現在療養中のため、当分の間システム開発とホームページ制作をお休みさせていただきます。 仕事再開の目途が立ちましたら、こちらにアップします。 ご迷惑をおかけしますがよろしくお願いいたします。 1お客さまと同じ目線を、いつも大切に""}, {""url"": ""http://tumugidesign.com/aboutus.html"", ""text"": ""めのシステム化、Microsoft Accessで制作する小企業さまの業務にマッチしたオリジナル業務システム、ホームページの制作やご依頼についてのご相談を承っています。 「つむぎ」は、「お客さまが気楽に相談できる、町のかかりつけのお医者さまのような存在であり続けたい」という想いからはじまりました。""}]",http://tumugidesign.com/ | http://tumugidesign.com/aboutus.html,,コンサルティング,ADD_ON_HUB,2026-08-27T14:56:11,,,unknown,,,,コンサルティング,unknown,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/accessシステム＆webデザイン工房-つむぎ/,MEOハブ候補,signal_only,飲食店 / レストラン / 美容室 / サロン,http://tumugidesign.com/,公式ページで「Accessによる業務システム開発と「想い」が伝わるホームページ制作 | 大阪・堺市の「Accessシステム&Webデザイン工房 つむぎ」 「Accessシステム&Webデザイン工房 つむぎ」は、堺市を拠点に中小企業さまの作業効率アップと」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒188-0011 東京都西東京市田無町5-3-4-401,,All Home Page株式会社,B,,,,"[{""url"": ""https://all-hp.com/"", ""text"": ""WEBサイト制作/ホームページ製作 All Home Page株式会社 東京都 Menu All Home Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 ""}, {""url"": ""https://all-hp.com/"", ""text"": ""u All Home Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 料金一覧 WEBサイト制作 WEBサイト制作の特徴と料金 MtoM サイトお引越しサービス 自動応答「作れるWEBCHAT」 多機能フォーム作成 WEB広告 Google広告、ニュース広告 システ""}, {""url"": ""https://all-hp.com/"", ""text"": ""e Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 料金一覧 WEBサイト制作 WEBサイト制作の特徴と料金 MtoM サイトお引越しサービス 自動応答「作れるWEBCHAT」 多機能フォーム作成 WEB広告 Google広告、ニュース広告 システム・LINE開発 ""}, {""url"": ""https://all-hp.com/"", ""text"": ""ット職人」のお問合せ 更新情報 お知らせ WEBの豆知識 スタッフブログ 女性社長ブログ クライアント様の声 WEBサイト制作事例 ネットショップ 行政・士業 学会・法人 医療・健康 学校・教育 飲食・生活 芸術・エンタメ 非営利団体 印刷物・デザイン事例 大切にしているのは 信頼と誠実です ク""}, {""url"": ""https://all-hp.com/"", ""text"": ""r Craft Association 他の方々にも強くお勧めしたい All Home page 株式会社様にホームページを制作していただき、... 浅野肖像画工房 自分で更新、とてもやり易い 3年前All Home page株式会社にホームページを制作して頂きと... 画家 小高朋恵 BON 任""}]",https://all-hp.com/,,集客 / 広告運用 / ブランディング,ADD_ON_HUB,2026-08-27T14:45:53,,,unknown,0424275571,daily_directory_enriched.csv,,運用,signal_only,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/all-home-page%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,signal_only,,https://all-hp.com/,公式ページで「WEBサイト制作/ホームページ製作 All Home Page株式会社 東京都 Menu All Home Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒174-0072 東京都板橋区南常盤台1丁目11-6 レフア南常盤台101号室,モバイルアプリ開発,Altive株式会社,B,https://altive.co.jp/contact/,,,"[{""url"": ""https://altive.co.jp/"", ""text"": ""Altive株式会社 | アプリ開発・Web制作 Altive アプリ開発 Web制作 実績 会社情報 ブログ お問い合わせ → 相談 → APP & WEB PRODUCTION PARTNER ゆたかな選択肢を、こ""}, {""url"": ""https://altive.co.jp/"", ""text"": ""Altive株式会社 | アプリ開発・Web制作 Altive アプリ開発 Web制作 実績 会社情報 ブログ お問い合わせ → 相談 → APP & WEB PRODUCTION PARTNER ゆたかな選択肢を、ここから、世界へ アプリも、Webも。 ""}, {""url"": ""https://altive.co.jp/"", ""text"": ""イト・LP制作まで。企画から実装、公開後の改善まで、事業の価値が伝わる形にします。 制作・開発を相談する → Web制作事業を見る 実績を見る 2020 設立 フルスタック ワンチームで一気通貫 15言語 自社アプリ最多の対応 ファネリー ノコリス アプリ Flutter iOS / Sw""}, {""url"": ""https://altive.co.jp/"", ""text"": ""基盤まで実装します。 Firebase Google Cloud Go REST API 🖥️ Webサイト・ランディングページ制作 企業サイト、サービスサイト、アプリLPまで。企画・構成、デザイン、実装、公開後の改善まで一貫して支援します。 企業サイト サービスLP アプリ紹介LP 公開後の改善 💬""}, {""url"": ""https://altive.co.jp/about/"", ""text"": ""会社情報 | Altive株式会社 Altive アプリ開発 Web制作 実績 会社情報 ブログ お問い合わせ → 相談 → About 世界へ届く選択肢を、開発の積み重ねで作る。 Altiveの理念、会社概要、チーム、これまでの歩みを紹介し""}]",https://altive.co.jp/ | https://altive.co.jp/about/,,,ADD_ON_HUB,2026-08-27T14:55:15,,,unknown,,,,,signal_only,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/altive株式会社/,MEOハブ候補,unknown,,https://altive.co.jp/,公式ページで「Altive株式会社 | アプリ開発・Web制作 Altive アプリ開発 Web制作 実績 会社情報 ブログ お問い合わせ → 相談 → APP & WEB PRODUCTION PARTNER ゆたかな選択肢を、こ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒530-0037 大阪市北区松ケ枝町6-17第7新興ビル4F,1.携帯電話・各種通信回線の販売及び取次ぎ業務 2.ホームページ制作・販売及びSEO対策業務 3.各種システム開発・ネットワーク構築業務 4.OA機器・オフィス家具・事務用品・消耗品の販売業務 5.各種商品の販売及びショッピングサイトの運営業務 6.求人広告代理店業務 7.経営コンサルティング業務 8.美容サロン及び飲食店の運営業務 9.各種イベントの企画・立案・実施・運営業務 10.不動産賃貸及び売買の仲介業務 11.損害保険及び生命保険代理店業務 12.輸出入及び販売など貿易業務,Apollon株式会社,B,,,,"[{""url"": ""http://www.apollon-groups.com/about.html"", ""text"": ""430 設立 2011年7月6日 決算期 6月 業務内容 1.携帯電話・各種通信回線の販売及び取次ぎ業務 2.ホームページ制作・販売及びSEO対策業務 3.各種システム開発・ネットワーク構築業務 4.OA機器・オフィス家具・事務用品・消耗品の販売業務 5.各種商品の販売及びショッピングサイトの運""}]",http://www.apollon-groups.com/about.html,,Webマーケティング / webマーケティング / 集客 / コンサルティング,ADD_ON_HUB,2026-08-27T14:54:54,,,unknown,0666169430,,,コンサルティング,unknown,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/apollon株式会社/,MEOハブ候補,signal_only,飲食店 / サロン / 不動産 / 自動車,http://www.apollon-groups.com/,公式ページで「430 設立 2011年7月6日 決算期 6月 業務内容 1.携帯電話・各種通信回線の販売及び取次ぎ業務 2.ホームページ制作・販売及びSEO対策業務 3.各種システム開発・ネットワーク構築業務 4.OA機器・オフィス家具・事務用品・消耗品の販売業務 5.各種商品の販売」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒102-0074 東京都千代田区九段南1-5-6 りそな九段ビル5F KSフロア,マーケティング＆営業コンサルティング CRM/MA/SFA 導入・活用支援 コンテンツ企画・制作 Web制作・関連アプリケーション開発,B2Bマーケティング株式会社,B,https://b2b-marketing.co.jp/contact/,keep,,"[{""url"": ""https://b2b-marketing.co.jp/company/"", ""text"": "" 事業内容 マーケティング&営業コンサルティング CRM/MA/SFA 導入・活用支援 コンテンツ企画・制作 Web制作・関連アプリケーション開発 主要取引先 ※50音順・敬称略 株式会社ITコミュニケーションズ キヤノンITソリューションズ株式会社 キヤノンマーケティングジャパン株式会社""}, {""url"": ""https://b2b-marketing.co.jp/service/"", ""text"": ""注)を獲得するまでの実行支援とプロセス改善をワンストップでサポートできるユニークなコンサルティング会社です。 Web制作会社やテレマーケティング会社、営業研修会社など、それぞれのサービス領域に強い会社は存在しますが、最終的な成果(受注)をもって売上を成すB2B企業では部分最適にとどまり、根""}]",https://b2b-marketing.co.jp/company/ | https://b2b-marketing.co.jp/service/,,集客 / コンサルティング,ADD_ON_HUB,2026-08-27T14:46:00,,,unknown,0363808281,pilot_directory_audit_1_25.csv,,コンサルティング,unknown,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/b2b%e3%83%9e%e3%83%bc%e3%82%b1%e3%83%86%e3%82%a3%e3%83%b3%e3%82%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,unknown,,https://b2b-marketing.co.jp/,公式ページで「 事業内容 マーケティング&営業コンサルティング CRM/MA/SFA 導入・活用支援 コンテンツ企画・制作 Web制作・関連アプリケーション開発 主要取引先 ※50音順・敬称略 株式会社ITコミュニケーションズ キヤノンITソリューションズ株式会社 キヤノンマーケティ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒001-0018 北海道札幌市北区北18条西3丁目1-12 18条タ-ミナルビル404,WEBサイト制作・WEBマーケティング事業,Bakutoba lab株式会社,B,,,,"[{""url"": ""http://bakutoba-lab.com/"", ""text"": ""札幌のWEB制作、IT、デザイン、マーケティング|Bakutoba lab 北海道・札幌のWEB制作、IT、デザイン、WEBマーケティング会社|Bakutoba lab(バクトバ ラボ株""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""札幌のWEB制作、IT、デザイン、マーケティング|Bakutoba lab 北海道・札幌のWEB制作、IT、デザイン、WEBマーケティング会社|Bakutoba lab(バクトバ ラボ株式会社) Bakutoba lab(バクトバラボ)株式会社 011-746-4446""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""があります。今現在は世界最高レベルに届いていませんが、価格に対して最も高いレベルの仕事をする自負があります。 WEB制作・システム開発・企業ホームページ制作 WEBマーケティングを活用した結果が出るホームページを制作します。SEO対策、リスティング広告、ポータルサイト、ECサイト、なんでも""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""ベルに届いていませんが、価格に対して最も高いレベルの仕事をする自負があります。 WEB制作・システム開発・企業ホームページ制作 WEBマーケティングを活用した結果が出るホームページを制作します。SEO対策、リスティング広告、ポータルサイト、ECサイト、なんでもご相談ください。 もっと読む ロゴ・""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""する自負があります。 WEB制作・システム開発・企業ホームページ制作 WEBマーケティングを活用した結果が出るホームページを制作します。SEO対策、リスティング広告、ポータルサイト、ECサイト、なんでもご相談ください。 もっと読む ロゴ・名刺・パンフレット・ポスター・パッケージ WEBデザインで培""}]",http://bakutoba-lab.com/,,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,ADD_ON_HUB,2026-08-27T14:45:53,,,unknown,0117464446,daily_directory_enriched.csv,,コンサルティング,unknown,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/bakutoba-lab%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,unknown,,http://bakutoba-lab.com/,公式ページで「札幌のWEB制作、IT、デザイン、マーケティング|Bakutoba lab 北海道・札幌のWEB制作、IT、デザイン、WEBマーケティング会社|Bakutoba lab(バクトバ ラボ株」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒370-0046 群馬県高崎市江木町,ホームページ制作,Belpon,B,https://belpon.jp/contact/,,,"[{""url"": ""https://belpon.jp/"", ""text"": ""Belpon~ホームページ作成のべるぽん~ – 群馬でホームページ制作をSOHOで行っています。プチリニューアル(1万5千円~)がご好評頂いています! 群馬でホームページ制作をSOHOで行っています。プチリニューアル(1万5千円~)がご好評""}, {""url"": ""https://belpon.jp/"", ""text"": ""群馬でホームページ制作をSOHOで行っています。プチリニューアル(1万5千円~)がご好評頂いています! 群馬でホームページ制作をSOHOで行っています。プチリニューアル(1万5千円~)がご好評頂いています! たくさんの嬉しいが生まれるHPに 心強い味方となるホームページ、お作りします! メニュー""}, {""url"": ""https://belpon.jp/"", ""text"": ""P有効活用のポイント 料金&お見積 実績のご案内 Belponについて お問合せ 群馬県高崎市でフリーランスでホームページ制作を行っております。 売り上げの90%以上が下請け業務ですが、デザインからコーディングまで一式承る事が多いです。 受注例 レスポンシブWEBデザイン(スマホでもPCでも自動""}]",https://belpon.jp/,,集客,ADD_ON_HUB,2026-08-27T14:53:32,,,unknown,,,,代行 / サポート,unknown,,EVIDENCE_CHECKED,"営業候補としての仮説。店舗顧客との商流、外注意向、1店舗月額15,000円での採算は商談確認が必要。",https://yuryoweb.com/company_info/belpon/,MEOハブ候補,unknown,飲食店 / レストラン / 美容室 / サロン / 不動産 / 自動車,https://belpon.jp/,公式ページで「Belpon~ホームページ作成のべるぽん~ – 群馬でホームページ制作をSOHOで行っています。プチリニューアル(1万5千円~)がご好評頂いています! 群馬でホームページ制作をSOHOで行っています。プチリニューアル(1万5千円~)がご好評」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
