address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,ユーザーがどこからアクセスしているかの位置を知る技術「IP Geolocation」を保有する静岡県三島市の制作会社。自社サービス「BtoBWeb制作」では、BtoBに特化したホームページ制作を行なっており、IP Geolocationを使用してアクセスに応じて提供するコンテンツを最適化したり、サイトにアクセスした企業を特定したりすることが可能。,株式会社Geolocation Technology,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/geolocation,MEOハブ候補,http://www.geolocation.co.jp/
,"7,000社を超える豊富な実績を持つ東京都中央区の制作会社。CMSを使った低価格なホームページ制作を提供しており、標準パック以外にも開業パックや税理士パック、歯科パックなど、顧客のニーズに合わせた制作が可能。",株式会社末広システム,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/suehiro-s,MEOハブ候補,http://www.suehiro-s.jp
,沖縄県那覇市に本社を置き全国に提携パートナーを持つ会社。ホームページ制作では企画から実装、運用までサポートする。また、各種業種への制作実績も豊富に持つ。,IJU株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/ij-u,MEOハブ候補,http://www.ij-u.co.jp/webuse/record_1.html
,大阪府大阪市にある会社。自社サービスとして翻訳業も行い、ホームページ制作でも英語や中国語など多言語サイトの制作を、コーディングや文章構成などを含めて任せることができる。,東和印刷株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/towaprinting,MEOハブ候補,http://www.towaprinting.co.jp/homepage/index.html
,東京都中野区で活動しているデザイン制作会社。ホームページ制作や紙媒体・写真・ロゴ・イラストなどの制作を任せることができ、企画から実装まで一貫して作業を行う。,株式会社NUF,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/nuf-inc,MEOハブ候補,https://nuf-inc.jp/service/#service_works
,群馬県邑楽郡で活動している制作会社。自社サービスとして多言語の翻訳業も行い、ホームページ制作でも多言語サイトの制作も受け持つ。また、ロゴなどのイラスト制作なども任せることができる。,株式会社テクライト・ジャパン,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/twj,MEOハブ候補,http://www.twj.co.jp/html/results.htm
,沖縄県那覇市にあるホームページ制作会社。沖縄の企業を対象とした実績を多く持つ。企画から実装、運営まで任せることができる。,株式会社ライデリ,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/lideli,MEOハブ候補,http://www.lideli.co.jp/prof/res.html
,宮崎県都城市で印刷やホームページの企画・デザイン制作を提供している会社。自社で都城の情報を発信するポータルサイトを運営している。,株式会社文昌堂,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/bunsho,MEOハブ候補,http://www.bunsho.co.jp/works.html#web
,広島県広島市に本社を置く、CG・ホームページ・映像の制作を提供している会社。自社で広島県の情報をインターネット配信しているニュースサイトや教育情報サイトを運営している。ホームページ制作では不動産業界に強みを持つ。,株式会社QLEA（クリア）,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/qlea,MEOハブ候補,http://www.qlea.co.jp/work/web.html
,島根県出雲市を中心に東京にも支社を置き事業を展開している企業。島根県の企業を中心にホームページ制作や印刷・製本を行う。インターネット販売を始めたい島根県の事業者に代わり、Amazonに商品の出品を行い、販売代行を行うサービスを提供している。,株式会社報光社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/hokosya,MEOハブ候補,https://hokosya.co.jp/
,イベントや飲食店を中心に店舗などの運営を行う東京都新宿区の会社。グラフィックやイベントブース、サインパネル、ポスターなどのデザイン制作にも対応可能。地域・観光情報に関するホームページ制作の実績を保有している。,株式会社スパート,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/spart,MEOハブ候補,http://www.spart.co.jp/works/web.html
,広告デザイン事業をメインで展開している東京都港区の会社。ホームページ制作ではオリジナルのイラストや動画を活用した制作を提供可能。紙媒体など複数の媒体を組み合わせた提案も行うことができる。,株式会社ランドマーク,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/landmark-inc,MEOハブ候補,https://landmark-inc.jp/web/
,映画、映像コンテンツの宣伝に関連する企画から編集、ライティング、デザイン、印刷、ホームページ制作等に幅広く対応する東京都江東区の制作会社。ホームページ制作に関してはコピーライティングからデザイン、コーディング、更新管理までワンストップで対応可能。,プランニングオム株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/p-om,MEOハブ候補,http://www.p-om.co.jp/all-works/web/web-page/
,印刷事業をメインで展開している茨城県水戸市の制作会社。ホームページ制作に関しては、CMSの導入や動画・映像コンテンツの活用も提供。ほか、ECサイトの構築にも対応することができる。,株式会社メディアクロス水戸,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/mx310,MEOハブ候補,https://www.mx310.jp/contents/homepage.html
,,田中昭文堂印刷株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/kagasaisei,MEOハブ候補,http://www.kagasaisei.co.jp/case/web/
,ITをベースとしたビジネスプロデュース事業をメインで展開している東京都千代田区の制作会社。ホームページ制作では白洋舎やタイ国際空港、東映などの制作実績を保有。企画立案～制作/開発～効果測定/分析までワンストップでサービスを提供している。,株式会社メディア・トラスト,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/media-trust,MEOハブ候補,https://www.media-trust.com/works.html
