company_name,url,address,phone,maps_url,reason
株式会社デザインピース,https://www.d-piece.jp,静岡県浜松市中央区船越町41-19,053-443-9388,,existing_domain
ア ヒラガデザイン,https://www.hiraga-design.com,岐阜県岐阜市,,,existing_domain
株式会社アームズ,https://arms-soft.co.jp,静岡県静岡市葵区伝馬町9-3 芝田ビル3F,054-275-1211,,existing_domain
株式会社AZU,https://azu-inc.com,長野県長野市,080-1016-7872,,existing_domain
design FUU,https://design-fuu.com,静岡県静岡市,,,existing_domain
UiD合同会社,https://www.uid.co.jp,静岡県浜松市中央区中島1丁目2-8 2F,053-544-5830,,existing_domain
WebScale,https://www.w-scale.com,静岡県浜松市,080-3507-9913,,existing_domain
株式会社イメージボックス,https://www.image-box.co.jp,静岡県静岡市駿河区泉町2-11 OAビル1F,054-654-8401,,existing_domain
N-STYLES株式会社,https://www.ns3.co.jp,長野県長野市,026-217-4681,,existing_domain
REINA WORKS,https://reina-works.jp,岐阜県岐阜市,,,existing_domain
