company_name,url,address,phone,maps_url,reason
株式会社クーネルワーク,https://cunelwork.co.jp/,新潟県新潟市西区小針3-37-30 樋口ビル15号,025-378-0158,,existing_domain
株式会社ピーアンドエム,https://www.p-m-c.com/,新潟県新潟市中央区米山5-1-25 小林ビル3F,025-246-0162,,existing_name
株式会社グローバルネットコア,https://www.global-netcore.jp/,新潟県新潟市中央区米山1丁目11番地11 昴ビル,025-244-0144,,existing_domain
株式会社アイサポート,https://www.is1.co.jp/,新潟県三条市須頃1丁目55,0256-33-5085,,existing_domain
株式会社シアンス,https://digital.siance.co.jp/,新潟県新潟市中央区万代2-3-16 リバービューSDビル10F,025-246-4666,,existing_domain
株式会社アテンド,https://www.attend.jp/,新潟県長岡市西千手1-1-1 アテンドビル,0258-31-5005,,existing_name
株式会社ProntoNet,https://www.prontonet.ne.jp/,新潟県新潟市西区小新南2丁目13番2号,025-201-2244,,existing_domain
株式会社ジョーメイ,https://www.joemate.co.jp/,新潟県新潟市東区木工新町1193番地,025-272-0707,,existing_name
株式会社Dynave,https://dynave.jp/,富山県富山市婦中町鵜坂51-131,076-461-3677,,existing_domain
株式会社ルビコン,https://www.rubicon.co.jp/,富山県富山市新富町2丁目5-17 SSビル3F,076-471-7300,,existing_name
株式会社日本エージェンシー,https://www.nippon-ag.co.jp/,石川県金沢市新保本4-40,076-269-8111,,existing_domain
株式会社ニコットラボ,https://nicottolabo.info/,石川県金沢市富樫1丁目9-6,076-227-9897,,existing_domain
株式会社アイ・アイ・ピー金沢,https://www.iip-kanazawa.co.jp/,石川県金沢市粟崎町3丁目281番地5,076-237-3925,,existing_domain
株式会社ヴォイス,https://www.brandvoice.jp/,石川県金沢市竪町4,076-254-0210,,existing_domain
