company_name,url,address,phone,maps_url,reason
株式会社リーディット,https://www.leadit.co.jp,和歌山県和歌山市美園町5丁目7番8号 パーク美園町ビル3階,073-494-4740,,existing_domain
株式会社創報堂,https://www.souhoudou.jp,兵庫県姫路市,079-284-9304,,existing_domain
株式会社エスティー・クリエイティブ,https://www.st-creative.jp,兵庫県姫路市,,,existing_domain
株式会社エーライン,https://a-line-inc.co.jp,福井県福井市南四ツ居2丁目11-28,0776-53-8825,,existing_domain
株式会社フィルニーズ,https://www.firneez.com,福井県福井市,,,existing_domain
株式会社Web Blending,https://www.web-blending.com,香川県高松市東山崎町183-1,087-897-2841,,existing_domain
株式会社アートクリエイティブ,https://www.art-c.jp,香川県高松市松縄町1053-21 サンライフレインボーロードビル1F-C,087-866-6696,,existing_domain
株式会社メディア・ハウス,https://media-house.in,香川県高松市上福岡町2060番地24 3階,087-863-6100,,existing_domain
株式会社object,https://studio-object.com,島根県松江市上乃木4-23-48,0852-25-4671,,existing_domain
株式会社ティーエム21,https://www.tm-21.co.jp,島根県松江市北陵町52-2 ゆめっくす北陵2階14号室,0852-60-6810,,existing_domain
