company_name,url,address,phone,maps_url,reason
株式会社プラスリンク,https://www.pluslink.co.jp/,岩手県盛岡市住吉町13-30 クレア住吉801,019-652-7088,,existing_domain
ECサポート株式会社,https://support-ec.co.jp/,福島県郡山市,, ,existing_domain
株式会社プロダクトワン,https://www.proone.co.jp/,福島県郡山市大町1丁目3番13号 アドミラルビル2F,024-938-6102,,existing_domain
株式会社イープレス,https://www.e-press.co.jp/,愛媛県松山市美沢1丁目7番地5,089-917-7656,,existing_name
アンドグロウ株式会社,https://andgrow.co.jp/,愛媛県松山市河原町6-1,089-935-8101,,existing_domain
株式会社BLOOM WORKS,https://bloom-works.co.jp/,愛媛県松山市東石井6丁目3番15号 1F,089-961-1510,,existing_domain
有限会社ハウト,https://eki-exp.co.jp/,香川県高松市田町3-9 寿や第二ビル3F,050-3746-5950,,existing_domain
株式会社カンマン,https://www.comman.co.jp/,徳島県徳島市中昭和町2丁目39番地5,088-611-2333,,existing_domain
株式会社データプロリンクス,https://dataprolinx.co.jp/,徳島県徳島市城南町3丁目1-22,,,existing_domain
株式会社ICU,https://www.icu.co.jp/,高知県高知市秦南町1-9-2,088-824-5117,,existing_domain
株式会社日本海プラザ VZONE事業部,https://www.vzone.co.jp/,鳥取県鳥取市賀露町4027 masumi place内,0857-32-5656,,existing_domain
アイム株式会社,https://www.imj.co.jp/,島根県松江市北陵町47,0852-32-1655,,existing_domain
株式会社ウェブマジック,https://www.webmagic.co.jp/,島根県松江市下東川津町12-1,0852-33-7420,,existing_name
