company_name,url,address,phone,maps_url,reason
GOWEB,https://okayama.goweb.jp,岡山県岡山市,,,existing_domain
株式会社イケル,https://ikel.co.jp,岡山県岡山市,086-245-5667,,existing_domain
株式会社ハジメクリエイト,https://hajimecreate.com,岡山県岡山市北区田中604-14,086-250-2424,,existing_domain
株式会社メディアド,https://www.okayama-web.com,岡山県岡山市北区本町6-36 第一セントラルビル4階,086-800-1353,,existing_domain
株式会社みつぎ,https://hd.mitsugi-inc.com,広島県尾道市,,,existing_domain
Plaque株式会社,https://plaque.jp,広島県福山市,,,existing_domain
株式会社マテリアルプラス,https://fukuyamawork.com,広島県福山市引野町1丁目14-34 サンオーレ東福山102号,084-946-5233,,existing_name
青葉印刷株式会社,https://www.aoba-m.co.jp,広島県福山市曙町2-11-25,084-957-2222,,existing_domain
株式会社ロポロデザインクリエーション,https://ropolo.co.jp,広島県福山市松浜町3-4-8,084-982-8656,,existing_domain
株式会社Syncrise,https://syncrise.com,広島県福山市東桜町11番5号 竹内ビル501,050-1794-3677,,existing_domain
リーンデザインオフィス株式会社,https://ldo.buzz,広島県福山市西深津町2-1-30,084-999-5165,,existing_domain
