decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
reject,株式会社Think,https://tone-branding.jp/,https://tone-branding.jp/contact/,〒381-2205 長野県長野市青木島町大塚901-2 事業内容 ブランディング／Web制作／グラフィック／写真・動画／マーケティング支援 Contact お問い合わ,,工務店／webサイト,live_duplicate,https://tone-branding.jp/
accept,株式会社ラング,https://rang.jp/,https://rang.jp/contact/,,,リフォーム会社／webサイト,,https://rang.jp/
accept,株式会社ジクージン,https://www.jicoojin.co.jp/,https://www.jicoojin.co.jp/contactform/,〒460-0002 愛知県名古屋市中区丸の内2-7-1-502 TEL：052-728-2239 koho@jicoojin.co.jp ＜主な事業＞ 経営改善に関す,052-728-2239,工務店／マーケティング,,https://www.jicoojin.co.jp/consulting/menu/sumai/
reject,チトセホーム株式会社,https://first-consult.jp/,,,,,contact_missing,https://first-consult.jp/
accept,株式会社サザンソフト,https://www.southernsoft.co.jp/,https://www.southernsoft.co.jp/cgi-bin/support1.cgi,〒178-0062 東京都練馬区大泉町1-28-47 TEL 03-6876-4562 FAX 03-6876-4562 ショップから一言 いつもサザンソフトをご利用,03-6876-4562,建設業／施工管理,,https://www.southernsoft.co.jp/
accept,YDAIコンサルティング株式会社,https://koumuten-hub.com/,https://koumuten-hub.com/,,,工務店／顧客管理,,https://koumuten-hub.com/
reject,,https://setsuzoq.jp/,,,,,official_company_missing,https://setsuzoq.jp/
accept,株式会社エンジョイワークス,https://kensetsu-engine-matching.jp/,https://kensetsu-engine-matching.jp/form/inquiry,〒542-0081 大阪府大阪市中央区南船場二丁目3番2号 南船場ハートビル4F https://enjoyworks.co.jp/ Copyright ©建設円陣,,建設業／マッチング,,https://kensetsu-engine-matching.jp/
reject,株式会社R&Dソフトウエア,https://sesyuraku.rdsoftware.co.jp/,https://rdsoftware.co.jp/contact/,,,工務店／webサイト,live_duplicate,https://sesyuraku.rdsoftware.co.jp/
reject,株式会社 ONE,https://hitocucuri.com/,https://hitocucuri.com/request-contact/,"〒781-5103 高知県高知市大津乙1936-1-[2F] 代表者名 岡﨑 秀悟 設立年月日 2021年4月 資本金 1,000万円 事業内容 工務店コンサルティン",,工務店／現場管理,live_duplicate,https://hitocucuri.com/
accept,株式会社freesia,https://www.freesia-sys.com/,https://www.freesia-sys.com/contact,〒520-2423 滋賀県野洲市西河原一丁目2227 0120-526-330 copyright（C）2021 freesia.co.jp All right re,,工務店／顧客管理,,https://www.freesia-sys.com/
accept,ツクリンク株式会社,https://tsukulink.co.jp/,https://tsukulink.co.jp/contact/,〒151-0053 東京都渋谷区代々木1-4-1 Jプロ代々木ビル4F HOME 私たちについて 会社概要 事業内容 採用情報 ジャーナル お知らせ お問い合わせ H,,建設業／pos,,https://tsukulink.co.jp/
reject,長野県に本社を置く 株式会社,https://www.s-housing.jp/,,,,,contact_missing,https://www.s-housing.jp/
accept,株式会社リフォーム産業新聞社のコーポレートサイトはこちら,https://www.reform-online.jp/,https://www.reform-online.jp/contact/,〒104-0061 東京都中央区銀座8-12-15 全国燃料会館ビル7F 大きな地図で見る TEL 03-6260-4824 FAX 03-6260-6945 URL,03-6260-4824,工務店／マーケティング,,https://www.reform-online.jp/
reject,,https://www.jutaku-s.com/,,,,,service_evidence_missing,https://www.jutaku-s.com/
reject,,,,,,,fetch_failed,https://www.housing-tribune.com/
reject,,https://www.jyutaku-news.co.jp/,,,,,service_evidence_missing,https://www.jyutaku-news.co.jp/
accept,30 株式会社,https://www.nikken-times.co.jp/,https://www.nikken-times.co.jp/info/,,06-6585-7682,建設業／建設dx,,https://www.nikken-times.co.jp/
reject,,https://www.decn.co.jp/,,,,,official_company_missing,https://www.decn.co.jp/
accept,株式会社日刊建設通信新聞社,https://www.kensetsunews.com/,https://www.kensetsunews.com/contact,〒101-0054 東京都千代田区神田錦町3-13-7（名古路ビル本館） 代表者 代表取締役社長 佐藤 俊之 事業内容 日刊全国紙「建設通信新聞」、各種書籍、「月刊,,建設業／工程管理,,https://www.kensetsunews.com/
reject,,https://www.nikoukei.co.jp/,,,,,service_evidence_missing,https://www.nikoukei.co.jp/
reject,,https://e-kensin.net/,,,,,service_evidence_missing,https://e-kensin.net/?gs=5580a671e3bf
reject,,https://www.kensetsu-net.com/,,,,,service_evidence_missing,https://www.kensetsu-net.com/
reject,,https://www.chukei-news.co.jp/,,,,,service_evidence_missing,https://www.chukei-news.co.jp/
