№	エリア	企業名	代表者名	URL	問い合わせフォームURL	送信日	送信○×	送信不可理由						
10	兵庫県	株式会社OLLIE CREATION	宮脇秀文	https://ollie-creation.co.jp/works.html	https://ollie-creation.co.jp/contact		×	おやめください, 営業のメール, 絶対におやめ						Web制作
16	兵庫県	フロー合同会社	蓬萊 宏典	https://flow-tech.co.jp/										Web制作
18	兵庫県	arne	船石琳子	https://arnedesign.jp/works/	https://arnedesign.jp/contact		×	お控えください, 営業メール, 営業メールはお控え, 営業メールは						Web制作
20	兵庫県	scyan	折崎 和真	https://scyan.jp/works/	https://scyan.jp/inquiry/									Web制作
21	兵庫県	株式会社メックコミュニケーションズ	入福　貴則	https://oisya-san.com/	https://oisya-san.com/otoiawase		×	営業目的, 営業・勧誘, お断りしております, 勧誘目的, 固くお断り						Web制作
23	兵庫県	合同会社Jima	Jima	https://jimatube.blog/	https://jimatube.blog/?page_id=84									Web制作
26	兵庫県	株式会社宝塚デザイン	森下 昭博	https://takarazuka.co.jp/works/	https://takarazuka.co.jp/contact/		×	ご遠慮ください, 営業メール, 営業メールは						Web制作
28	兵庫県	株式会社WebClimb	才野 誠	https://www.webclimb.co.jp/website/	https://www.webclimb.co.jp/contact/									ハイブリッド
30	兵庫県	Tips-web	山中滉大	https://tips-web.com/	https://tips-web.com/contact/		×	お受けできません						ハイブリッド
32	兵庫県	Solstice	田路由貴	https://solstice03.com/category/achievements/	https://solstice03.com/#contact									Web制作
33	兵庫県	NY-D	中町勇輝	https://kumuculture.com/project/	https://kumuculture.com/contact/									Web制作
35	兵庫県	株式会社ドゥビィ	中野　宏	https://do-be1.com/works/	https://do-be1.com/works/?page_id=32									Web制作
36	兵庫県	アイデアニュース株式会社	橋本正人	https://ideanews.jp/	https://ideanews.jp/toiawase									判定不可
38	兵庫県	WAIWAI	山口 佑真	https://waiwai-web.com										Web制作
40	兵庫県	株式会社ディーシーアドミンズ	岡下 篤司	http://www.dc-admins.co.jp/works/	mailto:info@dc-admins.co.jp									Web制作
43	兵庫県	ソールドアウト株式会社	久米 研二	https://soldout.jp/works/web/	https://soldout.jp/contact/									Web制作
47	兵庫県	株式会社インターリンク	小野 三四子	https://www.interlink.jp/	https://www.interlink.jp/php/inquiry.php		×	ご遠慮ください						Webマーケ
52	兵庫県	株式会社売れる広告研究所	柴田 誠	https://urerukoukoku.com/service/	tel:078-261-9504									Web制作
56	兵庫県	アイテクサス株式会社	石崎　英司	https://ffc.tokyo/	https://ffc.tokyo/#contform									Webマーケ
60	兵庫県	株式会社 ゴーフォワード	遠藤 孝輔	https://gofw.jp/	https://form.run/@info-1658633077									Web制作
62	兵庫県	ドリームネットデザイン株式会社	竹内 慶	https://dream-net.org/result/?cat=21	https://dream-net.org/websupport/		×	営業活動, 営業のお電話						Web制作
68	兵庫県	ミライズ株式会社	吉田星子	https://meraise.com/results/	https://meraise.com/contact/									Web制作
69	兵庫県	株式会社ナインワーカーズ	佐藤正巳	https://nineworkers.co.jp/works/	https://nineworkers.co.jp/contact/									Web制作
70	兵庫県	神戸ホームページ制作センター	川口 雅武	https://kobe.dev/works/	https://kobe.dev/contact/		×	ご遠慮ください, お断りしております, セールスは, 固くお断り						Web制作
71	兵庫県	株式会社イディー	井上 雄嵩	http://idee-kobe.com/works	https://idee-kobe.com/contact									Webマーケ
73	兵庫県	R-web株式会社	森光 加奈子	https://www.r-web.jp/work	https://www.r-web.jp/consultation									Web制作
74	兵庫県	ALLMORE DESIGN	安田 真也	https://allmore.jp/portfolio	https://allmore.jp/contact/									Web制作
75	兵庫県	株式会社ワールドブレイン	岩谷 翔太	https://service.world-brain.co.jp/	https://service.world-brain.co.jp/contact									Web制作
76	兵庫県	NUU DESIGN	田中 尚樹	https://nuu-design.com/works	https://nuu-design.com/contact									Web制作
77	兵庫県	ROUND SQUARE	真田英宰	https://roundsquare.design/	https://roundsquare.design/contact/		×	ご遠慮ください						Web制作
78	兵庫県	Ambition株式会社	池田達也	http://ambitionweb.jp/	https://ambitionweb.jp/contact									Web制作
79	兵庫県	株式会社ティーエッチエス	高橋　亨	https://ths-net.co.jp/shopify/	https://ths-net.co.jp/shopify/#sec_06		×	スパム対策						ハイブリッド
80	兵庫県	株式会社デジプレート	栗山 明久	https://www.digiplate.co.jp/web/jirei/	https://www.digiplate.co.jp/topics/informationlist.html									Web制作
84	兵庫県	ヒロガル	ヒロガリ タクヤ	https://hirogar.com/										Web制作
85	兵庫県	ファーコ	高嶋 仁	https://faco.asia/web.html	https://faco.asia/contact.html									Web制作
86	兵庫県	株式会社スワールコミュニケーションズ	小山 瑞穂	http://www.swirl.co.jp/works/production/	https://swirl.co.jp/contact/									判定不可
87	兵庫県	株式会社ウィルスタイル	坂口 浩介	https://www.willstyle.co.jp/works/	https://www.willstyle.co.jp/contact/									Web制作
89	兵庫県	ハロークリエイティブオフィス	三枝 謙輔	https://hloco.com/works/										判定不可
91	兵庫県	株式会社六甲商会	和田 英剛	https://www.rokko-gr.com/case	https://rokko-gr.smktg.jp/public/application/add/31		×	営業活動						ハイブリッド
93	兵庫県	株式会社Rit2	中村 真	http://rit2.com/service.html	http://rit2.com/mail.html									Web制作
96	兵庫県	有限会社創報堂	乗船 人保	https://www.souhoudou.jp/products/	https://www.souhoudou.jp/inquiry/									Web制作
97	兵庫県	合同会社ウェブタ	村上 健太	https://www.reserven.jp/case										Web制作
98	兵庫県	シンカーデザイン		https://www.sincar.jp/works/	https://www.sincar.jp/contact/									Web制作
99	兵庫県	株式会社マグネット	奥谷 奈津子	http://1982mag.net/works/	https://1982mag.net#contact									Web制作
100	兵庫県	ベルシア	鳥越 慎司	http://belsia.com/project/	https://www.hugeDomains.com/contact.cfm									Web制作
101	兵庫県	ハピネスシェア	三木 一	http://www.happiness-share.net/	http://www.happiness-share.net/contact.html									Web制作
104	兵庫県	ポポデザイン株式会社	恋田 衣里	https://popo-design.net/works/	https://popo-design.net/contact/		×	お断りしております						Web制作
106	兵庫県	株式会社コンタクト	刑部 建志	http://www.contact.co.jp/	http://www.contact.co.jp/#container									Webマーケ
108	兵庫県	株式会社だいずらぼ	脇本 雅也	https://www.daizu-lab.jp/service/webproduction/	https://www.daizu-lab.jp/contact/									Web制作
109	兵庫県	株式会社ポータルズ	宮内 カオリ	https://www.portals.co.jp/portfolio/	https://www.portals.co.jp/contactus/									Webマーケ
112	兵庫県	株式会社ドアズ	戸田 克己	http://www.doors.co.jp/										判定不可
114	兵庫県	株式会社富士企画	小野 勝夫	http://www.fujikikaku.net/enable/works/index.html	http://www.fujikikaku.net/enable/contact.html									Web制作
117	兵庫県	ピンセル・デザイン	安田 一樹	https://www.pincell.com/design/service_hp.html	https://www.pincell.com/design/contact.html		×	お断りさせていただきます						Web制作
118	兵庫県	N’s Creates 株式会社	中田 和行	https://nscreates.com/works_category/website/	https://nscreates.com/contact									判定不可
119	兵庫県	株式会社デジテック	安原 康平	https://digitec.jp/hp.htm	http://digitec.jp/inquire/									Web制作
120	兵庫県	株式会社ジェイグルーブネットワークス	松本 賢一	http://www.jgroove.net/works.html	http://www.jgroove.net/form_question.html		×	お受けできません, 受け付けておりません						判定不可
121	兵庫県	有限会社　エムリンク	中 博史	https://www.m-linknet.co.jp/works/	https://www.m-linknet.co.jp/inquiry/		×	ご遠慮ください, 営業を目的						Web制作
123	兵庫県	ウェボリューション株式会社	澤田 光宏	http://www.webolution.co.jp/										判定不可
124	兵庫県	株式会社ディフェンス	杉山 義和	http://www.k-defense.jp/										判定不可
125	兵庫県	STUDIO99.99		http://studio9999.com/	http://studio9999.com/#p7									Web制作
126	兵庫県	株式会社オールドオフィス	西川 哲史	http://www.oldoffice.com/works/	http://www.oldoffice.com/contact/		×	ご遠慮ください						Web制作
128	兵庫県	株式会社内藤広告社	内藤 昌彦	http://naito-koukoku.com/	http://naito-koukoku.com/contact/									Web制作
129	兵庫県	プラスワークス	Reiko Mori	https://plus-works.design/										Web制作
130	兵庫県	マックスプランニング合資会社	松本 匡人	http://maxx.jp/koe.html	http://maxx.jp/contact.html									ハイブリッド
131	兵庫県	株式会社創-networks		https://so-networks.com/	https://so-networks.com/#contact									判定不可
132	兵庫県	OOOPEN	山下 礼子	https://www.ooopen.jp/works/	https://www.ooopen.jp/contact		×	ご遠慮ください, 営業を目的						Web制作
133	兵庫県	株式会社ニューロテクノロジー		https://www.neuro-tec.co.jp/	https://www.neuro-tec.co.jp/mailform/otoiawase.html									Web制作
134	兵庫県	有限会社アシストアドシステムズ	田中 大輔	http://www.assist-ad.com/	http://www.assist-ad.com/contact/									Webマーケ
135	兵庫県	株式会社アドミクス	中松 康弘	https://www.admics.co.jp/	https://www.admics.co.jp/#s5		×	営業のお電話, 営業・セールス, ご遠慮ください						Web制作
136	兵庫県	クリエーションオフィス春夏秋冬	佐佐木 渡	http://coss.jp/										判定不可
137	兵庫県	株式会社エイチジープランニング		https://www.hg-p.co.jp/	https://www.hg-p.co.jp/inquiry/		×	営業目的						Webマーケ
138	兵庫県	株式会社エアグラウンド	畠中 裕介	https://air-ground.jp/	https://air-ground.jp/contact/									Web制作
139	兵庫県	関西メディア株式会社	山元 覚	https://www.kansaimedia.co.jp/web/	https://www.kansaimedia.co.jp/contact/		×	売り込みの一切, 売り込みを						Web制作
140	兵庫県	株式会社リジョンクリエイト	中農 祥平	https://regioncreate.com/	https://regioncreate.com/wp03/contact/		×	お控えください, 営業のメール						Web制作
141	兵庫県	フルタニシステム株式会社		https://www.fulltani.co.jp/homepage/index.html	https://www.fulltani.co.jp/homepage/contact_top.html									Web制作
