"行"	"業種判定"	"企業名"	"URL"
"101"	"web_production"	"株式会社ダブルアールジー"	"https://www.rrg.jp/"
"102"	"hybrid"	"合同会社 エンドルフィンズ"	"https://endorphins.tokyo/"
"103"	"hybrid"	"株式会社ＪＰクレスト"	"https://jpcrest.co.jp/"
"104"	"hybrid"	"テラ合同会社"	"https://design-tera.com/"
"105"	"hybrid"	"株式会社BANKA"	"https://banka-site.com/"
"106"	"web_production"	"株式会社フブキ"	"https://www.fubuki.com/"
"107"	"hybrid"	"有限会社ダルビアンコ"	"https://www.dal-bianco.co.jp/"
"108"	"hybrid"	"株式会社アスコット"	"https://www.asucot.com/"
"109"	"web_production"	"合同会社ファニプロ"	"https://www.funnypro.net/"
"110"	"業種違い"	"meyco株式会社"	"https://meyco.co.jp/"
"111"	"hybrid"	"株式会社Cyber Partners Japan"	"https://cyberpartnersjapan.com/"
"112"	"hybrid"	"クーミル株式会社"	"https://coomil.co.jp/"
"113"	"web_marketing"	"オリクション株式会社"	"https://www.oriction.com/"
"114"	"業種違い"	"株式会社Coachers"	"https://coachers.jp/"
"115"	"hybrid"	"株式会社ジョブライブ"	"https://joblive.co.jp/"
"116"	"hybrid"	"株式会社GT-works"	"https://gt-works.net/"
"117"	"hybrid"	"ポンプワンマーケティング株式会社"	"https://pomp1.co.jp/"
"118"	"web_marketing"	"リベルタ株式会社"	"https://liberta-inc.com/"
"119"	"web_production"	"株式会社D-ing"	"https://d-inginc.com/"
"120"	"web_production"	"ETBS合同会社"	"https://etbs.jp/"
"121"	"hybrid"	"株式会社グルコム"	"https://grucom.jp/"
"122"	"hybrid"	"株式会社ＷＣＡ"	"https://wca.co.jp/"
"123"	"業種違い"	"株式会社ファンガレージ"	"https://www.fun-garage.co.jp/"
"124"	"hybrid"	"SD WEBWORKS"	"https://sd-webworks.com/"
"125"	"hybrid"	"株式会社Cyber Cats"	"https://www.chaco-web.com/"
"126"	"web_production"	"株式会社Curious"	"https://curious-inc.jp/"
"127"	"hybrid"	"ジウ株式会社"	"https://jiu-x.com/"
"128"	"業種違い"	"株式会社レイロ"	"https://reiro.co.jp/"
"129"	"web_marketing"	"ニューエイジ・ディー・シー株式会社"	"https://www.newagedc.net/"
"130"	"hybrid"	"株式会社SAN"	"https://foodwebby.jp/"
"131"	"業種違い"	"株式会社企画制作"	"https://www.kikakuseisaku.com/"
"132"	"業種違い"	"株式会社SasaTech"	"https://sasatech.co.jp/"
"133"	"hybrid"	"株式会社Medical DX"	"https://medical-dx.com/"
"134"	"hybrid"	"株式会社PENGIN"	"https://pengi-n.co.jp/"
"135"	"業種違い"	"UP HEARTS株式会社"	"https://uphearts.co.jp/"
"136"	"hybrid"	"株式会社 office base group"	"https://design.o-basej-t.net/"
"137"	"hybrid"	"株式会社Giving First"	"https://g1st.co.jp/"
"138"	"web_marketing"	"後藤ブランド株式会社"	"https://www.goto-brand.com/"
"139"	"hybrid"	"TOMONI Growth Support"	"https://tomoni-growth.com/"
"140"	"hybrid"	"株式会社RESORT"	"https://tuna.cool/"
"141"	"web_production"	"ダイバージェンス株式会社"	"https://webtkr.com/"
"142"	"hybrid"	"株式会社プロクモ"	"https://procmo.co.jp/"
"143"	"web_marketing"	"mela株式会社"	"https://mela.co.jp/"
"144"	"web_production"	"株式会社バンソウ"	"https://banso.tokyo/"
"145"	"hybrid"	"Digital-Free株式会社"	"https://www.digital-free.net/"
"146"	"hybrid"	"NERD株式会社"	"https://nerd.co.jp/"
"147"	"web_production"	"株式会社ライフパフォーマンス"	"https://lifeperformance.jp/"
"148"	"hybrid"	"Recustomer 株式会社"	"https://recustomer.co/"
"149"	"web_production"	"株式会社ラヴィゴット"	"https://www.ravigote.co.jp/"
"150"	"hybrid"	"株式会社ネッコス"	"https://neccos.jp/"
"151"	"hybrid"	"株式会社nownext"	"https://now-next.biz/"
"152"	"hybrid"	"株式会社飛躍"	"https://hiyaku-inc.com/"
"153"	"hybrid"	"合同会社Si"	"https://si-jp.co/"
"154"	"hybrid"	"フュージョンコア株式会社"	"https://www.fcore.jp/"
"155"	"hybrid"	"株式会社クロスバズ"	"https://x-buzz.co.jp/"
"156"	"hybrid"	"合同会社KAKERU"	"https://www.kakeru-x.co.jp/"
"157"	"web_marketing"	"RiVA株式会社"	"https://uz-riva.com/"
"158"	"業種違い"	"ファンタスティックラボ株式会社"	"https://fantasticlabo.jp/"
"159"	"hybrid"	"PixPot株式会社"	"https://www.pixpot.jp/"
"160"	"web_production"	"ZIRAKU"	"https://www.ziraku.co.jp/"
"161"	"web_production"	"株式会社アクセライト"	"https://accelight.co.jp/"
"162"	"hybrid"	"ツキワッカ株式会社"	"https://tsukiwakka.co.jp/"
"163"	"hybrid"	"株式会社3d factory"	"https://3d-factory.co.jp/"
"164"	"hybrid"	"株式会社ソライル"	"https://sorairu.co.jp/"
"165"	"業種違い"	"株式会社TAGインテグレーション"	"https://tagi.co.jp/"
"166"	"hybrid"	"ハイアップ合同会社"	"https://hiup.jp/"
"167"	"hybrid"	"株式会社アイグル"	"https://eyegle-design.co.jp/"
"168"	"業種違い"	"株式会社インサイトフューチャー"	"https://insight-future.com/"
"169"	"hybrid"	"株式会社プレグロ"	"https://pregro.jp/"
"170"	"hybrid"	"株式会社オールムービージャパン"	"https://www.en-support.com/"
"171"	"hybrid"	"サクラサクマーケティング株式会社"	"https://www.sakurasaku-marketing.co.jp/"
"172"	"hybrid"	"合同会社TRAIL"	"https://trail.llc/"
"173"	"web_marketing"	"FORCE-R株式会社"	"https://force-r.co.jp/"
"174"	"業種違い"	"株式会社SHINK"	"https://shink-jp.com/"
"175"	"hybrid"	"株式会社オタツー"	"https://ota2.jp/"
"176"	"hybrid"	"株式会社アーチャレス"	"https://www.archeress.co.jp/"
"177"	"web_production"	"ロックスインターナショナル株式会社"	"https://roks.jp/"
"178"	"web_production"	"株式会社Telepathy"	"https://telepathy.jp/"
"179"	"web_production"	"swimmy inc."	"https://swimmy.co/"
"180"	"業種違い"	"株式会社foriio"	"https://www.company.foriio.com/"
"181"	"業種違い"	"むすび株式会社"	"https://www.musubi-inc.co.jp/"
"182"	"hybrid"	"株式会社メディアグロース"	"https://media-growth.co.jp/"
"183"	"hybrid"	"株式会社コスパ・テクノロジーズ"	"https://cospa-tech.com/"
"184"	"hybrid"	"株式会社Hump"	"https://hump.co.jp/"
"185"	"hybrid"	"BC-STYLE合同会社"	"https://bc-style.com/"
"186"	"web_production"	"ondo株式会社"	"https://www.ondo-inc.jp/"
"187"	"hybrid"	"SugarBeats株式会社"	"https://sugarbeats.co.jp/"
"188"	"web_marketing"	"テクノポート株式会社"	"https://techport.co.jp/"
"189"	"web_production"	"PHATBEE合同会社"	"https://tavirise.com/"
"190"	"web_production"	"株式会社MediPeak"	"https://medipeak.jp/"
"191"	"hybrid"	"ECマインド株式会社"	"https://ec-mind.jp/"
"192"	"web_production"	"株式会社フロッグポッド"	"https://www.frog-pod.com/"
"193"	"hybrid"	"株式会社BringFlower"	"https://www.bring-flower.com/"
"194"	"web_production"	"株式会社LINK"	"https://link-service.biz/"
"195"	"hybrid"	"株式会社ウブントゥ"	"https://ubuntu-gp.jp/subscription/"
"196"	"web_production"	"wedo合同会社"	"https://wedo.llc/"
"197"	"hybrid"	"有限会社サウンドボード"	"https://www.soundboard.co.jp/"
"198"	"hybrid"	"ソーイ株式会社"	"https://sooi.co.jp/"
"199"	"hybrid"	"株式会社五箱"	"https://gohako.jp/"
"200"	"hybrid"	"合同会社プロダクション・ジェイ"	"https://production-j.jp/"
