"行"	"業種判定"
"201"	"hybrid"
"202"	"hybrid"
"203"	"web_production"
"204"	"hybrid"
"205"	"hybrid"
"206"	"web_marketing"
"207"	"hybrid"
"208"	"業種違い"
"209"	"hybrid"
"210"	"hybrid"
"211"	"web_marketing"
"212"	"hybrid"
"213"	"hybrid"
"214"	"hybrid"
"215"	"hybrid"
"216"	"業種違い"
"217"	"業種違い"
"218"	"業種違い"
"219"	"hybrid"
"220"	"hybrid"
"221"	"web_production"
"222"	"hybrid"
"223"	"業種違い"
"224"	"業種違い"
"225"	"hybrid"
"226"	"hybrid"
"227"	"業種違い"
"228"	"hybrid"
"229"	"hybrid"
"230"	"hybrid"
"231"	"web_production"
"232"	"hybrid"
"233"	"業種違い"
"234"	"hybrid"
"235"	"業種違い"
"236"	"hybrid"
"237"	"業種違い"
"238"	"web_production"
"239"	"hybrid"
"240"	"hybrid"
"241"	"hybrid"
"242"	"hybrid"
"243"	"hybrid"
"244"	"hybrid"
"245"	"web_production"
"246"	"web_marketing"
"247"	"hybrid"
"248"	"hybrid"
"249"	"web_production"
"250"	"hybrid"
"251"	"web_production"
"252"	"web_marketing"
"253"	"web_production"
"254"	"web_marketing"
"255"	"hybrid"
"256"	"web_production"
"257"	"業種違い"
"258"	"hybrid"
"259"	"hybrid"
"260"	"hybrid"
"261"	"hybrid"
"262"	"hybrid"
"263"	"web_production"
"264"	"web_production"
"265"	"web_marketing"
"266"	"hybrid"
"267"	"web_production"
"268"	"業種違い"
"269"	"web_production"
"270"	"hybrid"
"271"	"hybrid"
"272"	"hybrid"
"273"	"hybrid"
"274"	"hybrid"
"275"	"web_production"
"276"	"web_marketing"
"277"	"hybrid"
"278"	"業種違い"
"279"	"web_production"
"280"	"業種違い"
"281"	"業種違い"
"282"	"web_production"
"283"	"業種違い"
"284"	"業種違い"
"285"	"hybrid"
"286"	"hybrid"
"287"	"hybrid"
"288"	"業種違い"
"289"	"web_production"
"290"	"hybrid"
"291"	"web_production"
"292"	"web_production"
"293"	"hybrid"
"294"	"hybrid"
"295"	"hybrid"
"296"	"hybrid"
"297"	"hybrid"
"298"	"hybrid"
"299"	"業種違い"
"300"	"web_marketing"
