"行"	"業種判定"
"301"	"web_production"
"302"	"web_production"
"303"	"hybrid"
"304"	"web_production"
"305"	"web_production"
"306"	"hybrid"
"307"	"web_marketing"
"308"	"web_marketing"
"309"	"web_marketing"
"310"	"業種違い"
"311"	"hybrid"
"312"	"業種違い"
"313"	"web_marketing"
"314"	"hybrid"
"315"	"web_production"
"316"	"web_marketing"
"317"	"業種違い"
"318"	"hybrid"
"319"	"web_marketing"
"320"	"hybrid"
"321"	"業種違い"
"322"	"web_production"
"323"	"web_production"
"324"	"hybrid"
"325"	"hybrid"
"326"	"hybrid"
"327"	"業種違い"
"328"	"web_marketing"
"329"	"hybrid"
"330"	"hybrid"
"331"	"hybrid"
"332"	"hybrid"
"333"	"web_production"
"334"	"hybrid"
"335"	"業種違い"
"336"	"業種違い"
"337"	"web_marketing"
"338"	"web_production"
"339"	"hybrid"
"340"	"web_production"
"341"	"web_production"
"342"	"業種違い"
"343"	"業種違い"
"344"	"hybrid"
"345"	"hybrid"
"346"	"web_marketing"
"347"	"web_marketing"
"348"	"業種違い"
"349"	"業種違い"
"350"	"hybrid"
"351"	"web_production"
"352"	"hybrid"
"353"	"hybrid"
"354"	"hybrid"
"355"	"hybrid"
"356"	"hybrid"
"357"	"hybrid"
"358"	"業種違い"
"359"	"hybrid"
"360"	"業種違い"
"361"	"web_marketing"
"362"	"web_production"
"363"	"hybrid"
"364"	"hybrid"
"365"	"web_marketing"
"366"	"web_marketing"
"367"	"web_marketing"
"368"	"業種違い"
"369"	"hybrid"
"370"	"業種違い"
"371"	"hybrid"
"372"	"web_production"
"373"	"hybrid"
"374"	"業種違い"
"375"	"web_production"
"376"	"hybrid"
"377"	"web_production"
"378"	"hybrid"
"379"	"hybrid"
"380"	"hybrid"
"381"	"業種違い"
"382"	"業種違い"
"383"	"hybrid"
"384"	"hybrid"
"385"	"web_production"
"386"	"hybrid"
"387"	"web_marketing"
"388"	"hybrid"
"389"	"hybrid"
"390"	"業種違い"
"391"	"web_marketing"
"392"	"業種違い"
"393"	"web_production"
"394"	"hybrid"
"395"	"業種違い"
"396"	"業種違い"
"397"	"hybrid"
"398"	"web_marketing"
"399"	"業種違い"
"400"	"hybrid"
