worksheet,row_number,company_name,url,final_status,reason,evidence_url,classification,match_type,match_value,source
SNS運用,53,合同会社オリンパス,https://studio-olympus.com,残す確定,同名別法人。候補は合同会社で、証券コード7733のオリンパスとは法人種別・公式ドメインが異なる。,https://www.olympus-global.com/,high_confidence_enterprise,company_exact,オリンパス,JPX
SNS運用,55,イー・ガーディアン株式会社,https://www.e-guardian.co.jp,除外確定,公式情報でJPX上場会社名「イー・ガーディアン」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.e-guardian.co.jp,high_confidence_enterprise,company_exact,イー・ガーディアン,JPX
SNS運用,70,株式会社ラバブルマーケティンググループ,https://lmg.co.jp,除外確定,公式情報でJPX上場会社名「ラバブルマーケティンググループ」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://lmg.co.jp/ir/stock/,high_confidence_enterprise,company_exact,ラバブルマーケティンググループ,JPX
SNS運用,87,株式会社インテグラル,https://integral-works.jp,残す確定,同名別法人。候補サイトと証券コード5842のインテグラル公式サイトが異なる。,https://www.integral-corp.jp/,high_confidence_enterprise,company_exact,インテグラル,JPX
SNS運用,158,株式会社 Rise,https://www.riseagency.co.jp,残す確定,同名別法人。候補サイトと証券コード8836のRISE Consulting Group公式サイトが異なる。,https://www.rise-cg.co.jp/,high_confidence_enterprise,company_exact,ＲＩＳＥ,JPX
Webマーケ,127,有限会社クイック,https://www.quick-oki.co.jp,残す確定,同名別法人。候補は有限会社で、証券コード4318のクイックとは法人種別・公式ドメインが異なる。,https://919.jp/,high_confidence_enterprise,company_exact,クイック,JPX
Webマーケ,179,株式会社電通沖縄,https://www.dentsu-ok.co.jp,除外確定,公式サイトで管理語「電通」に対応する大手グループ会社・ブランドであることを確認。個人事業主の提携候補から除外。,https://www.dentsu-ok.co.jp,review_enterprise,company_contains,電通,major_group_keyword
Webマーケ,269,株式会社ベクトル,https://vectorinc.co.jp/company/about,除外確定,公式情報でJPX上場会社名「ベクトル」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://vectorinc.co.jp/company/about,high_confidence_enterprise,company_exact,ベクトル,JPX
Webマーケ,319,株式会社電通プロモーション,https://www.dentsupromotion.co.jp/about/company/,除外確定,公式サイトで管理語「電通」に対応する大手グループ会社・ブランドであることを確認。個人事業主の提携候補から除外。,https://www.dentsupromotion.co.jp/about/company/,review_enterprise,company_contains,電通,major_group_keyword
Webマーケ,350,株式会社アイズ,https://www.eyez.jp/admlp/,除外確定,公式情報でJPX上場会社名「アイズ」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.eyez.jp/admlp/,high_confidence_enterprise,company_exact,アイズ,JPX
Webマーケ,375,株式会社ローカル,https://lo-cal.co.jp/company/,除外確定,公式情報でJPX上場会社名「ローカル」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://lo-cal.co.jp/,high_confidence_enterprise,company_exact,ローカル,JPX
Webマーケ,446,株式会社フリースタイル,https://freestylecorporation.jp,残す確定,同名別法人。候補サイトはfreestylecorporation.jp、証券コード528Aの公式サイトはfreestyles.jp。,https://freestyles.jp/,high_confidence_enterprise,company_exact,フリースタイル,JPX
Webマーケ,457,株式会社NJS,https://n-j-s.co.jp/company,除外確定,公式情報でJPX上場会社名「ＮＪＳ」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.njs.co.jp/ja/company/profile.html,high_confidence_enterprise,company_exact,ＮＪＳ,JPX
Webマーケ,616,株式会社ホットリンク,https://www.hottolink.co.jp/company/outline,除外確定,公式情報でJPX上場会社名「ホットリンク」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.hottolink.co.jp/ir/shareholder/information/,high_confidence_enterprise,company_exact,ホットリンク,JPX
Webマーケ,680,株式会社プラネット,https://www.planet-ad.com,残す確定,同名別法人。候補サイトと証券コード2391のプラネット公式サイトが異なる。,https://www.planet-van.co.jp/,high_confidence_enterprise,company_exact,プラネット,JPX
Webマーケ,713,INTLOOP株式会社,https://www.intloop.com,除外確定,公式情報でJPX上場会社名「ＩＮＴＬＯＯＰ」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.intloop.com/ir/faq/,high_confidence_enterprise,company_exact,ＩＮＴＬＯＯＰ,JPX
Webマーケ,719,株式会社電通デジタルアンカー,https://www.dentsu-danchor.co.jp,除外確定,公式サイトで管理語「電通」に対応する大手グループ会社・ブランドであることを確認。個人事業主の提携候補から除外。,https://www.dentsu-danchor.co.jp,review_enterprise,company_contains,電通,major_group_keyword
Webマーケ,801,株式会社プラップジャパン,https://www.prap.co.jp,除外確定,公式情報でJPX上場会社名「プラップジャパン」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.prap.co.jp,high_confidence_enterprise,company_exact,プラップジャパン,JPX
Webマーケ,967,株式会社クラウドワークス,https://www.cloudworks.co.jp,除外確定,公式情報でJPX上場会社名「クラウドワークス」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://crowdworks.co.jp/ir/stock/,high_confidence_enterprise,company_exact,クラウドワークス,JPX
Webマーケ,1042,株式会社イオレ,https://www.eole.co.jp,除外確定,公式情報でJPX上場会社名「イオレ」と候補サイトの同一性を確認。個人事業主の提携候補から除外。,https://www.eole.co.jp,high_confidence_enterprise,company_exact,イオレ,JPX
Webマーケ,1072,株式会社中国四国博報堂,https://www.chugokushikoku.hakuhodo.co.jp,除外確定,公式サイトで管理語「博報堂」に対応する大手グループ会社・ブランドであることを確認。個人事業主の提携候補から除外。,https://www.chugokushikoku.hakuhodo.co.jp,review_enterprise,company_contains,博報堂,major_group_keyword
Webマーケ,1091,株式会社 アド電通大阪,https://www.addentsu-osaka.co.jp/,除外確定,公式サイトで管理語「電通」に対応する大手グループ会社・ブランドであることを確認。個人事業主の提携候補から除外。,https://www.addentsu-osaka.co.jp/,review_enterprise,company_contains,電通,major_group_keyword
