address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,store_evidence,url
,,株式会社クオーレ,drop,,,,existing_name_listing,,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%af%e3%82%aa%e3%83%bc%e3%83%ac/,,,
,,気仙沼デザイン株式会社,drop,,,,existing_name_listing,,https://yuryoweb.com/company_info/%e6%b0%97%e4%bb%99%e6%b2%bc%e3%83%87%e3%82%b6%e3%82%a4%e3%83%b3%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,,,
"〒000-0000 1785 S. King Street Suite 7, Honolulu, HI, 96826",ウエブ制作業務 ワードプレス開発 ウエブマーケティング業務 ＳＥＯ業務 ＳＥＭ業務 ウエブコンサルティング業務 求人情報広告業務 インターネット・マーケットリサーチ業務 システム開発 動画撮影・編集 動画マーケティング ホームページ作成 ウエブデザイン eコマース開発 CMS制作 モバイル・スマホサイト制作,求人・パーソン・コーポレーション,drop,コンサルティング,,808-343-4040,required_missing,コンサルティング,https://yuryoweb.com/company_info/%e6%b1%82%e4%ba%ba%e3%83%bb%e3%83%91%e3%83%bc%e3%82%bd%e3%83%b3%e3%83%bb%e3%82%b3%e3%83%bc%e3%83%9d%e3%83%ac%e3%83%bc%e3%82%b7%e3%83%a7%e3%83%b3/,MEOハブ候補,,
〒040-0072 北海道函館市亀田町 20-18 マルヨシビル3F,・ホームページ制作 / デザイン ・名刺、チラシ、DM、ショップカード、メニュー ポスター、看板、Tシャツ、印刷などの広告 販促物制作 ・飲食店出店支援 / 事業継承支援 / イベント企画 ・飲食店経営 / イベント出店,株式会社エムワイプラン,drop,集客 / 販促,,0138-83-1699,existing_domain,,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a8%e3%83%a0%e3%83%af%e3%82%a4%e3%83%97%e3%83%a9%e3%83%b3/,MEOハブ候補,飲食店 / レストラン / 学習塾,https://myg-co.com/
〒860-0834 熊本市中央区平成3丁目23-30 4F,ECサイト運営代行 ネット通販コンサルティング ネット通販受注代行 自社サービスの展開 HP制作 ふるさと納税運営代行 地域課題解決業務,株式会社サイバーレコード,keep,Webマーケティング / webマーケティング / 集客 / コンサルティング,,096-288-1022,,管理 / 代行 / コンサルティング,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%b5%e3%82%a4%e3%83%90%e3%83%bc%e3%83%ac%e3%82%b3%e3%83%bc%e3%83%89/,MEOハブ候補,地域,https://www.cyber-records.co.jp/
〒036-0356 青森県黒石市ちとせ2丁目76,■Web事業（WebStudi FromKC） ホームページの企画、デザイン、制作、保守管理 多言語ホームページ（中国語/英語/韓国語） ■グローバル事業 中国語通訳・翻訳 中国語レポート ■ITサポート事業 パソコン修理およびオンサイトサポート業務（あおもりパソコンサポートステーション） データ復旧 WiFi工事 ネットワークカメラ工事 POS等の業務用機器保守 ■映像事業 動画撮影/編集 ドローン空撮,アイピーコンフィグ株式会社,keep,Webマーケティング / webマーケティング / 集客 / 保守管理 / ブランディング,,0172-53-9031,,保守 / 管理 / サポート,https://yuryoweb.com/company_info/%e3%82%a2%e3%82%a4%e3%83%94%e3%83%bc%e3%82%b3%e3%83%b3%e3%83%95%e3%82%a3%e3%82%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,飲食店 / レストラン / 美容室 / サロン / 地域,https://ipconfig.co.jp/
〒360-0037 埼玉県熊谷市筑波2-56-3 渡辺総合ビル5階,ホームページ制作 SEO対策 ブランディング（PR代行） 企業のWeb戦略コンサルティング,ビュークリエイト,drop,MEO / Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,,050-5476-0583,not_legal_entity,代行 / サポート / コンサルティング,https://yuryoweb.com/company_info/%e3%83%93%e3%83%a5%e3%83%bc%e3%82%af%e3%83%aa%e3%82%a8%e3%82%a4%e3%83%88/,MEOハブ候補,美容室 / サロン / 学習塾 / 不動産,https://vcre8.jp/
〒920-0935 石川県金沢市石引4丁目4番6号,眼科機器、光学機器、医療機器一般の販売、修理及び賃貸、眼科医療用医薬品の販売、医療施設における電子カルテ、画像ファイリング事業、眼科開業における設計、施工、コンサルティング事業、眼科関連機器（医療機器、眼鏡等）における新規開発、製造、販売,三和メディカル株式会社,keep,集客 / SNS運用 / コンサルティング / ブランディング,,076-222-1655,,運用 / 代行 / コンサルティング,https://yuryoweb.com/company_info/%e4%b8%89%e5%92%8c%e3%83%a1%e3%83%87%e3%82%a3%e3%82%ab%e3%83%ab%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,クリニック / 病院 / 歯科 / 地域,https://www.sanwamedical.co.jp/
〒812-0851 福岡県福岡市博多区青木1丁目17-1-108,１、お墓に関する相談対応、ご案内 ２、石材店・霊園様インターネット広告業務 ３、石材店・霊園様ホームページ制作 ４、石材店・霊園様ニュースレター制作 ５、石材店・霊園様コンサルティング ６、セミナーの開催 資格・認証 IT補助金支援事業者,株式会社日本仏事ネット,keep,Webマーケティング / webマーケティング / 集客 / コンサルティング,,092-260-3320,,運用 / サポート / コンサルティング,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e6%97%a5%e6%9c%ac%e4%bb%8f%e4%ba%8b%e3%83%8d%e3%83%83%e3%83%88/,MEOハブ候補,,https://nibu.net/
〒418-0003 静岡県富士宮市ひばりが丘111,総合広告業／印刷物媒体企画制作編集・HP企画制作・看板企画制作 企画～制作まで、広告に関するあらゆるご提案 店舗（看板）デザイン企画制作 印刷物デザイン企画制作 webデザイン企画制作 モバイルサイト企画制作 広告（販売）戦略 その他 静岡県のおすすめ制作会社 富士宮市のホームページ制作会社 伊東市のホームページ制作会社 静岡県のホームページ制作会社 浜松市のホームページ制作会社 静岡市のホームページ制作会社 静岡県の制作会社一覧 静岡市 浜松市 沼津市 熱海市 三島市 富士宮市 伊東市 島田市 富士市 磐田市 焼津市 掛川市 藤枝市 御殿場市 下田市 裾野市 湖西市 御前崎市 菊川市 伊豆の国市 賀茂郡 田方郡 駿東郡 榛原郡,株式会社アドライン,keep,集客 / SNS運用,,0544-26-6265,,運用,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a2%e3%83%89%e3%83%a9%e3%82%a4%e3%83%b3/,MEOハブ候補,店舗 / 飲食店 / レストラン / 病院 / 学習塾 / 不動産 / 自動車,https://www.ad-line.jp/
