company_name,url,address,phone,maps_url,status,source_url,business_description,hub_evidence,recurring_evidence,store_evidence
株式会社357,https://www.sangonana.jp/,〒700-0975 岡山県岡山市北区今8-2-19 プラザ富士,086-243-4054,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be357/,CMやPV等の映像・広告等のグラフィック・ホームページやWEBシステムの企画・制作,集客 / コンサルティング,代行 / コンサルティング,クリニック / 不動産
株式会社 アーバイ,https://a-by.jp/,〒231-0058 神奈川県横浜市中区弥生町2丁目15−1 スト-クタワ-大通り公園3 502C,045-308-8691,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be-%e3%82%a2%e3%83%bc%e3%83%90%e3%82%a4/,プログラミング・システム開発 人工知能 IT化支援 プログラミング教室 ホームページ制作,集客 / コンサルティング,コンサルティング,飲食店 / レストラン / 美容室 / サロン / 学習塾 / 不動産
岡村印刷工業株式会社,https://www.okamura-pic.co.jp/,〒635-0143 奈良県高市郡高取町車木215,0745-62-2701,,MEOハブ候補,https://yuryoweb.com/company_info/%e5%b2%a1%e6%9d%91%e5%8d%b0%e5%88%b7%e5%b7%a5%e6%a5%ad%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,プリンティング事業 プロモーション事業 システム開発事業 アーカイブ事業,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,運用 / 代行 / コンサルティング,
株式会社アイシステム,https://www.isystem-gr.com/,〒710-0803 岡山県倉敷市中島2355-156,086-460-3310,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a2%e3%82%a4%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0/,ホームページ制作 / 映像制作 / WEBシステム開発 / 不動産紹介サイト運営,集客 / SNS運用 / コンサルティング / ブランディング,運用 / コンサルティング,飲食店 / レストラン / クリニック / 病院 / 不動産
株式会社マルシン広告社,https://ad-marushin.co.jp/,〒700-0942 岡山市南区豊成3-24-15,086-263-4141,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%9e%e3%83%ab%e3%82%b7%e3%83%b3%e5%ba%83%e5%91%8a%e7%a4%be/,総合企画広告業(TV・新聞・情報誌・媒体広告の企画制作) SP企画(印刷物・媒体広告の企画制作) PR企画(企業案内・PR・CI計画の企画制作) 商品開発・事業開発のアートディレクション イベント企画・プロデュース 情報誌及び出版事業 インターネットを利用した各種情報提供サービス及びシステム開発・企画制作,Webマーケティング / webマーケティング / 集客 / ブランディング,,飲食店 / レストラン / 美容室 / サロン / ホテル / 旅館 / 学習塾 / 不動産
株式会社Web-Farm,https://web-farm.jp/,〒702-8031 岡山県岡山市南区福富西1-19-27,086-237-7222,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%beweb-farm/,インターネットマーケティング事業 広告代理店事業 情報サイト企画・運営,Webマーケティング / webマーケティング / 集客,運用 / 管理 / 代行 / サポート,飲食店 / レストラン
株式会社パットウェブ,https://patweb.jp/,〒903-0804 沖縄県那覇市首里石嶺町1-161-8 Cafoo Villa 102号,098-943-6780,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%91%e3%83%83%e3%83%88%e3%82%a6%e3%82%a7%e3%83%96/,ホームページ制作、デジタルコンテンツの制作・運営・更新 沖縄県のおすすめ制作会社 那覇市のホームページ制作会社 浦添市のホームページ制作会社 南城市のホームページ制作会社 沖縄県のホームページ制作会社 石垣市のホームページ制作会社 沖縄県の制作会社一覧 那覇市 宜野湾市 石垣市 浦添市 名護市 糸満市 沖縄市 豊見城市 うるま市 宮古島市 南城市 国頭郡 中頭郡 北谷町 島尻郡 西原町,集客,,クリニック
株式会社相永,https://www.xn--yck7ccu3lc7455c30ebl3e4owb.com/,〒901-0146 沖縄県那覇市具志1-1-11 新建託高良ビル201号,098-996-3648,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e7%9b%b8%e6%b0%b8/,,集客 / SNS運用,運用,病院
コンピューターネットワーク株式会社,https://www.c-n-c.co.jp/,〒905-0021 沖縄県名護市東江5-13-7,0980-53-0912,,MEOハブ候補,https://yuryoweb.com/company_info/%e3%82%b3%e3%83%b3%e3%83%94%e3%83%a5%e3%83%bc%e3%82%bf%e3%83%bc%e3%83%8d%e3%83%83%e3%83%88%e3%83%af%e3%83%bc%e3%82%af%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,電気通信事業法に基づく電気通信事業ならびに電気通信事業に係るコンサルティング 電気通信設備及びこれに附帯する設備の開発、販売、保守、管理及び賃貸、工事の請負 国内および国際付加価値通信網による電気通信事業ならびに情報提供サービス事業 付加価値通信網設備の販売、賃貸、設置、保守、管理 インターネットを利用した情報提供サービス業、通信販売業、情報提供の仲介業、デジタル・コンテンツ等の製作、販売、保守、管理 コンピュータのソフトウェア及びハードウェアの開発、設計、製造、販売、保守、管理 情報処理サービス事業、情報処理請負業、情報システム関係のコンサルタント業、情報機器関係のセットアップサービス業 映像及び音響機器を含む一般家電製品の販売、設置工事、保守、管理 コンピュータ・ネットワーク,集客 / コンサルティング,保守 / 管理 / コンサルティング,飲食店 / レストラン / 地域
株式会社ハル・カンパニー,http://www.hal-company.jp/,,0466-86-5996,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%8f%e3%83%ab%e3%83%bb%e3%82%ab%e3%83%b3%e3%83%91%e3%83%8b%e3%83%bc/,・ デザインの総合コンサルティング ・ コンセプトワーク ・ ブランディング ・ ネーミング ・ キャッチフレーズ ・ CI/シンボルマーク/ロゴデザイン ・ グラフィックデザイン ・ 商品企画 ・ 店鋪企画 ・ 販売促進企画制作 ・ 広告宣伝デザイン企画制作 ・ 各プロジェクトの活性化プラン ・ アーティストのブランディング ・ スペースデザイン ・ パッケージデザイン ・ キャラクターデザイン ・ WEBデザイン ・ CGコンテンツデザイン ・ CGアニメーション ・ コマーシャルフィルム ・ VIDEO/DVD ・ 医療関連デザイン業務 ・ 医院/病院の設計監修,集客 / コンサルティング / ブランディング,コンサルティング,病院 / 歯科 / 士業
