address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,"作って終わりの制作ではなく「売上・集客に繋げる」ためのサイトを制作します。

お客様のビジネスモデルに即した「成果の出る導線設計」を行い、将来的なマーケティング戦略まで視野に入れた効果的なサイトをご提供。

またSEO、MEO支援、Web広告運用、LINE構築代行など、Webマーケティング施策をトータルでサポート。Webを起点に、ビジネス成長を力強く伴走します。",One Origin｜Web集客に特化したホームページ制作,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/oneservice-nocode,MEOハブ候補,https://www.resume.id/one_service/works
,株式会社Qopoは、ベンチャー企業のマーケティング支援、デザイン・コンサルティング、Web制作を手掛ける制作会社です。クライアントと一体となって課題解決に取り組む「伴走型」の支援が特徴。大手広告代理店などで経験を積んだプロフェッショナルが、最適なチームを組成し、本質的な課題解決と高いパフォーマンスを提供します。緻密な戦略と論理的なデザインに基づいたWebサイト制作を得意とし、機動性の高いサポートで企業の成長を後押しします。,Qopo株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/qopo,MEOハブ候補,https://qopo.co.jp/
,"料金体系と制作フローを明確にし、初めての方でも安心して進められるWeb制作を提供しています。
最新の仕組みを活用し、快適に閲覧できるサイトを目指した設計を行い、フロントエンドからバックエンド・データベースまで一貫対応が可能です。公開作業や運用管理まで任せられる体制を整え、依頼者の負担を抑えつつ、ストレスの少ないプロジェクト進行を実現します。",シックル,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/sikul,MEOハブ候補,https://sikul.jp/
,Webサイトの制作と人材育成をセットで行うサービスが特徴的な愛知県名古屋市の制作会社。自社にてデザインスクールを10年以上展開しており、そのノウハウを生かして、ホームページ制作を行いながらノウハウや運用方法をクライアントのスタッフに提供していく。,有限会社Tribes20,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/tribes20,MEOハブ候補,http://www.tribes20.com/showcase/
,"EC事業コンサルに強みを持つ会社。
クライアントのEC事業の課題をワンストップで解決可能なのが特徴。
実勢数・継続率も高く、コンサルタント・マーケターのみの少数精鋭で運営するとことにより、余分な販管費や人件費を可能な限り抑える事で、業界水準よりも安価な価格提供を実現している。",株式会社PIC,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/pic-c,MEOハブ候補,https://pic-c.co.jp/
,"FEEL DESIGNは、東京都港区と神奈川県藤沢市を拠点に全国対応で、中小企業・個人事業主のホームページ制作を提供しています。
女性のブランディングデザイナーとエンジニアが窓口となり、お客様一人ひとりとのコミュニケーションを大切に、制作をしています。
ブランディングを取り入れてホームページを制作。洗練されたデザインが好評です。
理想のお客様が集まる、集客に強いホームページを制作します。
中小企業、個人事業主、店舗が得意ジャンルで、美容系や医療係、士業系、クリエイターのポートフォリオサイトなど、豊富な実績を重ねています。",FEEL DESIGN,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/feel-design,MEOハブ候補,https://feel-design.jp/works/
,"インターネット事業やシステム開発事業を行なっている大阪府大阪市の会社。「HIT-MALL」の事業ブランド名でECサイトの構築・運営代行サービスを提供している。消費者向けECサイトの構築からBtoB向けECサイトの構築、ショッピングモールの構築などまで幅広く対応。
また、同社は15年以上にわたって、有名企業のEC構築、運営代行を行ってきた。三井製糖、すかいらーく、阪神タイガース、新潮社などの実績を保有。顧客満足度は97%、継続率は94%という評価を得ている。",アイテック阪急阪神株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/hit-mall,MEOハブ候補,https://www.hit-mall.jp/works/index.html
,沖縄県に本社を置く制作会社。多種多様な業界でのサイト制作実績を多く持つ。デザインやコンテンツなどをほとんどおまかせでサイトを作成してくれるおまかせプランなど、発注元が低コストで差異を作成することができるプランを提供している。打ち合わせの際には実際にホームページ制作に携わる技術者が直接対応する。,スタイルウェブ,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/ryukyunet,MEOハブ候補,https://www.ryukyunet.biz/works
,"医療機関、福祉施設向けホームページを制作し続け１５年以上の実績があります。運用サポートや販促支援にも強いため、成果を求める医療機関向け。ホームページ作成の実績はグループ全体で15000件以上あり、業界でもトップクラスの成功事例を保有しているのが特徴です。公開後は充実したサポートもあるため、初心者の方やＷｅｂ担当者がいない場合でも安心です。
医療機関向けのＷｅｂ活用コラムも公開中。",株式会社バックステージ（STAGE GROUP）（サービス名：メディカルウェブステージ）,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/medicalwebstage,MEOハブ候補,https://www.medicalwebstage.jp/results/
,"EC運営出身の代表がコンサルティングから始めたビジネスが母体になっているため、売上を上げるためのWEB制作が出来るクライアントの立場に立った数少ない制作会社です。
またアイミツアワード ホームページ制作部門2020/2021上期2期連続受賞し、日本最大級のビジネスマッチングサイト「アイミツ（https://imitsu.jp/）」 に登録されている 5000を超える企業のなかから、「優良企業」として表彰されました。",株式会社MHDESIGNS,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/mhdesignsco,MEOハブ候補,https://mhdesigns.co.jp/category/works/
