address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,"お客様に安心して利用いただけるホームページ作りをモットーに、これまで300件以上のホームページ制作を行ってきました。WEBマーケティングには本当に数十万、数百万円といった高額な費用が必要なのか、その点に疑問を抱き、中小企業の方でもはじめられるWeb制作×集客サービスを立ち上げました。
専任担当者が御社のWeb担当として精一杯Web運用をサポートさせて頂きます。月額9,800円～のご予算でビジネスに必要なWeb集客ツールを揃えられます。ホームページについてお困りの方は是非お気軽にご相談ください。",WEB制作HOUSE,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/toyama-webhouse,MEOハブ候補,https://toyama-webhouse.com/
,IT業界にて25年間培ってきたメディア運営ノウハウを元に、ウェブサイトの設計からお手伝いします。ライター、プログラマ、デザイナーが在籍しており、幅広いご要望にお応えできます。無料で使えるアフィリエイトASPも。,株式会社イークス,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/ex-inc,MEOハブ候補,https://ex-inc.jp/
,商品企画からブランディング、グラフィックデザイン、WEB制作、プロダクトデザイン、テキスタイルデザイン、包装資材まで総合的にデザインを行う京都と東京のデザイン事務所。コンテンツ制作やオウンドメディア構築まで幅広い領域でデザインを手がける。スタッフは女性デザイナー中心で他社と明確に差別化。,コイズミデザインファクトリー,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/koizumi-design-factory,MEOハブ候補,https://koizumidesignfactory.com/works/
,"1999年創業、BtoB中小企業のブランディング・PR戦略に強みを持つ、東京神宮前のホームページ制作会社。リ・ブランディング構築を基軸に WEB＆DTP＆動画等をワンストップで制作し、確固たるPR戦略立案・構築・実行をフルサポートします。

また、独自開発の専用ノンコードモジュールを活用した、Hubspot CMSでのWEBサイト構築を得意としております（Hubspot公認パートナー）。",株式会社フブキ,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/fubuki,MEOハブ候補,https://www.fubuki.com/works/
,"長年公共団体でのWEBアプリケーション開発経験から、より実質的なバリューに最適なコストで実現するノウハウとマネジメント力で、発注者に傾聴する開発をしています。
　情報処理安全確保支援士・ISMS審査員補資格をもち、実践的で効率的なセキュリティ体制の構築ができます。
　近年の公共案件では、安全確保支援士資格者が受注条件になっていることも多く、上流工程に参画させていただくことが多くなっています。

　会員数800人を超えるフリーランスエンジニアLINEコミュニティを運営
人材確保やバックアップ体制でもお手伝いさせてください。",合同会社TechnoKuRo,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/techno-kuro,MEOハブ候補,https://techno-kuro.com/
,"旭川と近郊市町で販促・集客・求人を行うなら「ライナー」へ。
毎週火曜日と金曜日に約17万部のフリーペーパーを発行。
旭川市内は可能な限り全戸配布を行い、有料新聞の未購読世帯にもお届けしています。
ほかにもチラシ折込や販促支援なども手掛ける、エリア集客に強いメディアです。
デザイン制作やWEBマーケティングなど幅広い分野でサポートします。",株式会社ライナーネットワーク,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/liner,MEOハブ候補,https://liner.co.jp/
,日本最大級のWebサービスのPdMや国内人材大手の新規事業提案制度の運用などを経験した代表が立ち上げたWeb制作・コンサルティング企業です。Web制作のみならず大規模Webサービスの運用支援やリニューアル、オウンドメディア立ち上げを含むSEOなどに強みを持っています。,合同会社カタカナ,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/ktkn,MEOハブ候補,https://ktkn.jp/
,"私たちはプロジェクトが始まるたびに思うことがあります。世の中は素敵な企業やサービスであふれていると。
しかしその魅力を伝えられていない、あるいはその魅力にすら気づけていない企業が多いこと。
私たちは、クライアントの真ん中にある価値を見つけ出し、磨き、しかるべき人へ届けます。
気づきや再発見があったり、驚いたり、ワクワクしたり、ドキドキしたり。
受け手の景色が変わるようなクリエイティブを、関わるすべての人と楽しみながらつくり続けたい。
それによって「知らないを伝え」、「伝えるから広げる」を実現できると考えております。",オフィスナカノインディビジュアル合同会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/office-nakano-individual,MEOハブ候補,https://www.office-nakano-individual.com/works/
,"「いえケア」は在宅介護の総合プラットフォームとして、介護サービス事業所に限定した月額固定料金・初期費用0円のホームページ制作を行っています。
在宅介護プラットフォーム「いえケア」からリンクされるため、開設後すぐにリンク経由のアクセスを獲得することができ、検索エンジン対策（SEO）にも効果を発揮するため、早期に結果を得ることができます。
介護事業所のサイト制作を開始、介護事業所と介護を必要とする人をつなぎます。",株式会社ユニバーサルスペース,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/kaigor,MEOハブ候補,https://universalspace.jp/
,アメリカ発のWebflowを専門に扱う当社は、ホームページ制作で運用コストを最大50％カット可能です。1人でも運用でき、SEOやマーケティングが強化され、スマホ対応も完備。現在無料のWebサイト診断を提供中です。WebflowでWordPressの不便を解消しましょう。,Web春,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/non-haru,MEOハブ候補,https://www.non-haru.com/work
,Webサイト制作、ECサイト構築、システム開発、ツール制作などITに関することを幅広く行っています。また、ＩＴ技術研修も実施しています。,合同会社テックリンケージ,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/ramen-meishi,MEOハブ候補,https://sample01.ramen-meishi.com/
,Webマーケティング、SNSマーケティングに強みのある制作会社。大手ナショナル企業様から中小企業様まで、競合に打ち勝つWebマーケティング戦略を構築しサイト制作に実装します。,RFA digital brains株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/r-f-a,MEOハブ候補,https://www.r-f-a.co.jp/works/
,"株式会社グレートブレーンはデザイン・クリエイト・プロデュースという分野で皆様のビジネスをサポートする多様なソリューションを提供しております。お気軽にご相談ください。
ホームページ制作/映像制作/グラフィックデザイン/イベント企画・制作/店舗プロデュース/SNS代行/プレゼン資料制作/ECコンサルタント/リスキリング支援

制作価格帯
エコノミー：118,000円〜、ベーシック：167,000円〜、EC：187,000円〜",株式会社グレートブレーン,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/greatbrain475,MEOハブ候補,https://www.grazie-sakaiminatocity.com/
,"私たちは、ブランディングを得意とするデザイン会社です。

企業や、プロダクトや、サービス。それらの価値やストーリーを世の中に伝えることが私たちの仕事です。新しい事業やプロダクトを自ら発想することも得意としています。

Webサイト制作はもちろん、ロゴ制作、グラフィックデザイン、映像制作などブランディング、マーケティング全般に関わる制作・コンサルティングに対応しています。",株式会社スタンス,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/stans,MEOハブ候補,https://stans.jp/works/
,株式会社ADSOULはデジタルマーケティングに特化したサービスを提供しており、SEO対策、MEO（マップエンジン最適化）、リスティング広告などを通じてクライアントのサイトを強化しています。また、ウェブサイト改善、データ分析、広告媒体作成など多岐にわたるサポートを行っています。,株式会社ADSOUL,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/adsoul,MEOハブ候補,https://adsoul.jp/
,営業、プロデューサー、ディレクター、デザイナー、コーダーと各セクション社内に複数在籍し、案件の提案、処理速度は速く、ワンストップでの提供が可能。　大手企業から、地元の中小企業まで案件規模にあった提案サービスを保有し、実績も多数ございます。,株式会社サクラアルカス,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/sakura-pr,MEOハブ候補,https://www.sakura-pr.co.jp/
,"【集客に強い】ホームページ運営を行うWEB会社。
ディレクター・デザイナー・SEOコンサル等すべての人材が経歴10年以上のベテランであり、各専門家がチームとなりお客様のサイト制作からアフターまでワンストップで提供しております。

代表が「WEB版アベンジャーズ」を目指し創業した当社は、組織としてはまだ浅い会社ですが、個人の経験実績においては正にプロ中のプロが集まっている組織です。

ローコスト / ハイクオリティ / ハイパフォーマンス
なないちは【感動領域の追求企業】です！",なないち。,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/7-ichi,MEOハブ候補,https://7-ichi.com/
,"企画から実装のみならず、映像や写真コンテンツまで幅広くノンストップで制作を行う。
サイト制作実績としてはアーティストや小規模事業者から大手企業の採用サイト、コーポレートサイトなど幅広い実績をもち、プロジェクトに合ったコンテンツの提案を得意としています。また、弊社代表がベトナムのオフショア企業の役員をおこなっていることもあり、動画オウンドメディアから、クラウド会計ソフトまで大規模のシステムでのUI設計、アプリ開発まで幅広い実績を持っている。",株式会社SHINSEKI,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/shinseki,MEOハブ候補,https://shinseki.jp/work/
,「お客様の実成果」にこだわるマーケティングの伴走支援の会社です。集客数や閲覧数を追いかけるあまり、本来行うべき事業への貢献度に目を向けられていない会社が多い中、当社では、「マーケティングの全体最適」「クライアント社内へのノウハウの蓄積」「売上や粗利/営利への貢献度をもとにした戦略、戦術の実行」が重要な価値だと考え、上記に則った、伴走支援を1つでも多く行うことをミッションとして取り組んでいきます。,株式会社サイダーストーリー,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/sider-story,MEOハブ候補,https://sider-story.co.jp/
,"地元密着の制作会社としてたくさんの実績を持ち、個人事業主〜大手企業まで様々な案件に対応することができます。
撮影、印刷、WEBと制作媒体も幅広く、制作金額についてもある程度は相談できますのでまずはお気軽にご相談ください。",株式会社covs,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/covs,MEOハブ候補,https://covs.jp/works/
