company_name,decision,reason
株式会社Camy's,KEEP,SNS運用代行と継続運用実績を公式サイトで確認
株式会社Gaku,KEEP,SNS・広告・映像の継続支援と店舗型顧客事例を確認
株式会社hamon,KEEP,Webマーケティング・SNS運用・広告運用を確認
株式会社Aibin,KEEP,SNS運用代行会社の公式サイトを確認
株式会社ガムシャラ,KEEP,SNS運用と広告運用の一貫支援を確認
株式会社5winパートナーズ,KEEP,マーケティング支援・広告運用・動画制作を確認
株式会社現次,KEEP,住宅業界特化のSNS運用と継続伴走を確認
BMS株式会社,KEEP,工務店・不動産向けWeb・SNS継続支援を確認
Sunny Loop株式会社,KEEP,SNS運用・広告設計・長期伴走を確認
株式会社ダイバージェンス,KEEP,自動車業界向けSNS・Web集客支援を確認
株式会社linelabo,KEEP,LINE運用・広告運用・継続支援を確認
株式会社メドエックス,KEEP,医療機関特化のSNS運用代行を確認
Mediative,DROP,既存シートにMediative株式会社の親ドメインが登録済み
ソラコマ株式会社,KEEP,SNS運用代行・広告代理・企業支援を確認
FREEBECK Co.,DROP,URLが不正で公式サイトを確定できない
ブリッジオ株式会社,DROP,採用代行中心で集客販促の提案権限を確認できない
株式会社サンメディックス,KEEP,地域企業向けWeb集客とMEO運用を確認
ログライン株式会社,KEEP,Web集客・広告運用・Web担当者代行を確認
株式会社ウェブタイガー,DROP,研修・講師派遣中心で運用受託と店舗顧客接点が弱い
株式会社ミセカタ,KEEP,SNS戦略・広告運用・制作の一貫支援を確認
株式会社Everybeyond,DROP,BtoBマーケティング専業で店舗型顧客接点を確認できない
株式会社ユチュブる,KEEP,業種横断のYouTube運用代行と継続改善を確認
株式会社Z Marketing,KEEP,TikTok運用代行事業を確認
