address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,source_url,status,url
〒170-0013 東京都豊島区東池袋1-28-1 タクトTOビル801,ホームページ制作 WEB集客コンサルティング（SEO・MEO対策ほか） システム開発 無人脱毛サロン運営 リフォーム会社向けアフターフォローサービス,合同会社LIT UP,keep,広告 / 集客 / 運用 / 管理 / コンサル / ホームページ制作,,,,https://www.weblinks.jp/hpvendor/1706676534-480825,MEOハブ候補,https://lit-up.jp/
〒104-0061 東京都中央区銀座1丁目２２ー１１ 〒104-0061 東京都中央区銀座６丁目１４−８ 〒151-0053 東京都渋谷区代々木５丁目５７ー2,WEBマーケティング SNSマーケティング 経営戦略 経営管理,株式会社エクシードコンサルティング,keep,WEBマーケティング / Webマーケティング / SNS / 管理 / コンサル,,,,https://www.weblinks.jp/hpvendor/1694968923-006550,MEOハブ候補,https://exconsulting.co.jp/web-team/
〒101-0025 東京都千代田区神田佐久間町3-5 第二櫻井ビル2F 22号室,スマートフォンアプリ開発 WEBアプリケーション開発 ソーシャルアプリ開発 ITコンサルティング イベント企画 セミナー事業 SES事業 労働者派遣事業 主要取引先 株式会社KADOKAWA 株式会社Cygames チームラボ株式会社 株式会社ハッツアンリミテッド ヒューマンアカデミー株式会社 株式会社マーベラス ワイズエージェンシー株式会社 （順不同 敬称略）,株式会社EXIT,keep,SNS / 広告 / 集客 / 運用 / 保守 / コンサル,,,,https://www.weblinks.jp/hpvendor/1694683723-524531,MEOハブ候補,https://exit-co.jp/
〒550-0006 大阪府大阪市西区江之子島1-7-3 奥内阿波座駅前ビル808 〒150-0001 東京都渋谷区神宮前6-23-4 桑野ビル2F,・Webサイト制作事業 ・Webシステム開発事業 ・Webアプリ開発事業 ・Webマーケティング事業 ・映像制作事業 ・プロモーションプランニング事業 ・マーケティングコンサルティング事業 ・自社サービス運営 など 主要取引先 ・Google合同会社 ・ヤフー株式会社 ・株式会社マイナビ ・株式会社幻冬舎ゴールドオンライン ・株式会社Speee ・株式会社ジーアングル ・株式会社スカパーカスタマーリレーションズ ・株式会社レックス ・MMクリエイティブコネクト株式会社 ・清洋水産株式会社 ・株式会社コンゼ ・株式会社リヴァイト ・株式会社アクアライズ ・株式会社ワイズインテグレーション ・株式会社FREEMIND ・株式会社Five など,株式会社リフレクション,keep,WEBマーケティング / Webマーケティング / SNS / 広告 / 運用 / コンサル,,,,https://www.weblinks.jp/hpvendor/1709700332-798660,MEOハブ候補,https://reflection-inc.com/
〒600-8433 京都府京都市下京区繁昌町295-1 京都1号館 5F 2号,広告デザイン制作（ウェブサイト・印刷物・屋外広告） 企業ブランディング制作,株式会社マール,keep,広告 / ブランディング / ホームページ制作,,,,https://www.weblinks.jp/hpvendor/1690948996-360315,MEOハブ候補,https://www.marl-inc.com/
〒153-0051 東京都目黒区上目黒2-15-6 小林ビル4F,●WEB事業 ・WEBデザイン/コーディング ・ECサイト構築/運用(スクラッチ・EC-CUBE・ASP・楽天などのモール系） ・Wordpressカスタマイズ(複雑なカスタマイズも可能です) ・キャンペーンシステム構築(抽選・シリアルコード・顧客管理) ・その他システム開発全般(入場管理システム・アプリ開発など) ●マーケティング事業 ・チラシ、パンフレット、カタログ制作 ・データ加工作業 ・DM発送代行 等,株式会社トラストビジョン,keep,SNS / 広告 / 運用 / 管理 / WEB制作 / Web制作,,,,https://www.weblinks.jp/hpvendor/1693994879-805553,MEOハブ候補,https://trustvision.co.jp/
〒150-0001 東京都渋谷区神宮前 4-25-35 B1,広告・デザイン・Web制作・コンサルティング 主要取引先 株式会社WEBSTAGE トランスコスモス株式会社 アスノシステム株式会社 山陽印刷株式会社 他数十社,株式会社 IVVA,keep,広告 / 販促 / コンサル / WEB制作 / Web制作,,,,https://www.weblinks.jp/hpvendor/1691479876-117286,MEOハブ候補,https://www.ivva.co.jp/
〒150-0001 東京都渋谷区神宮前6-23-4 2F,Webサイト制作 Webサイト企画/提案 Webサイト運用/管理 Webマーケティング SNSマーケティング グラフィックデザイン 主要取引先 三井住友銀行,夢双合同会社,keep,WEBマーケティング / Webマーケティング / SNS / 運用 / 管理 / ブランディング / ホームページ制作 / WEB制作 / Web制作,,,,https://www.weblinks.jp/hpvendor/1693948252-429930,MEOハブ候補,https://6sou.site/
〒180-0004 東京都武蔵野市吉祥寺本町2-8-4 i-office吉祥寺,Web制作・Webマーケティングを行う会社です。ホームページ制作、LP制作、SEOコンサルティング、MEO、リスティング広告運用代行、SNS運用代行などを行っています。,株式会社UOCC,keep,WEBマーケティング / Webマーケティング / SNS / 広告 / 集客 / 運用 / コンサル / ホームページ制作 / WEB制作 / Web制作,,,,https://www.weblinks.jp/hpvendor/1719901594-039286,MEOハブ候補,https://uocc.co.jp/
〒904-0314 沖縄県中頭郡読谷村古堅66番地3,ウェブメディア制作 ウェブメディア運用 SNS運用 SEO記事作成,株式会社カフーブリッジ,keep,SNS / 運用,,,,https://www.weblinks.jp/hpvendor/1759634312-869162,MEOハブ候補,https://kafuu-bridge.co.jp/
