address,business_description,company_name,decision,detail_url,hub_evidence,list_text,maps_url,phone,reason,recurring_evidence,source_url,status,url
"東京都武蔵野市・サービス業・資本金7,348万円・従業員170名 サービス業 コンサルティング・経営支援業界 東京都武蔵野市御殿山１丁目１番３号",,ディーエムソリューションズ株式会社,drop,https://houjin.goo.to/corporations/9012401014057,,"ディーエムソリューションズ株式会社 ディーエムソリューションズ 証券番号 6549 東証スタンダード 本社東京都武蔵野市・サービス業・資本金7,348万円・従業員170名 サービス業 コンサルティング・経営支援業界 東京都武蔵野市御殿山１丁目１番３号 更新日：2026年08月11日",,,existing_name,,,,
宮崎県都城市上町１３街区１８号,,日本情報クリエイト株式会社,drop,https://houjin.goo.to/corporations/8350001008198,,日本情報クリエイト株式会社 ニホンジョウホウクリエイト 証券番号 4054 東証グロース 不動産業界向けの革新的なソリューションを提供する企業で、さまざまな課題を解決するプラットフォームを展開。テクノロジーで不動産会社を支援し、関わる全ての人を幸せにすることをミッションにしている。 情報・通信業 IT業界 宮崎県都城市上町１３街区１８号 更新日：2026年08月18日,,,existing_name,,,,
東京都墨田区江東橋２丁目１９番７号,,富士ソフトサービスビューロ株式会社,drop,https://houjin.goo.to/corporations/1010601027646,,富士ソフトサービスビューロ株式会社 フジソフトサービスビューロ 証券番号 6188 東証スタンダード 高度な情報管理を基に、効率的な業務サポートを提供する企業であり、幅広いサービスを通じてお客様のビジネスの成長を支援しています。 サービス業 人材・人材派遣業界 東京都墨田区江東橋２丁目１９番７号 更新日：2026年08月25日,,,existing_name,,,,
,,株式会社Ｅストアー,drop,https://houjin.goo.to/corporations/8010401058455,,株式会社Ｅストアー イーストアー 証券番号 4304 東証スタンダード 同社はECサイト構築やネット通販の総合支援を行い、顧客のニーズに応じたサービスを提供。自社ECの成長を支援し、マーケティング施策も展開している。 情報・通信業 コンサルティング・経営支援業界 東京都港区虎ノ門１丁目３番１号 更新日：2026年06月22日,,,existing_name,,,,
,,株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,drop,https://houjin.goo.to/corporations/2010401130731,,"株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ カイゼンプラットフォーム 証券番号 4170 東証グロース デジタル領域での顧客体験改善を専門とし、1,000社以上の実績を誇る。ABテストや動画制作など多岐にわたるサービスで企業の課題解決をサポート。 情報・通信業 コンサルティング・経営支援業界 東京都港区白金１丁目２７番６号 更新日：2026年06月27日",,,existing_name,,,,
東京都品川区東品川２丁目２番４３号,,株式会社アマナ,drop,https://houjin.goo.to/corporations/1010701000676,,株式会社アマナ アマナ 証券番号 2402 東証グロース 創造的コミュニケーションを通じて企業や社会の課題を解決し、価値を高めることを目指す専門家集団であり、ビジュアルコミュニケーションにおいての豊富な実績を持つ。 サービス業 サービス業界（その他） 東京都品川区東品川２丁目２番４３号 更新日：2026年06月22日,,,existing_name,,,,
東京都渋谷区渋谷２丁目１５番１号,,株式会社ライトアップ,drop,https://houjin.goo.to/corporations/1011001041171,,株式会社ライトアップ ライトアップ 証券番号 6580 東証グロース 自社のITサービスを通じて全国の中小企業の黒字化を支援する企業。幅広いニーズに応えるAI活用研修やECサイト構築サービスを展開し、顧客満足の向上に努めている。 情報・通信業 コンサルティング・経営支援業界 東京都渋谷区渋谷２丁目１５番１号 更新日：2026年06月22日,,,existing_name,,,,
"東京都渋谷区・情報・通信業・資本金28,603万円・従業員89名 情報・通信業 IT業界 東京都渋谷区幡ヶ谷１丁目３４番１４号",,株式会社メディカルネット,drop,https://houjin.goo.to/corporations/1011001036766,,"株式会社メディカルネット メディカルネット 証券番号 3645 東証グロース 本社東京都渋谷区・情報・通信業・資本金28,603万円・従業員89名 情報・通信業 IT業界 東京都渋谷区幡ヶ谷１丁目３４番１４号 更新日：2026年08月21日",,,existing_name,,,,
"東京都渋谷区・情報・通信業・資本金138,012万円・従業員67名 情報・通信業 IT業界 東京都渋谷区桜丘町１番１号",,株式会社セレス,drop,https://houjin.goo.to/corporations/1010401073460,,"株式会社セレス セレス 証券番号 3696 東証プライム 本社東京都渋谷区・情報・通信業・資本金138,012万円・従業員67名 情報・通信業 IT業界 東京都渋谷区桜丘町１番１号 更新日：2026年06月22日",,,existing_name,,,,
"東京都墨田区・製造業(パルプ・紙)・資本金2,000万円・従業員61名 製造業(パルプ・紙) 広告業界 東京都墨田区向島３丁目３５番９号",,大東印刷工業株式会社,drop,https://houjin.goo.to/corporations/9010601011460,,"大東印刷工業株式会社 本社東京都墨田区・製造業(パルプ・紙)・資本金2,000万円・従業員61名 製造業(パルプ・紙) 広告業界 東京都墨田区向島３丁目３５番９号 更新日：2026年08月25日",,,existing_name,,,,
