company_name,url,address,phone,maps_url,status,source_url,business_description,hub_evidence,recurring_evidence
シッポコード,https://shippo-code.com/,,,,MEOハブ候補,https://web-kanji.com/companies/shippo-code,"【サイト制作から集客まで、一貫したサポート】
WEB歴9年、デザイン・制作・運用など合計600以上の実務経験あり。
一貫して事業発展をサポートいたします！

シッポコードが提供するのは、ただ見た目が美しいだけのWEBサイトではありません。デザインや機能性にこだわるのはもちろん、その先にある「事業の発展」までを見据えています。

個人事業主だからこその早い意思決定と柔軟な対応で、事業成長に伴走します。

” 猫のようにしなやかに ”
” 頭のテッペンからシッポの先まで行き届く仕事をすること ”

この理念を掲げ、お客様の事業成長を後押しします。",Web制作会社プロフィール,
WELUCA（ウェルカ）,https://www.weluca.jp/works/,,,,MEOハブ候補,https://web-kanji.com/companies/weluca,WELUCA（ウェルカ）は、大阪府富田林市を拠点に全国対応するホームページ制作事業です。Webに詳しくない方にも分かりやすく、相談内容の整理から制作、公開後の保守・更新まで一貫して支援します。WordPressサイト、SEO・MEO、サイトリニューアル、ECサイトの構築・運用にも対応しています。,Web制作会社プロフィール,
株式会社キャスタル,https://kyastal.com/works,,,,MEOハブ候補,https://web-kanji.com/companies/kyastal,株式会社キャスタルは、大阪を拠点に全国対応するソフトウェア開発会社です。業務システムやコーポレートサイト・採用サイト・LPなどのWeb制作、AI導入・業務自動化を、課題整理から企画、設計、開発、運用まで一貫して支援。クラウド、XR・3D、LINEミニアプリにも対応し、中小企業の現場で長く使われる仕組みづくりに伴走します。,Web制作会社プロフィール,
YK Lab Works,https://yklabworks.com/,,,,MEOハブ候補,https://web-kanji.com/companies/yklabworks,飲食店・カフェ・美容室など、実店舗のホームページをメインに制作しています。既製テンプレートに文字を流し込む作り方はせず、業種・客層・価格帯を伺ってから一から設計します。業種別に6種類の様式を用意しており、お店の空気に合うものからご提案します。公開後の更新は回数の制限なく月額に含めており、作ったまま古くなる状態を作りません。小規模な店舗さまのご相談も歓迎しております。,Web制作会社プロフィール,
合同会社 Initiate Global Strategies,https://i-gs.co.jp/services/goto-kashimasu/,,,,MEOハブ候補,https://web-kanji.com/companies/i-gs,ホームページ制作に加えて、SEO対策、AI検索対応、記事の企画と制作、SNS運用、アクセス解析までを複合的に提供しています。Web担当者を採用する代わりに、代表の後藤本人を月単位で使える契約です。作って納品したら終わりではなく、公開後も同じ担当者が毎月優先順位を変えながら手を入れ続けます。月10万円から、毎月10社限定です。,Web制作会社プロフィール,
Sakrea,https://sakrea.jp/works/,,,,MEOハブ候補,https://web-kanji.com/companies/sakrea,Sakrea（サクレア）は、神奈川県大和市を拠点とする地域密着型のWebサイト制作事業者です。ご相談から設計・デザイン・構築、公開まで代表が一貫して担当。担当者が変わることなく、お客様の想いや課題を共有しながら進められます。制作して終わりではなく、アクセス解析をもとにした改善提案など、公開後の継続的な運用支援も得意としています。,Web制作会社プロフィール,
Aurora Mobile 株式会社,https://www.engagelab.com/ja_JP/customer-cases,,,,MEOハブ候補,https://web-kanji.com/companies/engagelab,EngageLabは、企業の顧客エンゲージメント向上を支援するグローバルプラットフォームです。AppPushとWebPushを中心に、メール、SMS、WhatsAppなど複数のチャネルに対応。高い到達率、柔軟なAPI、ユーザー行動に基づく配信と効果分析により、Webサイトやアプリの再訪促進、顧客維持、コンバージョン向上を支援します。,Web制作会社プロフィール,
リーズナブルHP,https://www.reasonable-hp.com/sample/,,,,MEOハブ候補,https://web-kanji.com/companies/reasonable-hp,"サブスク型ホームページ制作サービス「リーズナブルHP」は、個人事業主・小規模法人向けに、初期費用0円・月額7,980円(税別)で提供しています。

ページ構成や掲載内容の提案から文章作成まで対応しているため、「何を載せればよいか分からない」という方でも安心してお任せいただけます。
集客や問い合わせにつながるサイト設計やSEO内部対策も標準対応。
公開後は保守管理に加え、テキスト修正や画像差し替えなどの軽微な更新にも対応しており、制作から運用までまとめて任せられます。
セミオーダー形式を採用することで、品質を保ちながら導入しやすい価格を実現しています。",Web制作会社プロフィール,
合同会社傑作,https://lit.link/kessaku,,,,MEOハブ候補,https://web-kanji.com/companies/kessaku,"合同会社傑作（Kessaku LLC.）代表の有田です。

弊社は2024年1月に東京都渋谷区で設立したクリエイティブカンパニーです。
「つくって、誰かの役に立つ」をひたすらやり続ける会社として、常に挑戦し、止まらず、攻め続ける姿勢を大切にしています。

私たちが目指すのは、目先の「益」よりも「長い御縁」です。お客様の課題解決に向けて、今日も本気に楽しくモノづくりに向き合っています。

「We Only Make Master piece」をスローガンに掲げ、ブランドの立ち上げから、WEBサイト、グラフィックデザインまで、お客様の「最高傑作」をともに創り上げるパートナーとして伴走いたします。",Web制作会社プロフィール,
クリエイトアコード,https://create-accord.com/work-case/,,,,MEOハブ候補,https://web-kanji.com/companies/create-accord,"クリエイトアコードは、ホームページの改善提案・修正・運用を強みに、札幌を拠点に活動する個人事業主です。
マーケティング・利用者目線で事業・サービスの情報を整理することを得意とし、サイト設計からWordPressでの制作・改修、公開後の運用まで一貫して対応。ホームページ制作・改善・保守管理・運用、SEO・Webマーケティング支援を中心に、「自ら考え、動きたい」という方を実務面から支える並走型サポートサービスを提供しています。
各サービスの詳細は、クリエイトアコードのホームページをご確認ください。",Web制作会社プロフィール,
株式会社Medi-Ground,https://www.medi-ground.net/services/system-development/,,,,MEOハブ候補,https://web-kanji.com/companies/medi-ground,株式会社Medi-Groundは、東京・渋谷を拠点とするシステム開発会社です。コーポレートサイトやECサイトの構築に加え、Webアプリケーション・業務システムの開発、API連携・業務自動化、AI機能の組み込みまで対応します。案件ごとに専属チームを組成し、窓口と品質責任は代表が一元管理。全案件でコードレビューを実施しています。公開後の保守・運用や、他社が開発したシステムの引き継ぎもご相談ください。,Web制作会社プロフィール,
千葉ホームページ相談室,https://chiba-homepage.jp/works/,,,,MEOハブ候補,https://web-kanji.com/companies/umi-design,"SEO対策に強みを持ち、上位表示を目指した企画及び提案をします。
納品後もいつでもご相談いただけるような関係作りにも努めているため丁寧なヒアリングと制作を大切にしてます。
技術面でも歴10数年のシステムエンジニアも常駐しているので制作の他にも開発やセキュリティ対策もお任せください。",Web制作会社プロフィール,
合同会社Kumidiaウェブマーケティング,https://vegancert.or.jp/,,,,MEOハブ候補,https://web-kanji.com/companies/kumidia,茨城県ひたちなか市を拠点に、中小企業・団体の「外部Web担当」として、ホームページ制作・リニューアルからSEO・AI検索対策、Web集客、問い合わせ導線改善、更新運用、セキュリティまで一括支援しています。米国出身でMBAを取得した代表の知見も活かし、国内外のデジタル動向や新技術を取り入れながら、事業全体を見据えたWeb活用を提案。AIを積極的に活用しつつ、最終的な判断・運用・問題対応は人が責任を持って行い、問い合わせや売上につながるWeb運用基盤を継続的に改善します。,Web制作会社プロフィール,
SyncPixel Studio,https://syncpixel-studio.com/works/,,,,MEOハブ候補,https://web-kanji.com/companies/syncpixel-studio,SyncPixel Studioは、東京都台東区を中心に、Webサイトの企画・制作からSEO、アクセス解析、保守・運用まで一貫してサポートするWeb制作事業者です。お客様の目的や課題を丁寧に整理し、デザインや使いやすさだけでなく、成果とその先の運用まで見据えたWebサイトをご提案。「デザイン・Web・人、そのすべてを調和させ、成果を導く上質なWeb体験を。」をコンセプトに、一つひとつのご依頼に丁寧かつ迅速に対応します。,Web制作会社プロフィール,
株式会社HRFreaks,https://saiyou-homepage.jp/#works,,,,MEOハブ候補,https://web-kanji.com/companies/saiyou-homepage,"「採用サイト制作に特化した『採用ホームページ.jp』を運営。運営元は採用コンサルティング会社の株式会社HRFreaks。年間2,500名規模の採用を統括した代表が、採用戦略の設計から原稿づくり、AI検索（AIO）対応まで一気通貫で支援。デザインだけでなく『応募が来る』採用サイトづくりが強みです。」",Web制作会社プロフィール,
花水月,https://togawa-mizuki.com/portfolio,,,,MEOハブ候補,https://web-kanji.com/companies/togawa-mizuki,花水月は、山梨県甲府市を拠点とする伴走型のWeb制作事業者です。公認心理師の傾聴力を活かし、企業や福祉・介護施設の言葉になっていない想いや強みを丁寧に言語化。集客・採用につながるホームページ、採用サイト、ECサイト、LPを企画・制作します。SEO・MEO対策やコンテンツ制作、公開後の保守・改善まで一貫して対応。社内にWeb担当者がいない企業にも、外部Webパートナーとして伴走します。,Web制作会社プロフィール,
合同会社Cloud Creative,https://cloud-creative.jp/works/,,,,MEOハブ候補,https://web-kanji.com/companies/cloud-creative,"課題解決に特化したデザイン制作に強みがあります。誰に向けて何を訴求すべきかを考え、訴求が正しく伝わるデザインを制作。Webからグラフィックまで幅広く対応し、目的に合わせて柔軟にご提案します。

スタートアップの新規事業にデザイナーとして初期から参画してきた経験があり、「何が欲しいかまだ決まっていない」段階からのご相談も得意です。それは本当に必要かという視点も含め、多角的に考えてご提案します。

ものつくりが好きなメンバーが在籍し、デザインクオリティには妥協しません。良いものは良い雰囲気から生まれると考え、意見を出しやすい進め方も大切にしています。",Web制作会社プロフィール,
