company_name,url,address,phone,maps_url,status,source_url,business_description,hub_evidence,recurring_evidence
合同会社ＰＬＵＳ　ＵＬＴＲＡ,https://plus-ultra.tech,2510042 神奈川県藤沢市辻堂新町１丁目１番２号クロスポイント湘南５Ｆ,代表者名 川合 慎也,,,,,,
アイディル株式会社,https://www.aidyl.co.jp,2430016 神奈川県厚木市田村町２番２０号三橋ビルアネックス３階,代表者名 代表取締役／田代 剛章,,,,,,
株式会社プルーセル,https://proosel.co.jp,1120012 東京都,-,,,,,,
株式会社ＨＮ　ｃｏｍｍｕｎｉｃａｔｉｏｎｓ,https://www.hncom1129x.com,1710022 東京都,代表者名 代表取締役 中川 晴彦,,,,,,
株式会社リバティア,https://liberteer.tech,1030023 東京都,代表者名 代表取締役 西川 慶,,,,,,
株式会社センスメイキング,https://sensemaking.jp,1010051 東京都千代田区神田神保町２丁目１４番地,代表者名 花井 裕正,,,,,,
株式会社パスゲート,https://pass-gate.co.jp/company,5300015 大阪府大阪市北区中崎西２丁目１番１号,代表者名 代表取締役 梅原詩騎,,,,,,
エンＳＸ株式会社,https://sales.en-sx.com,1600023 東京都新宿区西新宿６丁目５番１号,-,,,,,,
株式会社コネクトユー,https://www.connect-you.jp,3280024 栃木県栃木市樋ノ口町４３番地５,代表者名 代表取締役社長 高田 光浩,,,,,,
マジメワークス株式会社,https://majimeworks.co.jp,1030004 東京都,代表者名 部田光一,,,,,,
株式会社マニフェスト,http://manifest.co.jp/company,4600002 愛知県名古屋市中区丸の内３丁目１８番１号,052-253-8977,,,,,,
株式会社セレブリックス,https://www.cerebrix.jp,1350063 東京都江東区有明３丁目７番１８号,03-6845-7860,,,,,,
株式会社エグゼクション,https://www.exection.co.jp,1080023 東京都,代表者名 代表取締役 佐藤 成信,,,,,,
株式会社アップルート,http://uproot.jp/company.html,6660024 兵庫県川西市久代２丁目５－１０,072-703-1110,,,,,,
株式会社リベラス,https://www.liberrace.com,1580081 東京都,代表者名 代表取締役 中村 太一,,,,,,
株式会社エニシング,https://www.advance-pcs.com/company,2520303 神奈川県相模原市南区相模大野６丁目１５－１,代表者名,,,,,,
株式会社アッセ,https://asse.ne.jp,1040033 東京都中央区新川１丁目２２番１３号,03-3537-3615,,,,,,
スタッフマーケティング株式会社,http://staff-mk.co.jp/profile.html,1040031 東京都中央区京橋２丁目５番１７号,代表者名,,,,,,
株式会社グランリミット,https://gr-limit.com/company,6650804 兵庫県宝塚市雲雀丘山手２丁目１３番２号,代表者名,,,,,,
株式会社ＭＡＹＡ　ＳＴＡＦＦＩＮＧ,https://mayastaffing.com,1600023 東京都,-,,,,,,
株式会社ＣＯＮＳＣＩＥＮＣＥ,https://www.conscience-co.jp,1060041 東京都港区麻布台１丁目７番３号ＶＯＲＴ神谷町ＩＩ８階,-,,,,,,
ＬＳＩＧＮ　ＰＯＳＴ株式会社,https://lsign-post.com,1040045 東京都中央区築地２丁目２番７号築地フロント２階,代表者名 佐藤 大夢,,,,,,
株式会社ホーカム,https://www.hoocome.com,8020001 福岡県北九州市小倉北区浅野２丁目１４－１ＫＭＭビル５１６,代表者名 二宮 二郎,,,,,,
株式会社ＦａＬｉｃｓ,http://falics.com,7330821 広島県広島市西区庚午北３丁目７－１７ ２Ｆ,082-942-5523,,,,,,
キューアンドエー株式会社,https://www.qac.jp,9800811 宮城県仙台市青葉区一番町１丁目９番１号,代表者名 代表取締役 野村 勇人,,,,,,
株式会社フォーサイトファイブ,https://f5-gs-group.com/company,1060032 東京都港区六本木３丁目１３番１２号エルサビル４０３号室,代表者名 長 英太郎,,,,,,
株式会社Ｍｉｃｈｔａｌｅ,https://michtale.co.jp,1240024 東京都葛飾区新小岩３丁目１１番１０号,代表者名 代表取締役 青木 幹洋,,,,,,
株式会社Ｅ‐ａｃｈ　Ａｄｖａｎｃｅ,https://www.e-achadvance.com,1050001 東京都港区虎ノ門４丁目３番１号城山トラストタワー２７階,-,,,,,,
株式会社ＨＲエイド,http://hraid.co.jp,6510084 兵庫県神戸市中央区磯辺通４丁目２番２６号新芙蓉ビル８階,代表者名 代表取締役 田中 豊,,,,,,
