row,company_name,url,reason,evidence
4,株式会社hamon,https://hamon-z.com,営業等の制限記載あり・要確認,問い合わせフォーム自体は実在するが、サービス相談専用で各種営業・勧誘目的には対応しない旨を明示。営業送信対象として利用不可の制限を記録する必要あり。 https://hamon-z.com/contact/
5,株式会社Aibin,https://www.aibin.design,002未検出, 
6,株式会社ガムシャラ,https://www.gamu-shara.com,用途・稼働状況の要確認,公式CONTACTフォームが実在。ただしSNS運用代行への興味、検討理由、毎月の予算が必須で、発注相談向け。営業提案のために発注意思・予算を創作して入力しない。 https://www.gamu-shara.com/contact-8
7,株式会社5winパートナーズ,https://5win.jp,営業等の制限記載あり・要確認,営業の売り込みや協業目的のお問い合わせはご遠慮 https://5win.jp/contact/
8,株式会社現次,https://genji-group.com,用途・稼働状況の要確認,工務店・住宅会社向けサービス専用。対象業種以外の問い合わせを断っており、GBP運用外注提案の窓口として適合しない。 https://genji-group.com/contact/
10,Sunny Loop株式会社,https://www.sunny-loop.com,営業等の制限記載あり・要確認,セールスはお断り https://www.sunny-loop.com/contact
12,株式会社linelabo,https://linelabo.jp,フォーム未確認・要目視, https://forms.gle/tNzvToTEehsq13EF9
13,株式会社メドエックス,https://med-x.co.jp,営業等の制限記載あり・要確認,営業・セールスを目的としたお問い合わせはご遠慮 https://med-x.co.jp/contact/
14,ソラコマ株式会社,https://soracoma.com/company,営業等の制限記載あり・要確認,営業・セールスはご遠慮 https://soracoma.com/contact
16,ログライン株式会社,https://logline.jp,フォーム未確認・要目視,全面的な営業禁止ではなく電話営業を拒否し、営業/協業問い合わせは興味のあるものだけ返信と案内。取得本文では入力欄0でフォーム実在未確認のため空欄。 https://logline.jp/contact2/
17,株式会社ミセカタ,https://misekata.jp/company/profile,営業等の制限記載あり・要確認,営業・勧誘・広告目的のメールでのお問い合わせはご遠慮 https://misekata.jp/contact/
20,アイピーコンフィグ株式会社,https://ipconfig.co.jp/,002未検出, 
21,三和メディカル株式会社,https://www.sanwamedical.co.jp/,営業等の制限記載あり・要確認,営業目的のお問い合わせはご遠慮 https://www.sanwamedical.co.jp/contact/
23,株式会社関西エージェンシー,https://www.kansai-agc.jp/,用途・稼働状況の要確認,お客様用フォーム。業者は別の業者様用フォーム利用を指定。contact2/の存在先は確認できるがフォーム取得未確認のため代替URLを未検証で採用しない。 https://www.kansai-agc.jp/contact1/
27,株式会社システムワークス,https://sys-works.blue/,フォーム未確認・要目視,2026年5月20日付でフォーム送信が機能しない旨を告知、電話への連絡を指定。入力欄はあるが利用可能なフォームではない。 https://sys-works.blue/contact/
28,株式会社SOU,https://fudosan.in.net/,002未検出, 
31,"株式会社コムネット(COMNET Co.,Ltd.)",http://www.comnt.co.jp/,用途・稼働状況の要確認,デンタルサポート資料請求フォーム。資料発送とサービス案内目的のため営業提案先としての目的適合を未確認。 http://www.comnt.co.jp/otoiawase/
35,株式会社ネットリンクス,http://netlynx.co.jp/,002未検出, 
36,株式会社札幌ウェブデザイン,https://www.8686group.jp/,営業等の制限記載あり・要確認,営業・勧誘等はご遠慮 https://www.8686group.jp/contact
