"Path","Length","LastWriteTime","Hash"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\evals\evals.json","1887","2026-07-17 21:51:39","2EB9DD5F04280621EB29C1D2181E5DD69576839FCD1E8023743C287224E8BF44"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\auto_fix_gate.json","465","2026-07-17 21:54:41","3652AB28DAC2FE413322D1952EF29452D6F4AA9161D08F86C546C3D273951FCF"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\benchmark.json","3831","2026-07-17 21:54:41","F5BF006D1B6921179CA1D7724F8442A4FBE4A7B17AB82A01C9FE806228610ABA"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\benchmark.md","718","2026-07-17 21:54:41","1FF0BD9B0C471CF2AAF9CCC2D51D59F2A64425579FE8A63581D88544731B50EE"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\iteration_manifest.json","1241","2026-07-17 21:51:53","BF21C5EFC8FE848B5180510DA7C66946B666ED459901194157DD8510AC56CDF5"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-1\eval_metadata.json","823","2026-07-17 21:51:53","EA409F77880F9B2CB9AED8F9F073CBF52E47B5B2FC8E17FA63ABC42471F43D94"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-1\old_skill\grading.json","1034","2026-07-17 21:54:41","4377D38A02F8554CECA4E0E7F56F4C4A5156EB3CB276DBDD713F120D7CD471C0"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-1\old_skill\timing.json","80","2026-07-17 21:54:41","683D8DD2DEC9C910B2B461994FAF1BBCFBE99B5A151892C3879C48A755B135F8"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-1\with_skill\grading.json","865","2026-07-17 21:54:41","0C18C2130A6F2A47A42E80A310EA32BF1175C8BC82955A142E719B1877430508"
"C:\Users\hangy\.gemini\antigravity\.agent\skills\sales-copywriting-workspace\iteration-1\eval-1\with_skill\timing.json","80","2026-07-17 21:54:41","683D8DD2DEC9C910B2B461994FAF1BBCFBE99B5A151892C3879C48A755B135F8"
