display_name,url,contact_url,evidence,source_url,company_name,fetch
24スイーツショップ,https://24-sweets.com/,https://24-sweets.com/contact/,スイーツを専門とした無人ショップであり、トレンドスイーツから全国各地のお取り寄せスイーツまで幅広くセレクトしたスイーツを紹介。 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25689/,トゥエンティフォー株式会社,ok
ANELLA CAFE,https://anella-group.co.jp/,,本展示では、保護犬・保護猫と就労継続支援B型を融合した「ANELLA CAFE」の事業モデルとなります。障害のある方の就労機会創出と動物福祉の向上を同時に実現する運営体制や、持続可能な店舗運営の仕組みを具体的に提案するものです。 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25443/,株式会社ANELLA,ok
BURGER KING,https://www.burgerking.co.jp/#/company,,バーガーキング®は、1954年にアメリカのフロリダ州、マイアミのハンバーガーレストランとしてオープン。おいしいものを早く、そしてお客様のお好み通りにハンバーガーをカスタマイズできるというアイデアが受け、大人気となる。 ​​日本には1993年に上陸。創業以来、変わらない理念でファンを増やしている。 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25320/,,ok
BUZZ SP,https://buzzsp.net/,,障害福祉事業の展開をしています。 一般的な障害福祉事業とは異なり、今の時代、そしてこれからの時代にあったビジネスモデルのため、圧倒的な集客力が魅力の事業です。 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25862/,株式会社BUZZ,ok
Blanc,http://www.blanc-group.co.jp/,http://www.blanc-group.co.jp/documentation,「マツエク」の検索数は2012年から右肩上がりに上昇中。業界規模は約2倍の1500億円に成長しています。 顧客の関心も高まる市場でありながら、美容師法などの法整備がされ、誰にも簡単に出店できなくなりました。このタイミングの今こそチャンスです!国家資格である美容師免許を持つスタッフを本部より派遣しますので、美容の知識・経営の知識がゼロでも、どなたでもご参入いた,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25525/,株式会社Blanc-ブラン,ok
C-United,https://c-united.co.jp/,https://c-united.co.jp/inquiry-franchise/,「カフェ・ベローチェ」「珈琲館」「カフェ・ド・クリエ」の3ブランドを中心に約560店舗を展開。 街の財産となるお店を目指し、地域No.1のコーヒーショップづくりを行っている。フランチャイズ出店をはじめた「カフェ・ベローチェ」。”気づいたら いつもここ”をコンセプトに、出店を加速しています。 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25096/,新たにC-United株式会社,ok
CareNation​,https://carenation.jp/,https://carenation.jp/other-contact,介護フランチャイズでは初の住宅型有料老人ホーム(16床)+25名定員(個室9床)お泊りデイサービスの業態! 住宅型有料老人ホームと組み合わせる事でデイサービスの「高稼働」の継続が可能。物件は本部が指定エリア内で開設したい地域に新築の専用物件を本部が用意をし転貸借(サブリース)をする仕組みなので物件取得リスクも最小限。開設準備や開設後フォローもシステム化され未,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25268/,株式会社,ok
EMILUS,https://cocolance.jp/,https://cocolance.jp/contact/,【女性専門パーソナルピラティススタジオ「COCOLANCE」FCの強み】 ①最短1.5年で初期費用を回収 ②豊富な集客経路で収益が安定 ③長期目線で繁栄する独自の戦略 ④海外提携も行う高いブランド価値 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25113/,名称株式会社,ok
Elite Supplements,https://www.elitesupps.com.au/,https://www.elitesupps.com.au/collections/energy-supplements,Elite Supplements は、オーストラリアで最も急成長しているサプリメント小売企業の一つであり、国内に140店舗以上を展開。全国の顧客に誇りをもってサービスを提供している。 成長を続ける950億ドル規模の業界の世界へようこそ。ぜひ私達のチームに会い、日本におけるフランチャイザーとしての歩みを始めていただきたい。 ,https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25487/,,ok
FIT365,https://fit365.jp/fit365_fclp/,https://fit365.jp/fit365_form/index_inquiry.php,"2,980円(税別)で家族4人まで使えるフィットネスジム。 低料金であるが「ホンモノ」のフィットネスジム。 FIT365は、「バジェット=低価格帯タイプ」として、「日本全国200店舗以上あるJOYFITで培った25年のスポーツクラブFCノウハウ」をもとに全国拡大を目指す。 ",https://messe.nikkei.co.jp/exhibitor/info/FC/ja/25134/,商号株式会社,ok
