company_name,url,address,phone,maps_url,contact_url,prep_status
リタワークス株式会社,https://ritaworks.jp/,,,,https://ritaworks.jp/contact.html,prepared
メディカルメディア株式会社,https://www.medicalmedia.co.jp/,,,,,prepared
日本医療宣研株式会社,https://www.jmal.co.jp/,,,,https://www.jmal.co.jp/contact/index.html,prepared
株式会社Re:worth,https://www.reworth-dental.com/,,,,https://www.reworth-dental.com/,prepared
株式会社キヨラ,https://kiyopage.kiyora.co.jp/,,,,https://kiyopage.kiyora.co.jp/contact/,prepared
合同会社wevet,https://web.wevet.co.jp/,,,,https://web.wevet.co.jp/contact/,prepared
ムナテックス株式会社,https://ah-labo.com/,,,,https://ah-labo.com/contact/,prepared
Design Creates CUBES,https://ah-navi.com/,,,,,prepared
株式会社APCクリエーション,https://apc-creation.jp/,,,,https://apc-creation.jp/contact/,prepared
ピクセリウム株式会社,https://pixelium.jp/,,,,https://pixelium.jp/contact/,prepared
株式会社Medi Legato,https://www.clinic-seoplus.com/,,,,https://www.clinic-seoplus.com/contact/index.html,prepared
株式会社エムイーディア,https://medear.jp/,,,,https://medear.jp/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,prepared
株式会社文創社,https://www.bunso.co.jp/,,,,,fetch_failed
株式会社メディアコンテンツファクトリー,https://www.medical-cf.co.jp/,,,,,fetch_failed
株式会社イーエックス・パートナーズ,https://www.ex-partners.co.jp/,,,,,prepared
株式会社メディカルプラス,https://www.medicalplus.info/,,,,https://www.medicalplus.info/contact/,prepared
株式会社オレンジ,https://www.orange-orange.jp/,,,,,fetch_failed
株式会社ソーネット,https://www.sohnet.co.jp/,,,,https://www.sohnet.co.jp/FormASP_1.asp?PLT_Folder=PLT_Inquiry,prepared
株式会社日本経営,https://nkgr.co.jp/,,,,https://nkgr.co.jp/inquiry/,prepared
