company_name,url,address,phone,maps_url,contact_url,decision,company_identity_ok,service_evidence_ok,sales_prohibited,enterprise_match,proposal_category,evidence_term
日本ビスカ株式会社,https://www.visca-hp.jp/,,,,https://form.run/@visca-hp,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
D-Style,https://www.dental-hp.net/,,,,https://www.dental-hp.net/info/contact.html,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社Z-IT,https://clinic.z-it.jp/,,,,https://z-it.jp/contact,review_company_identity,false,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社ナルコーム,https://www.narcohm.co.jp/hp/,,,,https://www.narcohm.co.jp/hp/inquiry/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
Doctor Web Atelier,https://dental-web-atelier.com/,,,,https://dental-web-atelier.com/#contact,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社シルベ,https://www.shirube365.com/,,,,https://www.shirube365.com/contact,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
クリニックファースト,https://clinic-first.com/,,,,https://clinic-first.com/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社グローバルユニティ,https://www.global-unity.jp/,,,,https://www.global-unity.jp/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
病院クリニックホームページ制作チーム,https://www.hospital-hp.com/,,,,https://www.hospital-hp.com/contact,review_company_identity,false,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
デンタルウェブ,https://dental-web.jp/,,,,https://dental-web.jp/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社アットオフィス,https://www.at-office.co.jp/,,,,https://www.at-office.co.jp/contact.html,review_service_evidence,true,false,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社ヒーローイノベーション,https://shika-promotion.com/,,,,https://shika-promotion.com/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社アイプラス,https://www.iplus-web.co.jp/,,,,https://www.iplus-web.co.jp/contact,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社Method Innovation,https://www.method-innovation.co.jp/,,,,https://www.method-innovation.co.jp/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
SO MEDICAL DESIGN合同会社,https://somedical.co.jp/,,,,,drop_no_contact,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
有限会社アイシス,https://www.aisis.ne.jp/,,,,https://www.aisis.ne.jp/inquiry.html,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社デジタルコア,https://medical.digitalcore.jp/,,,,https://docs.google.com/forms/d/e/1FAIpQLSdj9E46TOU2iveog0X2x9KBmohV0GC4v5CnpnrA_CtFPO8zlg/viewform,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
FLEURIR,https://homepage-tokyo.jp/,,,,https://homepage-tokyo.jp/inquiry/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
東京デジタルビームス合同会社,https://www.hospital-web.net/,,,,,drop_no_contact,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社ステージグループ,https://www.medicalwebstage.jp/,,,,https://www.medicalwebstage.jp/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社メディケアネット,https://mc-net.jp/service/hp_production/,,,,https://mc-net.jp/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社リヤン,https://www.trancefer-co.info/,,,,https://www.trancefer-co.info/inq/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社デンタル・インターネット,https://www.dental-net.jp/,,,,https://www.dental-net.jp/contact.html,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社彩楽,https://www.sairaku.jp/,,,,,drop_no_contact,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社H.PLUS,https://hplus.jp/,,,,https://hplus.jp/contact/,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社ITreat,https://itreat.co.jp/,,,,https://itreat.co.jp/contact,accept,true,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
株式会社メディアコンテンツファクトリー,https://www.medical-parks.com/,,,,https://www.medical-parks.com/contact/dairiten.html,review_company_identity,false,true,false,false,S｜業界特化Web制作,歯科・医療機関向けホームページ制作・運用
