2	株式会社ウェブネーション	黒崎 隆	https://webnation.co.jp/	https://webnation.co.jp/wizard/
3	株式会社アップラボ	福間　直美	https://up-lab.co.jp/	https://up-lab.co.jp/inquiry
4	株式会社タービン・インタラクティブ	ご担当者	https://www.turbine.co.jp/	https://www.turbine.co.jp/inquiry/form/mailmagazine
5	株式会社マーケティング・エッセンシャルズ	栃本 常善	https://www.marketing-essentials.jp/	https://www.marketing-essentials.jp/contact/
6	PRONI株式会社	ご担当者	https://www.proni.co.jp/	https://faq.proni.co.jp/
7	ブライトシー株式会社	片桐光知子	https://brightsea.jp/	https://brightsea.jp/contact.html
8	Zenken株式会社	長 林順之亮	https://www.zenken.co.jp/	https://www.zenken.co.jp/contact/
9	株式会社CORDA	佐藤 真治	https://zigexn.co.jp/	https://zigexn.co.jp/ir/ir_contact/
10	ジェイアールセントラルビル株式会社	巣山 芳樹	https://www.towers.jp/	https://www.towers.jp/information/atm.php
11	株式会社日本経済社	長
長谷部剛	https://www.nks.co.jp/	https://www.nks.co.jp/information/
12	株式会社ジー・サーチ	ご担当者	https://www.g-search.jp/	https://www.g-search.jp/contact/
13	ジスインフォテクノ株式会社	岡部　寛	https://www.ziftec.co.jp/	
14	デジタルプロセス株式会社	ご担当者	https://www.dipro.co.jp/	https://www.dipro.co.jp/inquiry
15	FITEC株式会社	ご担当者	https://www.fitec.co.jp/	http://www.fitec.co.jp/inquiry/index.html
16	株式会社ブレインパッド	ご担当者	https://www.brainpad.co.jp/	https://www.brainpad.co.jp/contact/
17	株式会社クウハク	柏樹 久美子	https://kuhaku.co.jp/nagoya-ai-web-marketing-retail-service-roi-452138/	https://kuhaku.co.jp/contact/
18	ＴＯＨＯシネマズ株式会社	ご担当者	https://www.tohocinemas.co.jp/	https://www.tohocinemas.co.jp/contact.html
19	株式会社大広	ご担当者	https://www.daiko.co.jp/	https://www.daiko.co.jp/contact/
20	株式会社総合アド	小池 祥	https://sogo-ad.jp/	https://sogo-ad.jp/contact/
21	株式会社 中広	大島 斉	https://chuco.co.jp/	https://chuco.co.jp/stock-information
22	株式会社メルカリ導入事例	ご担当者	https://site.backcheck.jp/	https://site.backcheck.jp/contact?click_button=top
23	イチビキ 公式サイト | 名古屋のみそ・しょうゆ・つゆメーカー	長 中村拓也	https://www.ichibiki.co.jp/	https://www.ichibiki.co.jp/support/homeuse-inquiry/
24	ディプロス株式会社	ご担当者	https://job-gear.net/dipross2/AE0225801447/MDkyujin_d.htm	https://entry.job-gear.net/jobgear/f/q.do?id=C0000308351&gid=AE0225801447&svid=%E6%8E%A1%E7%94%A8%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8&kcn=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B7%E3%83%BC%E3%82%A8%E3%83%A0%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95&job_ti=%E3%80%90%E7%B7%8F%E5%90%88%E5%BA%83%E5%91%8A%E4%BB%A3%E7%90%86%E5%BA%97%EF%BD%9CWeb%E3%83%BBSNS%E5%96%B6%E6%A5%AD%E3%80%91%E3%83%9E&af=&sflg=2&t=f
25	株式会社パルコ	ご担当者	https://www.parco.co.jp/	https://www.parco.co.jp/xml/information/rss10.rdf
26	大塚刷毛製造株式会社	ご担当者	https://www.maru-t.co.jp/	https://www.maru-t.co.jp/contact/
27	中経オンライン | 中部経済新聞 電子版	ご担当者	https://chukei-online.com/	https://chukei-online.com/inquiry
28	ダイトロン株式会社	ご担当者	https://www.daitron.co.jp/	https://www.daitron.co.jp/inquiry/
29	キリンホールディングス株式会社	ご担当者	https://www.kirin.co.jp/	https://www.kirin.co.jp/customer/#contact
30	愛知時計電機株式会社	ご担当者	https://recruit.aichitokei.co.jp/	https://recruit.aichitokei.co.jp/contact/
31	株式会社乃村工藝社	ご担当者	https://consult.nikkeibp.co.jp/	https://consult.nikkeibp.co.jp/contact/
32	株式会社サインド	ご担当者	https://cybersecurity-jp.com/	https://cybersecurity-jp.com/leakage-of-personal-information
33	伸童舎株式会社	鍋嶋 洋行	https://heart-design.jp/	https://heart-design.jp/contact/
34	中日企業株式会社	ご担当者	https://www.chunichi-job.jp/	https://www.chunichi-tour.co.jp/contact-tel/
35	株式会社中日販売サポート	ご担当者	https://www.chs-shop.jp/	https://www.chs-shop.jp/entry
36	株式会社ハルメク	ご担当者	https://adv.chunichi.co.jp/	https://adv.chunichi.co.jp/guide/contact/
37	株式会社WWG	ご担当者	https://wwg.co.jp/	https://wwg.co.jp/estimate
38	マーケティングプラス株式会社	安藤 岳人	https://plusline-nagoya.jp/	https://plusline-nagoya.jp//contact/
39	株式会社フォーバル	津山 竜也	https://ai-communication.jp/	https://ai-communication.jp/contact/
40	株式会社アイプレス	野田亜友弓	https://www.i-press.jp/	https://www.i-press.jp/contact.html
41	株式会社フルスピード	ご担当者	https://growthseed.jp/	https://growthseed.jp/contact/
42	株式会社サイバーエージェント	ご担当者	https://www.cyberagent.co.jp/	https://www.cyberagent.co.jp/contact/
43	竹下産業株式会社	ご担当者	https://www.plusline.jp/	https://www.plusline.jp/contact/
44	ディーエムソリューションズ株式会社	ご担当者	https://www.dm-s.co.jp/	https://www.dm-s.co.jp/contact/
45	株式会社Ggrow	安藤 弘人	https://ggrow.jp/	https://ggrow.jp/form-consulting/
46	株式会社アドメディカル	ご担当者	https://ad-tomedical.co.jp/	https://ad-tomedical.co.jp/contact/
47	株式会社刈谷東栄タイヤ	ご担当者	https://businessmaster.jp/	https://businessmaster.jp/#sec11
48	有限会社シーエスプラス	ご担当者	https://yuryoweb.com/industry/car/page/69/	https://yuryoweb.com/homepage-quote/
49	名古屋・東京の広告代理店 エムズコーポレーション	ご担当者	https://www.e-ms.co.jp/	https://www.e-ms.co.jp/contact/
50	株式会社フリースタイル	ご担当者	https://freestyles.jp/	https://freestyles.jp/inquiry/
51	日本梱包運輸倉庫株式会社	ご担当者	https://www.navitime.co.jp/postcode/result?code=02022-10083908	https://www.navitime.co.jp/account/regist/?invite=pc.header.entry
