company_name,url,contact_url,区分,検出ワード,source_url
株式会社CAN EAT,https://biz.caneat.jp/allergyhearing/,https://biz.caneat.jp/allergycontact/contact,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：アレルギー対応ITサービス「CAN EAT」,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社Do,https://do-inc.jp/,https://do-inc.jp/#contact,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社FUNSEE,https://funsee.co.jp/,https://funsee.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：SNS全般運用,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社J-MZ,https://j-mz.jp/tiffany/,https://j-mz.jp/#contact,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：出展,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
合同会社NORTH,https://www.north-nagano.com/,https://www.north-nagano.com/contact,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
PIEM株式会社,https://www.piem.jp/,https://tayori.com/f/piem-contact/,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ONE-Wシステム,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社PKBソリューション,https://www.omoide-card-project.jp/,https://www.omoide-card-project.jp/#inquiry,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：思い出のカード化プロジェクト,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社Speria,https://speria.jp/bridal,https://speria.jp/contact?industry=bridal,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：Speria 営業接客AI,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社WeBridge,https://webridge.co.jp/meo-genius/,https://webridge.co.jp/contact-01/,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：MEO対策,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社rusk,https://bridalfair.commitad.com/,https://bridalfair.commitad.com/#contact,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：コミットアド,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社Vircre,https://vircre.co.jp/,https://vircre.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：VRシステム,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社あつまる,https://atsu-maru.co.jp/,https://atsu-maru.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：集客コンサルティング・新卒採用コンサルティング,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
株式会社プラスワイズ,https://meoto.jp/,https://meoto.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：入浴剤,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
