brand,url,exhibit,legal_names,fetch,source_url,company_name,name_source,contact_url,crawl
===== PAGE 8 COLUMN 1 =====,https://www.ucccoffeeprofessional.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
BirAN,https://www.bir-an.com/,ゲスト参加型結婚証明書comme si.,代表株式会社|お問い合わせ株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.bir-an.com/#sec05,ok
CALELABO,https://www.calendar-labo.jp/CAZARU/wedding,CAZARU,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社荏原製作所様,https://www.calendar-labo.jp/CAZARU/about-us,https://www.calendar-labo.jp/form/calendar_made/mail.cgi?id=cazaru,ok
CAN EAT,https://biz.caneat.jp/allergyhearing/,アレルギー対応ITサービス「CAN EAT」,マイプリント株式会社|やPIEM株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://biz.caneat.jp/allergycontact/contact,ok
CʼBON,https://www.cbon.co.jp/net/,肌チェック・化粧品サンプリング,は株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社シーボンの登録商標です,https://www.cbon.co.jp/net/cbon/index.aspx,https://www.cbon.co.jp/net/contact/contact.aspx,ok
DREAMBEER,https://dreambeer.jp/,ビールサーバー,2020株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://dreambeer.jp/my_account/question,ok
Do,https://do-inc.jp/,,株式会社Do|株式会社ドゥ|会社名株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://do-inc.jp/#contact,ok
FRAGE BOX(フレイジュボックス),https://fragebox.jp/,業務用フレグランスディフューザー,株式会社イマリ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://fragebox.jp/contact/,ok
FUNSEE,https://funsee.co.jp/,SNS全般運用,株式会社FUNSEEは|会社名株式会社|アクセス株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社FUNSEEは,https://funsee.co.jp/about/#recruit,https://funsee.co.jp/contact/,ok
Flavorule,https://shop.rulecoffee.jp/,コーヒー(飲食・コーヒーギフト),,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
HARUKA AYA,https://harukaaya.com/haruka-aya,ウエディングドレス、パーティードレス 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
HITPAW,https://www.hitpaw.net:443/,AI画像編集システム,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.hitpaw.net/contact-us.html,ok
J-MZ!!,https://j-mz.jp/tiffany/,出展,株式会社|株式会社J-MZ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社J-MZ,https://j-mz.jp/tiffany/,https://j-mz.jp/#contact,ok
K2（マイプリント・ワイケープロデュース）,https://k2design.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,マイプリント株式会社株式会社,https://k2design.co.jp/about-us/,https://k2design.co.jp/new/contact/,ok
KIRARIS,https://www.kiraris.com/,ウェディングフォト,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://www.kiraris.com/contact,ok
Lab by T&GWEDDING,https://tglab-lps.tgn.co.jp/,ウェディングアイテム,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
NATURE OF THINGS inc.,https://shikaketegami.com/,シカケテガミ,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,会社概要株式会社,https://shikaketegami.com/pages/company,https://shikaketegami.com/pages/contact,ok
NORTH,https://www.north-nagano.com/,,合同会社NORTH|合同会社NORTHが手掛ける|IDENTITY合同会社|1679-13合同会社|合同会社NORTHの公式オンラインショップ商品一覧,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,合同会社NORTH,https://www.north-nagano.com/company,https://www.north-nagano.com/contact,ok
NPO法人 TOKYOウエディングフォーラム,https://tokyo-weddingforum.com/,,制作株式会社|マイプリント株式会社|一般社団法人未来ウエディングJAPAN|一般社団法人港区観光協会,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,一般社団法人港区観光協会,https://tokyo-weddingforum.com/,https://tokyo-weddingforum.com/inquiry,ok
PENDROID,https://pendroid.biz/,手書風の文字筆記ロボット,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://pendroid.biz/#section-22,ok
PEU・CONNU（プーコニュ）,http://oshibana-de-peuconnu.jp/,押し花ブーケ,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
PIEM（パイエム）,https://www.piem.jp/,ONE-Wシステム,PIEM株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,PIEM株式会社,https://www.piem.jp/company/#profile,,ok
PKBソリューション,https://www.omoide-card-project.jp/,思い出のカード化プロジェクト,株式会社ＰＫＢソリューションの登録商標です,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社ＰＫＢソリューションの登録商標です,https://www.omoide-card-project.jp/#about,https://www.omoide-card-project.jp/#inquiry,ok
PREMIUM WATER,https://premium-water.net/,ウォーターサーバー,プレミアムウォーター株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,株式会社プレミアムウォーターホールディングスが運営する全てのウォーターサーバー,https://premium-water.net/pw/about/,https://premium-water.net/question/,ok
Philharmony Wedding,https://www.phw-gakudan.com/,エンターテイメントパフォーマンス,,SSLError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,SSLError
R-fi eld,https://yuinone.net/,YUINONE（ゆいのね）,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,ok
SHADDY,https://shaddy.jp/,カタログギフト,又は一部をシャディ株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,https://shaddy.jp/news/20260420-2/,ok
Sol,https://tento-hair.com/,,,SSLError,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf,,,,SSLError
