decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
reject,,,,,,,deny_domain,https://staxia.jp/marketing/beauty-salon-homepage-company/
reject,,,,,,,deny_domain,https://yuryoweb.com/recommended/beauty-salon/
reject,,,,,,,deny_domain,https://hnavi.co.jp/knowledge/blog/beauty-hp_companies/
reject,,,,,,,deny_domain,https://saisia.co.jp/services/web-production/beauty/hp-companies/
reject,株式会社 WEBマーケティング総合研究所,https://salone-web.com/,https://salone-web.com/contact,〒１６０-００２３ 東京都新宿区西新宿３-２-４-１０Ｆ 連絡先 電話：０３-５９５７-１６１０ FAX：０３-５２０４-９０６５ E-mail:info@akiba,,美容室／ホームページ制作,live_duplicate,https://salone-web.com/
reject,,https://www.pro-salon.jp/,,,,,official_company_missing,https://www.pro-salon.jp/prosalon/01.html
reject,,https://www.suma-one.jp/,,,,,official_company_missing,https://www.suma-one.jp/
reject,,https://zhibo.jp/,,,,,official_company_missing,https://zhibo.jp/
reject,,https://terrapocket.jp/,,,,,official_company_missing,https://terrapocket.jp/
reject,リセラ株式会社,https://www.nakachi.net/,https://www.nakachi.net/request/index.html,955-8200 〒410-0311 静岡県沼津市原町中1-7-11 （ リセラ株式会社 内 Nakachi事業部） © Nakachi. All rights reserved. 料,055-955-8200,美容室／ホームページ制作,live_duplicate,https://www.nakachi.net/index.html
accept,株式会社プロジェ・アキ,https://www.salon-chirashiwork.com/,https://www.salon-chirashiwork.com/form.html,〒107-0062 東京都港区南青山2-2-15ウィン青山942 TEL.03-6403-0690 mail info@salon-chirashiwork.com,,美容室／web制作,,https://www.salon-chirashiwork.com/
reject,,https://beaust.jp/,,,,,official_company_missing,https://beaust.jp/
exclude_sales_prohibited,株式会社シンシエイト,https://salon-hack.com/,https://salon-hack.com/contact/,,,,clear_sales_prohibition,https://salon-hack.com/contact/
accept,株式会社グラシオート,https://graciauto.jp/,https://graciauto.jp/contact/,〒454-0012 愛知県名古屋市中川区柳川町4番19号 オンザスペース503号 事業内容 AI導入支援・業務自動化／業務システム開発／Web制作・LINE構築／集客,,美容室／ホームページ制作,,https://graciauto.jp/
accept,BOOSTTECH株式会社,https://www.misepage.com/,https://www.misepage.com/contact,,,美容室／ホームページ制作,,https://www.misepage.com/
reject,アイファイン株式会社,https://www.ifine.jp/,https://www.ifine.jp/webform_16.html,050-2989 受付時間 10:00～19:00 本社 東京都中央区銀座7丁目13番20号 銀座THビル 9階 支社 埼玉県所沢市くすのき台2丁目16番地の16 お知らせ 2026/05/03 初の,,美容サロン／開業支援,live_duplicate,https://www.ifine.jp/
reject,,https://salon-web.com/,,,,,official_company_missing,https://salon-web.com/
accept,株式会社 ベルコム,https://www.belcom.co.jp/,https://www.belcom.co.jp/contact/,365-2291 ベルコムスタジオ住所 東京都府中市緑町1-15-3 2F・3F 美容室開業サポート 制作物サポート 取扱いメーカー セミナー 会社概要 お知らせ お問い合せ 美容学校一,,美容室／ホームページ制作,,https://www.belcom.co.jp/salon/
reject,株式会社プロパゲート,https://www.salon-hp.com/,https://www.salon-hp.com/contact,,090-3552-3949,美容室／ホームページ制作,live_duplicate,https://www.salon-hp.com/
reject,日本マーツ株式会社,https://hako.salon/,,,,,contact_missing,https://hako.salon/
reject,,https://webextend.me/,,,,,official_company_missing,https://webextend.me/
exclude_sales_prohibited,改訂 株式会社,https://imuzen.com/,https://imuzen.com/contact.html,,,,clear_sales_prohibition,https://imuzen.com/contact.html
accept,株式会社アルテ,https://www.styledesigner.net/,https://www.styledesigner.net/contact,〒231-0031 神奈川県横浜市中区万代町1-2-12 VORT横浜関内Ⅲ 2階 TEL 045-680-5321 FAX 045-680-5331 © STYLE,045-680-5321,美容室／ブランディング,,https://www.styledesigner.net/
reject,,https://partners.barberin.jp/,,,,,official_company_missing,https://partners.barberin.jp/
reject,,https://www.sales-dx.jp/,,,,,official_company_missing,https://www.sales-dx.jp/service/beauty-salon
reject,,https://www.cielo-marketing.com/,,,,,official_company_missing,https://www.cielo-marketing.com/
accept,株式会社GIコンサルティングパートナーズ,https://gicp.co.jp/,https://gicp.co.jp/contact/,〒101-0026 東京都千代田区神田佐久間河岸78-3 神田NYビル4階 TEL 03-5846-9690 FAX 03-5846-9691 メールアドレス inf,03-5846-9690,美容室／ホームページ制作,,https://gicp.co.jp/consulting/esthe/
reject,,https://splice-web.com/,,,,,official_company_missing,https://splice-web.com/
reject,,https://www.beau-tech.jp/,,,,,service_evidence_missing,https://www.beau-tech.jp/business
accept,株式会社b-models,https://esthe-consulting.com/,https://esthe-consulting.com/contact/,〒532-0011 大阪府大阪市淀川区西中島3-8-15 EPOSHINOSAKA302/204 電話番号： 06-7777-4683 営業時間：9時30分～18時3,,エステサロン／マーケティング,,https://esthe-consulting.com/menu/marketing/
review,株式会社GO,https://salon-support.miravis.co.jp/,https://products.miravis.co.jp/contact/,,,美容室／経営支援,jpx_name_review,https://salon-support.miravis.co.jp/
accept,株式会社 BG,https://salonmarugoto.jp/,https://salonmarugoto.jp/contact/,150-0002 東京都渋谷区渋谷 1-12-1 カレイド渋谷宮益坂ビル 5 階 TEL 03-5468-3280 FAX 03-3797-5576 大阪支店 55,03-5468-3280,美容室／集客支援,,https://salonmarugoto.jp/
reject,,https://www.webmarketing.dxup.jp/,,,,,service_evidence_missing,https://www.webmarketing.dxup.jp/
reject,,,,,,,fetch_failed,https://amandine.co.jp/
reject,,https://salonboardagency.com/,,,,,service_evidence_missing,https://salonboardagency.com/
reject,,https://meo-salon.jp/,,,,,official_company_missing,https://meo-salon.jp/
reject,株式会社DILLACT,https://hitokoto.tokyo/,https://hitokoto.tokyo/contact/,,,美容室／webサイト,live_duplicate,https://hitokoto.tokyo/
accept,株式会社フィーモデザイン,https://fe-mo.co.jp/,https://fe-mo.co.jp/contact/,630-0255 奈良県生駒市山崎新町1-23 0743-73-8511 Top Works Services Price About Us News & Blog,0743-73-8511,美容室／web制作,,https://fe-mo.co.jp/attracting_customers/
accept,株式会社FlatWorks,https://www.teamflatworks.jp/,https://www.teamflatworks.jp/contact,〒517-0505 三重県志摩市阿児町甲賀4690-9 TEL 090-6864-0485 [email protected] HP制作 実績 ブログ お知らせ 会社,090-6864-0485,美容室／sns運用,,https://www.teamflatworks.jp/industry/beauty
reject,,https://www.eyesta.com/,,,,,official_company_missing,https://www.eyesta.com/
reject,,https://www.mediaselect.jp/,,,,,official_company_missing,https://www.mediaselect.jp/work.html
reject,,https://salon-rescue.com/,,,,,service_evidence_missing,https://salon-rescue.com/
reject,,https://linyforsalon.waytogo.co.jp/,,,,,official_company_missing,https://linyforsalon.waytogo.co.jp/
accept,有限会社じん,https://ractory.co.jp/,https://ractory.co.jp/contact/,"〒660-0062 兵庫県尼崎市浜田町2丁目84 堀吉ビル 設立 2014年9月 資本金 1,000万円 関連会社 有限会社じん 事業内容 ・マーケティング全般 ・フ",,美容サロン／マーケティング,,https://ractory.co.jp/line/
reject,,https://www.seineline.com/,,,,,service_evidence_missing,https://www.seineline.com/solution/line.html
accept,合同会社雲上,https://liibe.co.jp/,https://liibe.co.jp/contact/,〒220-0023 神奈川県横浜市西区平沼1丁目40-17 モンテベルデ横浜1106 主要取引銀行 三菱UFJ銀行 みずほ銀行 事業案内 1.ライフスタイルブランドの企,03-4446-3664,美容室／マーケティング,,https://liibe.co.jp/line/
accept,有限会社Wish,https://salon-hansoku.com/,https://salon-hansoku.com/contact/,050-5236-0607（受付時間9:00～18:00、土日祝日を除く） 所在地（本社） 〒353-0004 埼玉県志木市本町5-17-5-1211 主要取引銀行 三菱UFJ銀行 ドコモSMTBネ,,美容室／ホームページ制作,,https://salon-hansoku.com/works/
