_row,company_name,url,contact_url,message,status,error_reason
1139,Indigo Inc.,https://indigoinc.jp,https://indigoinc.jp/contact,,,
1140,株式会社アピール,https://appeal-ad.com,https://appeal-ad.com/contact/,,,
1141,合同会社まとばクリエイト｜デザイン・マーケティング支援,https://matobacreate.com,https://matobacreate.com/contact-2/,,,
1142,株式会社イデアル,https://idealnet.jp,https://idealnet.jp/contact/,,,
1143,アドユニバース株式会社,https://www.ad-universe.co.jp,https://www.ad-universe.co.jp/#contact,,,
1144,株式会社快美インターナショナル,https://kaivi.com,https://kaivi.com/various-inquiries/,,,
1145,有限会社相模広告社,https://sagamikoukoku.jp,https://sagamikoukoku.jp/contact/,,,
1146,株式会社アミス．ビューティーカンパニー,https://www.amyth-beauty.com,https://www.amyth-beauty.com/contact.html,,,
1147,株式会社バイタル,https://vital-design.jp,https://vital-design.jp/contact,,,
1148,株式会社東広,https://www.ad-toko.com,https://www.ad-toko.com/inquiry/form.cgi,,,
1149,株式会社本州堂,https://honshudoh.jp,https://honshudoh.jp/web/contact,,,
1150,Unbel合同会社（homepage.style）,https://homepage.style,https://homepage.style/contact/,,,
1151,株式会社Finady,https://finady.jp,https://finady.jp/contact,,,
