company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
コーワ商事株式会社,https://www.koshukensetsu.co.jp/,,,,https://www.koshukensetsu.co.jp/toiawase/index.html,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
ジェイエイハウスサービス株式会社,https://www.jahs.co.jp/,,,,https://www.jahs.co.jp/contact,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
三谷不動産株式会社,https://www.go-mitani.co.jp/,,,,https://www.go-mitani.co.jp/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
上総屋不動産株式会社,https://kazusaya.co.jp/,,,,https://kazusaya.co.jp/owners/reform.php,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
日本システムバンク株式会社,https://www.syb.co.jp/,,,,https://www.syb.co.jp/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社恵不動産,https://www.megumi-est.com/,,,,https://www.megumi-est.com/company_information,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
朝日不動産株式会社,http://www.asahi.ac/,,,,https://www.asahi.ac/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
株式会社あしたのチーム,https://www.ashita-team.com/,,,,https://www.ashita-team.com/ashita-platform/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
株式会社いわき土地建物,https://www.iwaki-tt.co.jp/,,,,https://www.iwaki-tt.co.jp/forrent/control-form/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
株式会社さくらホーム,https://www.sakura-home.co.jp/,,,,https://www.sakura-home.co.jp/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
株式会社とやまサンホーム,http://www.t-sunhome.co.jp/,,,,http://www.t-sunhome.co.jp/reform,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
株式会社のうか不動産,https://www.noka.co.jp/,,,,https://www.noka.co.jp/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
