company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
JMDインターナショナル株式会社,https://xn--ycrq3a1i928e9h3b.jp/,,,https://xn--ycrq3a1i928e9h3b.jp/page6.html,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.topia-jonan.gr.jp/about/member-companies/,https://xn--ycrq3a1i928e9h3b.jp/,yes,ok
三共印刷株式会社,https://sankyosya.com/,,,https://sankyosya.com/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://sankyosya.com/info-company/,yes,ok
三昇堂印刷株式会社,https://sansyodo-print.co.jp/,,,https://sansyodo-print.co.jp/?page_id=14,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://sansyodo-print.co.jp/?page_id=500,yes,ok
共進印刷株式会社,https://www.kyoshin-insatsu.co.jp/,,,https://www.kyoshin-insatsu.co.jp/contact.html,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://www.kyoshin-insatsu.co.jp/company.html,yes,ok
善友印刷株式会社,https://www.zenyu-print.jp/,,,https://www.zenyu-print.jp/contact,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://www.zenyu-print.jp/company/,yes,ok
富士オフセット株式会社,https://www.fujioffset.co.jp/,,,https://www.fujioffset.co.jp/inquiry/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://www.fujioffset.co.jp/company/,yes,ok
山王印刷株式会社,https://sanou-p.com/,,,https://sanou-p.com/contactus/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://sanou-p.com/,yes,ok
山進社印刷株式会社,https://sansinsya.com/,,,https://sansinsya.com/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://sansinsya.com/,yes,ok
文化堂印刷株式会社,https://bunkado.jp/,,,https://bunkado.jp/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://bunkado.jp/about/,yes,ok
文明堂印刷株式会社,https://bunmeidou.co.jp/,,,https://bunmeidou.co.jp/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://bunmeidou.co.jp/,yes,ok
日本貿易印刷株式会社,https://nichiboh.co.jp/,,,https://nichiboh.co.jp/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://nichiboh.co.jp/about/,yes,ok
有限会社エスフィールド,http://www.sfield-i.co.jp/,,,https://www.sfield-i.co.jp/mailfoam,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://www.sfield-i.co.jp/company/,yes,ok
有限会社サイトウプリント,https://saipri.com/,,,https://saipri.com/inquiry,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://saipri.com/outline,yes,ok
有限会社プリンテル,http://printel.jp/,,,http://printel.jp/contact.html,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,http://printel.jp/company.html,yes,ok
有限会社双葉印刷所,https://futaba-printing.co.jp/,,,https://futaba-printing.co.jp/contact-form/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://futaba-printing.co.jp/profiles/,yes,ok
有限会社金洋社印刷所,https://kinyosha.net/,,,https://kinyosha.net/contact,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://kinyosha.net/company,yes,ok
有限会社青史堂印刷,https://www.seishido.net/,,,https://www.seishido.net/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://www.seishido.net/,yes,ok
杉本紙器印刷株式会社,https://sugi.co.jp/top/,,,https://sugi.co.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://sugi.co.jp/top/,yes,ok
株式会社さんこうどう,https://sankodo.net/,,,https://sankodo.net/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://sankodo.net/company/,yes,ok
株式会社アドピア,https://www.adpia.co.jp/,,,https://www.adpia.co.jp/inquiry/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.topia-jonan.gr.jp/about/member-companies/,https://www.adpia.co.jp/about/,yes,ok
株式会社アド・マインド,https://admind.jp/,,,https://admind.jp/contact,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://admind.jp/aboutus,yes,ok
株式会社エコー宣伝印刷,https://www.echo-senden.co.jp/,,,https://www.echo-senden.co.jp/contactus,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://www.echo-senden.co.jp/solution/accompanying.html,yes,ok
株式会社クリエイト横浜,https://create-yokohama.com/,,,https://create-yokohama.com/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://create-yokohama.com/company/,yes,ok
株式会社コンポーズ・ユニ,https://composeuni.com/,,,https://composeuni.com/contact,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.topia-jonan.gr.jp/about/member-companies/,https://composeuni.com/about/overview/,yes,ok
株式会社パック,https://print-pac.co.jp/,,,https://print-pac.co.jp/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://print-pac.co.jp/company/,yes,ok
株式会社ポートサイド印刷,https://portside.co.jp/,,,https://portside.co.jp/ps/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://kanagawapia.sakura.ne.jp/%E7%B5%84%E5%90%88%E5%93%A1%E5%90%8D%E7%B0%BF/,https://portside.co.jp/company/,yes,ok
株式会社協和美術,https://kyowa-b-prt.co.jp/,,,https://kyowa-b-prt.co.jp/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://kyowa-b-prt.co.jp/company/,yes,ok
株式会社大和ビジネス,https://daiwabusiness.co.jp/,,,https://daiwabusiness.co.jp/index.php/contactpage,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://daiwabusiness.co.jp/index.php/company1,yes,ok
株式会社大塚紙店,https://ootsuka-kami.co.jp/,,,https://ootsuka-kami.co.jp/contact/,S｜地域印刷・販促・Web支援,印刷工業組合公式会員：印刷・販促・企画制作,https://www.saipia.net/sosiki/kaiinn/,https://ootsuka-kami.co.jp/about/,yes,ok
