_row,company_name,url,fit_state,fit_category,fit_evidence,evidence_urls,action
2,ZOOST株式会社,https://zoost.co.jp,web,Web制作会社,LP制作 / Web制作 / ランディングページ制作,https://zoost.co.jp/lp-lp/ | https://zoost.co.jp/lp/,appended_sheet1
3,株式会社愛京広告,https://aikyo-ad.com,web,Web制作会社,ホームページ制作,https://aikyo-ad.com/,appended_sheet1
4,株式会社人材屋,http://jinzai-ya.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
5,有限会社ウェブプロモート,https://www.webpromote.jp,web,Web制作会社,ホームページ制作 / Webサイト制作,https://www.webpromote.jp/application/ | https://www.webpromote.jp/,appended_sheet1
6,株式会社メディアインパクト,https://www.mediaimpact.co.jp,sns,SNS運用・SNS広告,SNS広告 / SNS運用,https://www.mediaimpact.co.jp/service/listing_ad/ | https://www.mediaimpact.co.jp/service/,kept_sns
7,テコハブ株式会社,https://teco-hub.com,sns,SNS運用・SNS広告,インスタグラム運用代行 / インスタグラム運用 / YouTube運用代行,https://teco-hub.com/service_category/service-category4/ | https://teco-hub.com/service/,kept_sns
8,株式会社EAVEL,https://eavel.co.jp,marketing,Webマーケティング・広告,Webマーケティング / SEO対策,http://eavel.co.jp/,appended_webmarketing
9,株式会社火燵,https://kotatsu.info,sns,SNS運用・SNS広告,SNS運用 / TikTok運用代行 / TikTok運用,https://kotatsu.info/business-service/movie-consult/ | https://kotatsu.info/business-service/,kept_sns
10,株式会社ソフィットウェブコンサルティング,https://sophit.biz,web,Web制作会社,ホームページ制作,https://sophit.biz/,appended_sheet1
11,株式会社モノクロマーケティング,https://monochro-marketing.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNS広告,https://monochro-marketing.co.jp/marketing/,kept_sns
12,株式会社カンドタカメ,https://www.candotakeme.com,web,Web制作会社,Web制作,https://www.candotakeme.com/,appended_sheet1
13,株式会社スタッフソリューション,https://staffsolution.jp,marketing,Webマーケティング・広告,リスティング広告 / 広告代理店 / Web広告,https://staffsolution.jp/ | https://staffsolution.jp/service/,appended_webmarketing
14,Gastroduce Japan株式会社,https://gastroduce-japan.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNS広告,https://gastroduce-japan.co.jp/service/,kept_sns
15,株式会社イノセンス,https://innosence.co.jp,web,Web制作会社,Web制作,https://innosence.co.jp/,appended_sheet1
16,株式会社フード・マーケティング,https://food-marketing.jp,exclude,,,,excluded_service:official_service_unconfirmed
17,株式会社UHB,https://uhbank.co.jp,sns,SNS運用・SNS広告,SNSアカウント運用 / SNS運用,https://uhbank.co.jp/service/webmarketing/ | https://uhbank.co.jp/service/branding/,kept_sns
18,株式会社ラボーラ・クリエイト,https://lbl-c.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://lbl-c.com/service/,kept_sns
