member_type,company_name,url,address,phone,maps_url,oac_detail_url,oac_services,normalized_name,normalized_domain,prefilter,prefilter_reason
regular,有限会社アイル企画,https://www.ill-kikaku.com/,,,,https://www.oac.or.jp/member/ill-kikaku/,グラフィック｜映像｜Web｜パッケージ｜エディトリアル｜DTP,アイル企画,ill-kikaku.com,exclude,既存または除外リスト一致
regular,株式会社アクロバット,https://www.acrobat.co.jp/,,,,https://www.oac.or.jp/member/acrobat/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜プレミアム制作,アクロバット,acrobat.co.jp,exclude,既存または除外リスト一致
regular,株式会社アズワン,https://az1.co.jp/,,,,https://www.oac.or.jp/member/az1/,,アズワン,az1.co.jp,exclude,既存または除外リスト一致 / JPX会社名完全一致
regular,株式会社アド・プランニング研究所,http://www.ap-i.co.jp,,,,https://www.oac.or.jp/member/ap-i/,,アド・プランニング研究所,ap-i.co.jp,pass,
regular,株式会社アドブレーン,https://www.adbrain.co.jp/,,,,https://www.oac.or.jp/member/adbrain/,グラフィック｜Web｜パッケージ,アドブレーン,adbrain.co.jp,pass,
regular,株式会社一星企画,http://www.issei.net/,,,,https://www.oac.or.jp/member/issei/,,一星企画,issei.net,pass,
regular,インプレッション株式会社,https://www.impression-net.co.jp,,,,https://www.oac.or.jp/member/impression/,,インプレッション,impression-net.co.jp,exclude,既存または除外リスト一致
regular,株式会社ウィルコミュニケーションデザイン研究所,https://wcd.co.jp/,,,,https://www.oac.or.jp/member/wcd/,,ウィルコミュニケーションデザイン研究所,wcd.co.jp,exclude,既存または除外リスト一致
regular,株式会社エージー,https://azinc.co.jp,,,,https://www.oac.or.jp/member/azinc-co-jp/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜空間デザイン、　AR / VR / XR,エージー,azinc.co.jp,exclude,既存または除外リスト一致
regular,株式会社エー・ティ・エー,https://www.ata.co.jp/,,,,https://www.oac.or.jp/member/ata/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜空間デザイン,エー・ティ・エー,ata.co.jp,exclude,既存または除外リスト一致
regular,株式会社エディターシップ,,,,,https://www.oac.or.jp/member/editor-ship/,グラフィック｜エディトリアル｜プランニング・コンサルティング,エディターシップ,,exclude,公式URLなし
regular,EN.WORKS合同会社,https://en-works.co.jp/,,,,https://www.oac.or.jp/member/en-works%e5%90%88%e5%90%8c%e4%bc%9a%e7%a4%be/,映像｜Web｜撮影・CG,enworks,en-works.co.jp,exclude,既存または除外リスト一致
regular,株式会社オックス,http://www.oxox.co.jp,,,,https://www.oac.or.jp/member/oxox/,,オックス,oxox.co.jp,exclude,既存または除外リスト一致
regular,株式会社オフィスバンズ,http://www.officebands.com,,,,https://www.oac.or.jp/member/officebands/,,オフィスバンズ,officebands.com,exclude,既存または除外リスト一致
regular,株式会社オンド,http://www.onde.co.jp/,,,,https://www.oac.or.jp/member/onde/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜プランニング・コンサルティング,オンド,onde.co.jp,exclude,既存または除外リスト一致
regular,コアプランニング株式会社,http://www.coa.co.jp,,,,https://www.oac.or.jp/member/coa/,,コアプランニング,coa.co.jp,exclude,既存または除外リスト一致
regular,株式会社サクラアルカス,http://www.sakura-pr.co.jp,,,,https://www.oac.or.jp/member/sakura-pr/,,サクラアルカス,sakura-pr.co.jp,exclude,既存または除外リスト一致
regular,サン・クリエイティブ株式会社,http://www.sun-cre.jp/,,,,https://www.oac.or.jp/member/sun-cre/,,サン・クリエイティブ,sun-cre.jp,exclude,既存または除外リスト一致
