address,company_name,discovery_note,phone,source_url,url
東京都練馬区豊玉北３丁目３番１０号,株式会社平賀,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/5011601005828,https://www.pp-hiraga.co.jp/
東京都渋谷区桜丘町２６番１号,ＧＭＯインターネット株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/1011001032872,https://www.gmo-ap.jp/
東京都千代田区四番町６番,株式会社デジタルホールディングス,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/4010001102162,https://digital-holdings.co.jp/
大阪府大阪市天王寺区空堀町２番８号,中本パックス株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/8120001024730,https://www.npacks.co.jp/
北海道札幌市東区東苗穂二条３丁目４番４８号,総合商研株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/8430001009031,https://www.shouken.co.jp/
東京都文京区小石川４丁目１４番１２号,共同印刷株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/8010001002136,https://www.kyodoprinting.co.jp/
東京都渋谷区神宮前３丁目４２番６号,三光産業株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/8011001034045,https://www.sankosangyo.co.jp/
東京都板橋区清水町３６番１号,共立印刷株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/2011401001699,https://www.kyoritsu-printing.co.jp/
東京都中央区銀座７丁目１６番１４号銀座イーストビル,カワセコンピュータサプライ株式会社,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/2120001077131,https://www.kc-s.co.jp/
東京都台東区上野３丁目２４番６号,株式会社日本創発グループ,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/9011501020139,https://www.jcpg.co.jp/
兵庫県姫路市西中島２８４番地８,株式会社ハクロマーク製作所,名簿ロゴ画像の配信元。公式性は別途確認必須,,https://houjin.goo.to/corporations/9140001065375,https://www.order-nobori.com/
