address,company_name,confidence,contact_url,discovery_note,evidence_detail,evidence_urls,exclusion_scope,generic_email,hub_type,last_verified_at,maps_url,margin_fit,phone,recurring_relationship,reject_reason,review_status,source_http_status,source_url,status,store_client_access,url,verification_version,why_fit
,(株)講談社,,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://ad.kodansha.net,,
,(株)講談社BECK,,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.kodansha-bc.com,,
,(株)インプレスホールディングス,B,https://www.impressholdings.com/contact/,,"[{""url"": ""https://www.impressholdings.com/"", ""text"": ""を発信しています。 S o l u t i o n 国内外における企業・自治体等と連携し、 SP・PRツール、Webサイト制作を通した ソリューションを提供します。 P l a t f o r m EC、電子コミック、出版流通における プラットフォーム等の企画開発・ 流通販売機能を提供します。 ""}]",https://www.impressholdings.com/,RECHECK,,ADD_ON_HUB,2026-08-27T15:17:01,,unknown,,unknown,グループ事業の説明であり、持株会社本体の顧客向け受託実態は未確認,EVIDENCE_CHECKED,,,MEOハブ候補,unknown,https://www.impressholdings.com/,,公式ページで「を発信しています。 S o l u t i o n 国内外における企業・自治体等と連携し、 SP・PRツール、Webサイト制作を通した ソリューションを提供します。 P l a t f o r m EC、電子コミック、出版流通における プラットフォーム等の企画開発・ 流」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,(株)ゴルフダイジェスト社 ビジネスプロデュース部,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://www.golfdigest.co.jp/digest,,
,(株)主婦と生活社,,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.shufu.co.jp,,
,新美容出版(株),,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.shinbiyo.com,,
,(株)PHP研究所 東京本部,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.php.co.jp,,
,リンクタイズ(株),,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://oceans.tokyo.jp,,
,(株)東京アドバタイジング,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.to-ad.co.jp,,
,(株)ピー・アール・シー,,,,,,RECHECK,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://prcad.co.jp,,
,JAA広告賞バナー JAA広告賞バナー,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.jaa.or.jp/contest/adaward,,
,新聞広告データアーカイブバナー 新聞広告データアーカイブバナー,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.pressnet.or.jp/adarc,,
,おもしろ広いぞ、広告業界。,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.advertimes.com/special/koukokunomirai,,
,(株)パーティー,,,,[],,RECHECK,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://prty.jp,,
