company_name,url,phone,address,source_url
(株)秋田書店,https://www.akitashoten.co.jp/,,,https://www.zakko.or.jp/about/member
(株)朝日新聞出版,https://publications.asahi.com/,,,https://www.zakko.or.jp/about/member
(株)インプレスホールディングス,http://www.impressholdings.com/,,,https://www.zakko.or.jp/about/member
(株)潮出版社,http://www.usio.co.jp/,,,https://www.zakko.or.jp/about/member
(株)NHK出版,https://www.nhk-book.co.jp/,,,https://www.zakko.or.jp/about/member
(株)旺文社,https://www.obunsha.co.jp/,,,https://www.zakko.or.jp/about/member
(株)ＫＡＤＯＫＡＷＡ,https://group.kadokawa.co.jp/,,,https://www.zakko.or.jp/about/member
(株)講談社,https://ad.kodansha.net/,,,https://www.zakko.or.jp/about/member
(株)講談社BECK,https://www.kodansha-bc.com/,,,https://www.zakko.or.jp/about/member
(株)交通新聞社,https://www.kotsu.co.jp/,,,https://www.zakko.or.jp/about/member
(株)交通タイムス社,https://www.kotsu-times.jp/,,,https://www.zakko.or.jp/about/member
(株)光文社,https://www.kobunsha.com/,,,https://www.zakko.or.jp/about/member
(株)ゴルフダイジェスト社 ビジネスプロデュース部,http://www.golfdigest.co.jp/digest/,,,https://www.zakko.or.jp/about/member
(株)三栄,https://www.san-ei-corp.co.jp,,,https://www.zakko.or.jp/about/member
(株)財界研究所,http://www.zaikai.jp/,,,https://www.zakko.or.jp/about/member
(株)ＣＥメディアハウス,http://www.cccmh.co.jp/,,,https://www.zakko.or.jp/about/member
(株)主婦と生活社,https://www.shufu.co.jp/,,,https://www.zakko.or.jp/about/member
(株)主婦の友社,https://shufunotomo.co.jp/,,,https://www.zakko.or.jp/about/member
(株)小学館,https://www.shogakukan.co.jp/,,,https://www.zakko.or.jp/about/member
(株)小学館メディアプロモーション,http://shogakukan-mp.co.jp/,,,https://www.zakko.or.jp/about/member
(株)新潮社,https://www.shinchosha.co.jp/,,,https://www.zakko.or.jp/about/member
新美容出版(株),https://www.shinbiyo.com/,,,https://www.zakko.or.jp/about/member
(株)世界文化ホールディングス,https://www.sekaibunka.com/,,,https://www.zakko.or.jp/about/member
(株)宝島社,https://tkj.jp/,,,https://www.zakko.or.jp/about/member
(株)宝塚クリエイティブアーツ,https://www.tca-pictures.net/,,,https://www.zakko.or.jp/about/member
(株)東京ニュース通信社,https://tokyonews.co.jp/,,,https://www.zakko.or.jp/about/member
(株)徳間書店,https://www.tokuma.jp/,,,https://www.zakko.or.jp/about/member
(株)日経BP,https://www.nikkeibp.co.jp/,,,https://www.zakko.or.jp/about/member
(株)日本ジャーナル出版,http://nihonjournal.jp/,,,https://www.zakko.or.jp/about/member
(株)日本スポーツ企画出版社,https://www.nsks.com/,,,https://www.zakko.or.jp/about/member
(株)ニュートン プレス,https://www.newtonpress.co.jp/,,,https://www.zakko.or.jp/about/member
(株)ハースト婦人画報社,https://www.hearst.co.jp/,,,https://www.zakko.or.jp/about/member
(株)日之出出版,https://hinode-publishing.jp/,,,https://www.zakko.or.jp/about/member
ぴあ(株),https://corporate.pia.jp/,,,https://www.zakko.or.jp/about/member
(株)PHP研究所 東京本部,https://www.php.co.jp/,,,https://www.zakko.or.jp/about/member
(株)双葉社,https://www.futabasha.co.jp/,,,https://www.zakko.or.jp/about/member
(株)プレジデント社,https://www.president.co.jp/,,,https://www.zakko.or.jp/about/member
(株)ベースボール・マガジン社,https://www.bbm-japan.com/,,,https://www.zakko.or.jp/about/member
(株)ベネッセコーポレーション,https://www.benesse.co.jp/,,,https://www.zakko.or.jp/about/member
(株)芳文社,https://houbunsha.co.jp/,,,https://www.zakko.or.jp/about/member
(株)マガジンハウス,https://magazineworld.jp/,,,https://www.zakko.or.jp/about/member
(株)モーターマガジン社,https://www.motormagazine.co.jp/,,,https://www.zakko.or.jp/about/member
(株)八重洲出版,https://www.yaesu-net.co.jp/,,,https://www.zakko.or.jp/about/member
リンクタイズ(株),https://oceans.tokyo.jp/,,,https://www.zakko.or.jp/about/member
(株)ワールドフォトプレス,http://www.monomagazine.com/,,,https://www.zakko.or.jp/about/member
(株)ワン・パブリッシング,https://one-publishing.co.jp/,,,https://www.zakko.or.jp/about/member
(株)グローバルプレス,http://www.global-press.co.jp/,,,https://www.zakko.or.jp/about/member
(株)弘研,http://www.koken-ad.co.jp/,,,https://www.zakko.or.jp/about/member
(株)廣洋社,https://www.kys-net.co.jp/,,,https://www.zakko.or.jp/about/member
(株)サンワードメディア,https://www.sunwardmedia.co.jp/,,,https://www.zakko.or.jp/about/member
(株)創広,https://www.ad-soko.co.jp/,,,https://www.zakko.or.jp/about/member
(株)東京アドバタイジング,https://www.to-ad.co.jp/,,,https://www.zakko.or.jp/about/member
(株)東成社,http://www.toseisha.co.jp/,,,https://www.zakko.or.jp/about/member
(株)ピー・アール・シー,https://prcad.co.jp/,,,https://www.zakko.or.jp/about/member
(株)ブルズアイ コミュニケーションズ,http://www.bullseyecom.co.jp/,,,https://www.zakko.or.jp/about/member
(株)文化企画,http://bnk.co.jp/,,,https://www.zakko.or.jp/about/member
おもしろ広いぞ、広告業界。,https://www.advertimes.com/special/koukokunomirai/,,,https://www.jaaa.ne.jp/about/member-companies/
JAA広告賞バナー JAA広告賞バナー,https://www.jaa.or.jp/contest/adaward/,,,https://www.oac.or.jp/member/
