company_name,url,address,phone,maps_url,_job_url
ASUE株式会社,https://asue.jp,〒105-0014 東京都港区芝一丁目15番13号 オフィスニューガイア浜松町No.17 10F,0120-212-183,,https://recruit-asue.info/mid-career/marketing/
Amulette株式会社,https://amulette.co.jp,〒150-6018 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー18階,03-6820-5465,,https://amulette.co.jp/recruit/
INTLOOP株式会社,https://www.intloop.com,〒107-0052 東京都港区赤坂2丁目4-6 赤坂グリーンクロス27F,03-5544-8040,,https://www.intloop.com/recruit/career/requirements/other/
ステージグループ,https://www.stagegroup.jp,〒101-0061 東京都千代田区神田三崎町2-4-1 TUG-I ビル 3F MAP,03-3263-0219,,https://www.stagegroup.jp/recruit/?id=1754019842-176463
トガル株式会社,https://togaru.co.jp,〒453-0016 愛知県名古屋市中村区竹橋町５番５号 さかえビル4B,,,https://togaru.co.jp/recruit/short-time/digital-marketer/
株式会社Creative Group,https://creativegroup.co.jp,〒102-0075 東京都千代田区三番町22-7 三番町関野ビル 4F,03-6380-8937,,https://creativegroup.co.jp/recruit/career
株式会社ITreat,https://itreat.co.jp,〒502-0817 岐阜県岐阜市長良福光2588 辻文ビル 3F,058-201-0240,,https://recruit.itreat.co.jp/recruit/marketer/
株式会社YELL FUNDING,https://www.yellfunding.jp,〒107-0062 東京都港区南青山3丁目1番36号 青山丸竹ビル6F 北関東支店 〒370-0849 群馬県高崎市八島町274 高崎高徳ビル7F,027-386-3895,,https://www.yellfunding.jp/recruit/
株式会社grape,https://grape-inc.jp,〒150-0043 東京都渋谷区道玄坂1丁目22-12 長島第一ビル8階,03-6820-2429,,https://grape-inc.jp/recruit/
株式会社オロ,https://www.oro.com,〒153-0063 東京都目黒区目黒3-9-1 目黒須田ビル 国内・海外拠点一覧 創業 1999年1月20日,,,https://www.oro.com/recruit/career/oromiyazaki-mc-advertisingoperation.html
株式会社トライバルメディアハウス,https://www.tribalmedia.co.jp,〒105-0004 東京都港区新橋1-1-13 アーバンネット内幸町ビル4F CROSSCOOP内（受付3F）,,,https://www.tribalmedia.co.jp/recruit/
株式会社フロンティアダイレクト,https://frontier-di.co.jp,〒150-0002 東京都渋谷区渋谷3-3-5 NBF渋谷イースト2F,03-5778-3939,,https://recruit.frontier-di.co.jp/professional/professional-1292/
株式会社ワイブロ,https://wibro.jp,東京都港区浜松町2丁目2番15号 浜松町ダイヤビル2F,03-6899-3154,,https://wibro.jp/recruit/
株式会社電通デジタルアンカー,https://www.dentsu-danchor.co.jp,〒105-7077 東京都港区東新橋 1-8-1,,,https://www.dentsu-danchor.co.jp/recruit/occupation/job2-2/
