company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
株式会社pleasure,https://pleasure-dx.com,〒070-0039 北海道旭川市9,,,SNS運用 / Instagram運用 / TikTok運用 / YouTube運用,https://pleasure-dx.com/,C,0,0,0
株式会社エーデザイン,https://adesign.jp,〒311-4204 茨城県水戸市田谷町1,029-350-1777,,SNS platform + operation service,https://adesign.jp/consulting/ | https://adesign.jp/company_overview/index.html | https://adesign.jp/contact/index.html | https://adesign.jp/lp/corporate/,C,0,0,0
biyonfactory LLC.,https://www.biyonfactory.com,〒340-0822 埼玉県八潮市大瀬1,090-5784-7197,,SNSマーケティング,https://www.biyonfactory.com/webmenu/lightplan.html | https://www.biyonfactory.com/contact.html | https://www.biyonfactory.com/company.html,C,0,0,0
株式会社Infinity,https://www.infinity-group.co.jp,〒277-0005 千葉県柏市柏1,,,SNS運用,https://www.infinity-group.co.jp/service/ | https://www.infinity-group.co.jp/company/ | https://www.infinity-group.co.jp/contact/,C,0,0,0
Cross Propworks Inc. All Rights Reserved.,https://www.propworks.co.jp,〒163-1424 東京都新宿区西新宿3,,,SNS運用,https://www.propworks.co.jp/about/ | https://www.propworks.co.jp/about/index.html | https://www.propworks.co.jp/service/marketing-research.html | https://www.propworks.co.jp/service/telemarketing.html,C,0,0,0
株式会社アドライブエージェント,https://adriveagent.com,〒101-0038 東京都千代田区神田美倉町１,,,SNS運用代行 / Instagram運用代行 / TikTok運用代行 / SNS運用 / SNSマーケティング,https://adriveagent.com/works | https://adriveagent.com/about-us | https://adriveagent.com/service | https://adriveagent.com/service/lp-sns-hoiku,C,0,0,0
株式会社 マグネット,https://www.mag-net.co.jp,〒553-0003 大阪府大阪市福島区福島7,06-6442-7676,,SNS platform + operation service,https://www.mag-net.co.jp/service/ | https://www.mag-net.co.jp/company/ | https://www.mag-net.co.jp/contact/ | https://www.mag-net.co.jp/service/consumer.html,C,0,0,1
株式会社,http://legacy-works.net,〒931-8305 富山県富山市豊若町1,090-8094-0342,,SNSマーケティング,http://legacy-works.net/company/ | http://legacy-works.net/business/,C,0,0,0
株式会社,https://www.connect-and-y.com,〒305-0008 茨城県つくば市流星台 4,029-856-3435,,SNS platform + operation service,https://www.connect-and-y.com/digital-content | https://www.connect-and-y.com/contact-us | https://www.connect-and-y.com/service | https://www.connect-and-y.com/about-us,C,0,0,0
株式会社Facilo,https://www.facilo.jp,〒104-0028 東京都中央区八重洲2,03-4588-4251,,SNS運用,https://www.facilo.jp/case/earth-juhan/ | https://www.facilo.jp/company/ | https://www.facilo.jp/about/ | https://www.facilo.jp/form/document-001/,C,0,0,0
2026 クラアド株式会社,https://claad.jp,〒422-8067 静岡県静岡市駿河区南町1,,,SNSマーケティング / SNS運用代行 / SNS広告運用,https://claad.jp/company | https://claad.jp/service | https://claad.jp/contact,C,0,0,0
がばいAIコンサルティング株式会社,https://gabai-ai.com,〒840-0816 佐賀県佐賀市駅南本町2,,,SNSマーケティング,https://gabai-ai.com/company/ | https://gabai-ai.com/service/ | https://gabai-ai.com/contact/,C,0,0,0
マジカルハンド株式会社,https://www.magicalhand.co.jp,〒310-0803 茨城県水戸市城南1,029-350-6800,,SNS運用代行,https://www.magicalhand.co.jp/?page_id=8 | https://www.magicalhand.co.jp/?page_id=8 | https://www.magicalhand.co.jp/?page_id=27,C,0,0,0
株式会社 Okwi（オクウィ）,https://www.okwi.app,〒310-0912 茨城県水戸市見川2,029-303-8800,,SNSマーケティング,https://www.okwi.app/commerce-disclosure | https://www.okwi.app/,C,0,0,0
株式会社 OPS,https://www.o-p-s.jp,〒341-0038 埼玉県三郷市中央1,048-951-4083,,インスタグラム運用,https://www.o-p-s.jp/c_instagram.html | https://www.o-p-s.jp/company.html,C,0,0,1
株式会社SJ,https://www.a-yocorp.com,〒336-0911 埼玉県さいたま市緑区三室6,048-424-4778,,SNSマーケティング,https://www.a-yocorp.com/business/ | https://www.a-yocorp.com/company/ | https://www.a-yocorp.com/topics/inquiry | https://www.a-yocorp.com/company/philosophy/,C,0,0,0
株式会社ディファレントサーチ,https://dif-s.jp,〒104-0045 東京都中央区築地2,03-6264-0059,,SNS platform + operation service,https://dif-s.jp/company/ | https://dif-s.jp/service/ad.html | https://dif-s.jp/service/listing.html | https://dif-s.jp/service/access.html,C,0,0,0
レイマシ株式会社,https://raymashi.com,〒651-0086 兵庫県神戸市中央区磯上通8,,,Instagram広告運用,https://raymashi.com/about-us/ | https://raymashi.com/service/ | https://raymashi.com/contact-us/,C,0,0,0
︎2023 Setsuna LLC. All Rights Reserved.,https://www.setsuna-llc.com,〒321-0164 栃木県宇都宮市双葉1,,,SNS運用 / SNSマーケティング,https://www.setsuna-llc.com/ | https://www.setsuna-llc.com/about-1/ | https://www.setsuna-llc.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,C,0,0,0
株式会社ワイズクリエイティブファクトリー,https://www.yscf.jp,〒150-6018 東京都渋谷区恵比寿4,03-5789-5374,,SNSマーケティング,https://www.yscf.jp/company/ | https://www.yscf.jp/contact/ | https://www.yscf.jp/analysis/,C,0,0,0
transcosmos online communications株式会社,https://kanameto.me,〒170-6015 東京都豊島区東池袋三丁目,03-5904-9091,,LINE公式アカウント運用,https://kanameto.me/ | https://kanameto.me/contact/index.html | https://kanameto.me/eco/index.html | https://kanameto.me/company.html,C,0,0,0
株式会社WACUL,https://wacul.co.jp,〒101-0052 東京都千代田区神田小川町3,03-5244-5535,,SNS運用代行 / SNS運用 / SNS広告運用 / SNSマーケティング,https://wacul.co.jp/service/sns-support | https://wacul.co.jp/about | https://wacul.co.jp/service | https://wacul.co.jp/contact,C,0,0,0
"xscore, Inc. All Rights Reserved.",https://webma.xscore.co.jp,〒150-0011 東京都渋谷区東3,03-6433-5770,,YouTube運用代行 / YouTube運用 / SNS運用代行,https://webma.xscore.co.jp/document/youtube-service/ | https://webma.xscore.co.jp/contact/ | https://webma.xscore.co.jp/about-us/ | https://webma.xscore.co.jp/service/,C,0,0,5
【指定管理者】昭和造園土木株式会社,https://hyakunen-kouen.jp,〒501-3941 岐阜県関市小屋名1,0575-28-2166,,SNS運用,https://hyakunen-kouen.jp/sns | https://hyakunen-kouen.jp/access | https://showa-con.form.kintoneapp.com/waiting/?_formCode=hyakunen-kouen-contact | https://hyakunen-kouen.jp/webaccessibility,C,0,0,0
合同会社 untitled,https://b-style-inc.jp,〒007-0829 北海道札幌市東区東雁来9,,,SNS platform + operation service,https://b-style-inc.jp/company/ | https://b-style-inc.jp/contact-member-about/ | https://b-style-inc.jp/contact-company/ | https://b-style-inc.jp/contact-member/,C,0,0,0
