company_name,url,public_source
株式会社コーセイカン,https://www.ko-seikan.co.jp,赤磐市Web広告業務選定結果
株式会社ウェブサイト,https://www.web3110.jp,宮崎市移住定住プロモーション選定結果
株式会社IGLOOO,https://iglooo.net,有田市デジタルプロモーション選定結果
株式会社merchu,https://merchu-inc.com,広島県SNS運用支援選定結果
一般社団法人まちはチームだ,https://machi.team,北九州市公式SNS運用選定結果
株式会社おきなわコークリエーション,https://okinawa-co-creation.com,沖縄観光コンベンションビューロー選定結果
株式会社第一プログレス,https://daiichi-progress.co.jp,橋本市SNS運用選定結果
株式会社新東通信,https://www.shinto-tsushin.co.jp,伊丹市Web広告選定結果
株式会社リンクプロモーション,https://link-promotion.jp,神戸市SNS等Web広告選定結果
株式会社読売千葉広告社,https://www.yomiuri-chiba.co.jp,千葉県Web広告選定結果
株式会社サンケイリビング新聞社,https://www.sankeiliving.co.jp,三重県デジタルプロモーション選定結果
セキ株式会社,https://www.seki.co.jp,宇和島市SNS広告選定結果
株式会社エヌケービー,https://www.nkb.co.jp,神奈川県観光プロモーション選定結果
株式会社チョコレイト,https://www.chocolate-inc.com,広島観光プロモーション選定結果
株式会社ポニーキャニオン,https://www.ponycanyon.co.jp,江東区Instagram運用選定結果
株式会社新潟放送,https://www.ohbsn.com,新潟県観光プロモーション選定結果
株式会社ライナーネットワーク,https://www.liner.jp,旭川市プロモーション選定結果
株式会社中国新聞社,https://www.chugoku-np.co.jp,広島市SNS活用プロモーション選定結果
株式会社大広西日本,https://www.daiko-west.co.jp,丸亀市公式SNS運用選定結果
メディアインターナショナル株式会社,https://media-int.co.jp,宮崎市観光協会Web・SNS広告選定結果
株式会社九州博報堂,https://www.kyushu.hakuhodo.co.jp,日南市デジタルプロモーション選定結果
株式会社中国四国博報堂,https://www.hakuhodo-cs.co.jp,愛媛県デジタルプロモーション選定結果
株式会社西日本新聞メディアラボ,https://www.medialab.co.jp,喜界町デジタルプロモーション選定結果
株式会社ファイネックス,https://www.fine-x.co.jp,千葉市Web・SNS情報発信選定結果
