_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分
2,RE株式会社,https://www.re-sns.jp,大阪府大阪市西区,,,https://www.re-sns.jp/contact/,,,,,,,Webマーケ,,
3,Sooon株式会社,https://sooon-web.com,〒550-0014 大阪市西区北堀江1丁目1-21 四ツ橋センタービル8階,,,https://sooon-web.com/contact,,,,,,,制作マーケ複合,,
4,株式会社ワンダーウォーカー,https://www.wonderworker-net.com,〒530-0041 大阪市北区天神橋2丁目1番23号,,,https://www.wonderworker-net.com/contact.php,,,,,,,Webマーケ,,
5,SINCEED株式会社,https://www.sinceed.co.jp,〒534-0024 大阪府大阪市都島区東野田町1-1-9-601,,,https://www.sinceed.co.jp/contact/,,,,,,,制作マーケ複合,,
6,株式会社ReALL,https://reall.co.jp,〒592-8335 大阪府堺市西区浜寺石津町東5-21-19,,,https://reall.co.jp/#contact,,,,,,,Webマーケ,,
7,株式会社RHY,https://www.rhy-japan.com,〒530-0001 大阪府大阪市北区梅田1-1-3 大阪駅前第3ビル29階 1-1-1号室,06-7166-8071,,https://www.rhy-japan.com/contact,,,,,,,制作マーケ複合,,
8,株式会社クォーレ,https://www.cuore20200801.com,〒534-0014 大阪市都島区都島北通一丁目1-14 レジデンス都島208,06-6210-7051,,https://www.cuore20200801.com/contact,,,,,,,Webマーケ,,
9,東京ウェブ株式会社,https://tokyo-web.co.jp,〒106-0032 東京都港区六本木四丁目8番7号 六本木三河台ビル5階,,,https://tokyo-web.co.jp/contact,,,,,,,周辺業種_Web付随,,
10,株式会社nanairo,https://nanairoinc.co.jp,〒150-0012 東京都渋谷区広尾1丁目2番地1号 ヒカリビル4階,03-5050-5298,,https://nanairoinc.co.jp/contact/,,,,,,,Webマーケ,,
11,株式会社Camy's,https://www.camys.jp,〒160-0023 東京都新宿区西新宿6-15-1 セントラルパークタワーラトゥール新宿1406,080-2007-0761,,https://www.camys.jp/,,,,,,,Webマーケ,,
12,マジカル株式会社,https://magical777.co.jp,〒104-0061 東京都中央区銀座7-13-20 銀座THビル9階,,,https://magical777.co.jp/#contact,,,,,,,Webマーケ,,
13,株式会社Gaku,https://www.gaku-inc.com,〒104-0031 東京都中央区京橋2丁目2-1 京橋エドグラン3F,,,https://www.gaku-inc.com/contact,,,,,,,Webマーケ,,
14,株式会社HolyTech,https://holytech.jp,〒160-0023 東京都新宿区西新宿7-13-5 SAビル5階,090-5454-0765,,https://holytech.jp/contact,,,,,,,Webマーケ,,
15,株式会社helix,https://helix.tokyo,東京都豊島区西池袋2-22-8 目白第二欅マンション203,,,https://helix.tokyo/contact,,,,,,,Webマーケ,,
16,Webマーケティング株式会社,https://web-marketing-limited.com,〒160-0022 東京都新宿区新宿2-9-22 多摩川新宿ビル2階,03-6380-6335,,https://web-marketing-limited.com/contact/,,,,,,,Webマーケ,,
17,株式会社重商,https://www.shigesyou.co.jp,東京都足立区竹の塚1-11-1 MAX IV 竹ノ塚201,,,https://www.shigesyou.co.jp/contact/,,,,,,,Webマーケ,,
18,株式会社WE3,https://we3-fukuoka.com,福岡県福岡市中央区天神2丁目2番12号 T&Jビルディング7F,,,https://lin.ee/Md3Ztzy,,,,,,,Webマーケ,,
19,株式会社mumumu,https://mumumu.co.jp,〒600-8223 京都府京都市下京区大黒町227番地 第2キョートビル402,,,https://mumumu.co.jp/contact/,,,,,,,制作マーケ複合,,
20,株式会社ナイスワン,https://niceone.co.jp,〒653-0038 兵庫県神戸市長田区若松町4-2-15 ピフレ新長田106号,078-611-7906,,https://niceone.co.jp/#section-23,,,,,,,Webマーケ,,
21,株式会社PEACE,https://peace-inc.jp,〒810-0001 福岡市中央区天神1-1-1 アクロス福岡1F,,,https://peace-inc.jp/contact,,,,,,,制作マーケ複合,,
22,株式会社mochi,https://o-mochi.co.jp,〒461-0001 名古屋市東区泉1丁目,,,https://o-mochi.co.jp/contact/,,,,,,,制作マーケ複合,,
23,株式会社総合アド,https://sogo-ad.jp,〒460-0008 愛知県名古屋市中区栄四丁目14番5号 松下中日ビル7F,052-938-3981,,https://sogo-ad.jp/contact/,,,,,,,制作マーケ複合,,
24,株式会社天空広告,https://www.tenku3.com,〒459-8011 愛知県名古屋市緑区定納山1丁目301 フォーサイドヒルズ1F,052-625-1093,,https://www.tenku3.com/contact.php,,,,,,,制作マーケ複合,,
25,株式会社hamon,https://hamon-z.com,〒220-0004 神奈川県横浜市西区北幸1丁目11番1号 水信ビル7階,,,https://hamon-z.com/contact/,,,,,,,Webマーケ,,
26,株式会社タカマサ,https://www.takamasa-marketing.co.jp,〒231-0012 神奈川県横浜市中区相生町5丁目80番地 相生ビル301,045-900-8721,,https://www.takamasa-marketing.co.jp/contactform/,,,,,,,Webマーケ,,
27,株式会社AUTHENTICWORK,https://authenticwork.co.jp,〒220-0004 神奈川県横浜市西区北幸2-10-48 むつみビル3階,,,https://authenticwork.co.jp/contact/,,,,,,,制作マーケ複合,,
28,株式会社Ambition,https://ambition-ltd.co.jp,〒231-0062 横浜市中区桜木町1-1-7 ヒューリックみなとみらい10階,045-228-5266,,https://ambition-ltd.co.jp/#a04,,,,,,,制作マーケ複合,,
29,株式会社グローバルメディア,https://global-media-net.jp,〒220-0072 神奈川県横浜市西区浅間町1-4-12,045-595-9929,,https://global-media-net.jp/contact/,,,,,,,制作マーケ複合,,
30,株式会社エムエーエス,https://m-as.jp,〒330-0064 埼玉県さいたま市浦和区岸町7丁目12番1号,048-789-6006,,https://m-as.jp/contact/,,,,,,,Webマーケ,,
31,株式会社26,https://social26.com,〒274-0065 千葉県船橋市高根台6-23-20,070-1777-0526,,https://social26.com/contact/,,,,,,,Webマーケ,,
32,株式会社Earnest,https://www.earnest-co-ltd.co.jp,〒262-0019 千葉県千葉市花見川区朝日ヶ丘4-27-9-1,090-5583-1029,,https://www.earnest-co-ltd.co.jp/#contact,,,,,,,Webマーケ,,
33,株式会社HIGHER,https://higher-official.co.jp,千葉県八千代市ゆりのき台5-30-54,,,https://higher-official.co.jp/contact,,,,,,,制作マーケ複合,,
34,株式会社BANLI,https://www.banli.co.jp,〒330-9501 埼玉県さいたま市大宮区桜木町2-3 大宮マルイ7F,,,https://www.banli.co.jp/contact,,,,,,,制作マーケ複合,,
35,株式会社プエンテ,https://www.puente-web.com,〒337-0053 さいたま市見沼区大和田町1-1958-303,048-688-6674,,https://www.puente-web.com/contact.html,,,,,,,制作マーケ複合,,
36,株式会社DEGORA,https://degora.net,〒362-0058 埼玉県上尾市大字上野462番地1,080-1146-4035,,https://degora.net/contact/,,,,,,,制作マーケ複合,,
37,株式会社LIB,https://www.lib-marketing.com,〒330-0834 埼玉県さいたま市大宮区天沼町2-18 T.M大宮ビル2階,048-700-7008,,https://www.lib-marketing.com/#06,,,,,,,Webマーケ,,
38,株式会社スタートライク,https://startlik.online,静岡県浜松市,,,https://startlik.online/contact/,,,,,,,Webマーケ,,
39,岡山ウェブコンサルティング株式会社,https://okayama-web.jp,〒703-8205 岡山県岡山市中区中井428-2,086-238-9666,,https://okayama-web.jp/contact/,,,,,,,制作マーケ複合,,
40,株式会社週休3日,https://sns-shizuoka.jp,静岡県浜松市中央区砂山町,,,https://sns-shizuoka.jp/contact,,,,,,,Webマーケ,,
41,株式会社トンテンシ,https://tontenshi.co.jp,〒700-0975 岡山市北区今8丁目1-32 エントピア今101,086-243-5500,,https://tontenshi.co.jp/#anchor_contact,,,,,,,Webマーケ,,
42,株式会社Minamo,https://minamo.site,静岡県浜松市,,,https://minamo.site/contact/,,,,,,,Webマーケ,,
43,株式会社ミチノクキカク,https://michinokukikaku.jp,〒980-0011 宮城県仙台市青葉区上杉2丁目4-33 ONEHOUSE上杉202,,,https://michinokukikaku.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,,,,,,Webマーケ,,
44,合同会社にこん,https://nikonn.com,宮城県仙台市宮城野区二十人町305-9,,,https://nikonn.com/contact,,,,,,,制作マーケ複合,,
45,株式会社CONVY,https://convy.co.jp,〒982-0824 宮城県仙台市太白区芦の口6番24号,,,https://convy.co.jp/contact/,,,,,,,制作マーケ複合,,
46,株式会社office PLAN B,https://www.office-plan-b.jp,仙台市青葉区一番町2-5-5 東一中央ビル5F,,,https://www.office-plan-b.jp/contact.html,,,,,,,Webマーケ,,
47,オッジ株式会社,https://www.sendai-oggi.com,〒984-0051 宮城県仙台市若林区新寺4丁目3-1 クアーズ202号室,080-8158-4232,,https://www.sendai-oggi.com/#contact,,,,,,,Webマーケ,,
48,株式会社ウェブマーケティングラボ,https://web-marketing-lab.com,〒980-0014 宮城県仙台市青葉区本町一丁目5番28号 カーニープレイス仙台駅前通り603号室,,,https://web-marketing-lab.com/contact/,,,,,,,制作マーケ複合,,
49,株式会社BYTE,https://www.byte.co.jp,熊本県下益城郡美里町二和田1227-1,,,https://www.byte.co.jp/#contact,,,,,,,制作マーケ複合,,
50,株式会社ウェブサポート,https://websupport.co.jp,〒815-0033 福岡県福岡市南区大橋1丁目3-18 RE BLDG303,,,https://websupport.co.jp/contact,,,,,,,Webマーケ,,
51,株式会社イノベイド,https://www.innovade.net,福岡市中央区高砂1-11-1 福岡ゼネラルビル8F,092-534-0005,,https://www.innovade.net/contact/,,,,,,,制作マーケ複合,,
52,株式会社イニジオン,https://inizion.com,熊本県,,,https://inizion.com/contact/,,,,,,,Webマーケ,,
53,株式会社エフイーエイト,https://www.fe-eight.com,〒812-0038 福岡県福岡市博多区祇園町8-13,050-3701-0268,,https://www.fe-eight.com/#contact,,,,,,,制作マーケ複合,,
54,株式会社BIL,https://bil-kumamoto.jp,熊本県熊本市,,,https://bil-kumamoto.jp/%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,,,,,,制作マーケ複合,,
55,株式会社ファンドットリンク,https://fdl.ne.jp,〒810-0001 福岡市中央区天神一丁目1-1 アクロス福岡 fabbit 1階,,,https://fdl.ne.jp/contact,,,,,,,Webマーケ,,
56,株式会社ZEN,https://zen-focus.co.jp,〒770-8053 徳島県徳島市沖浜東3丁目46 Jビル 東館205,,,https://zen-focus.co.jp/#contact,,,,,,,Webマーケ,,
57,GOTO（東洋警備保障株式会社）,https://gotosns.jp,〒777-0005 徳島県美馬市穴吹町穴吹字平ﾉ内29-1,0883-52-3280,,https://gotosns.jp/contact/,,,,,,,Webマーケ,,
58,株式会社GoFer,https://gofer.co.jp,〒770-0861 徳島県徳島市住吉2-4-44 アンソレイユ住吉1-1,,,https://gofer.co.jp/contact,,,,,,,制作マーケ複合,,
59,株式会社TOKUFUJI,https://www.tokufuji.co.jp,〒779-3233 徳島県名西郡石井町石井字石井479-19 エミビル102,088-674-0505,,https://www.tokufuji.co.jp/contact.php,,,,,,,Webマーケ,,
60,株式会社SUTEKi,https://clinic.s-suteki.co.jp,〒320-0811 栃木県宇都宮市大通り2-1-6 宇都宮サテライトビル6F-A,028-639-2448,,https://clinic.s-suteki.co.jp/#contact,,,,,,,制作マーケ複合,,
61,クリニケア株式会社,https://www.clinicare.co.jp,〒150-0002 東京都渋谷区渋谷1-20-1 井門美竹ビル2F,,,https://www.clinicare.co.jp/#p-contact,,,,,,,周辺業種_Webなし,,
62,株式会社SHIROMAKU,https://shiromaku.jp,〒194-0013 東京都町田市原町田6丁目25-3 第2岡本ビル3階,,,https://shiromaku.jp/info/,,,,,,,周辺業種_Web付随,,
63,株式会社ewalu,https://www.ewalu-co.jp,〒150-0021 東京都渋谷区恵比寿西2丁目3-9 浦一MKY恵比寿ビル701,,,https://www.ewalu-co.jp/,,,,,,,Webマーケ,,
64,株式会社シーマック,https://cmac.co.jp,〒166-0003 東京都杉並区高円寺南4-34-10 グランドコート502,,,https://cmac.co.jp/contact/,,,,,,,周辺業種_Web付随,,
65,株式会社フジ・クリエイティブセンター,https://www.fuji-cc.co.jp,新潟市中央区上所中3-11-8,025-283-6000,,https://www.fuji-cc.co.jp/contact/index.html,,,,,,,制作マーケ複合,,
66,株式会社プリズム,https://www.prism-c.com/profile.html,〒921-8031 石川県金沢市野町5丁目18-87,076-255-7786,,https://www.prism-c.com/contactus.html,,,,,,,周辺業種_Webなし,,
67,株式会社メディアトップ,https://www.media-top.jp,〒951-8141 新潟市中央区関新2丁目1番73-607号,025-280-0500,,https://www.media-top.jp/#page-contact,,,,,,,Webマーケ,,
68,株式会社パブリシティコア,https://www.corenet.co.jp,〒950-0951 新潟県新潟市中央区鳥屋野289-1,,,https://www.corenet.co.jp/contact/,,,,,,,Webマーケ,,
69,株式会社北陸中日広告社,https://www.chunichi-k.jp,〒920-0025 石川県金沢市駅西本町2-12-30,076-262-4376,,https://www.chunichi-k.jp/contact,,,,,,,周辺業種_Web付随,,
70,株式会社広報センター,https://khc.co.jp,札幌市中央区大通西14丁目1番地13 北日本南大通ビル8F,011-231-2550,,https://khc.co.jp/contact.html,,,,,,,周辺業種_Webなし,,
71,株式会社第一広告,https://www.daiichiad.co.jp,札幌市中央区大通西9丁目1-1,011-596-7100,,https://www.daiichiad.co.jp/contact,,,,,,,Webマーケ,,
72,株式会社ラスカル,https://www.webrascal.com,札幌市中央区北1条西3丁目3番41号,011-330-1553,,https://www.webrascal.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,,,,,,,周辺業種_Web付随,,
73,株式会社サンブラッソ・エイティーブイ,https://www.san-brazo.com,〒038-0011 青森県青森市篠田二丁目3-17,017-762-7010,,https://www.san-brazo.com/contact.html,,,,,,,周辺業種_Webなし,,
74,株式会社SPTM,https://sptm.jp/company.html,〒060-0042 札幌市中央区大通西13丁目4番地161 札幌東光ビル6階,011-281-0077,,https://tan185280.studio.site/company.html/contact,,,,,,,周辺業種_Webなし,,
75,株式会社エールマン,https://www.yellman.co.jp,〒460-0008 愛知県名古屋市中区栄2-3-16 アーク栄広小路ビル306,052-291-4881,,https://www.yellman.co.jp/#contact,,,,,,,制作マーケ複合,,
76,株式会社産通,https://santsu.com,〒460-8616 愛知県名古屋市中区錦2-12-14 MANHYO第一ビル10F,052-232-7581,,https://santsu.com/#form,,,,,,,Webマーケ,,
77,株式会社エムズコーポレーション,https://www.e-ms.co.jp,〒461-0005 愛知県名古屋市東区東桜1-10-9 栄プラザビル9F,052-950-6541,,https://www.e-ms.co.jp/contact/,,,,,,,制作マーケ複合,,
78,株式会社SSパートナー,https://www.ss-partner.jp,〒541-0047 大阪府大阪市中央区淡路町2丁目1−1 堺筋千島ビル602,06-4400-2874,,https://www.ss-partner.jp/contact/,,,,,,,Webマーケ,,
79,MINAOSU合同会社,https://minaosu.jp,〒530-0001 大阪府大阪市北区梅田1丁目2番2号大阪駅前第2ビル12-12,,,https://minaosu.jp/info,,,,,,,Webマーケ,,
80,株式会社左京広告,https://www.sakyo-ad.co.jp,〒606-8203 京都市左京区田中関田町2-7 思文閣会館302,,,https://www.sakyo-ad.co.jp/#contact,,,,,,,Webマーケ,,
81,株式会社大明社,https://daimeisha.co.jp,兵庫県神戸市中央区多聞通5-1-26,,,https://daimeisha.co.jp/contact,,,,,,,Webマーケ,,
82,株式会社ライダース・パブリシティ 関西支社,https://riders-ad.jp,〒530-0001 大阪市北区梅田1丁目1-3 大阪駅前第3ビル26階,06-6343-0331,,https://riders-ad.jp/inquiry/tokyo/,,,,,,,周辺業種_Web付随,,
83,株式会社shiny,https://shiny-inc.co.jp,〒160-0022 東京都新宿区新宿5-11-13 富士新宿ビル4階,03-6555-4507,,https://shiny-inc.co.jp/contact,,,,,,,Webマーケ,,
84,株式会社サンヨー,https://www.sanyo-ad.co.jp,〒103-0023 東京都中央区日本橋本町4-2-4,03-3231-1001,,https://www.sanyo-ad.co.jp/contact/,,,,,,,周辺業種_Webなし,,
85,株式会社beEN,https://www.be-en.jp,東京都目黒区中目黒1-9-22 マートルコート中目黒204,03-6303-2138,,https://www.be-en.jp/contact,,,,,,,周辺業種_Web付随,,
