_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード,official_name,name_source,audit_state,audit_reason,category,evidence,resolved_url
43,eBIZ CREATE Inc.,https://ebiz-create.co.jp,〒963-8861 福島県郡山市鶴見坦3,050-5830-3593,,https://ebiz-create.co.jp#contact,,,,,,,,,,,eBIZ CREATE Inc,existing_english,exclude,direct_meo_competitor,,,https://ebiz-create.co.jp
60,(c) 2024 UP RISING INC.,https://up-rising.jp,〒062-0055 北海道札幌市豊平区月寒東5,011-302-7758,,https://up-rising.jp/contact/flow/,,,,,,,,,,,株式会社アットプラスデザイン,root_jsonld,exclude,direct_meo_competitor,,,https://up-rising.jp
79,Inc.,https://kukanhokkaido.co.jp,〒062-0904 北海道札幌市豊平区豊平４,,,https://kukanhokkaido.co.jp/contact/,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://kukanhokkaido.co.jp
101,- 2026 © FELLOWS Inc.,https://www.creators-station.jp,〒150-0021 東京都渋谷区恵比寿西1,03-5728-5580,,https://www.creators-station.jp/contact,,,,,,,,,,,FELLOWS Inc,existing_english,exclude,project_or_media_site,,,https://www.creators-station.jp
108,株式会社文化堂,https://bunkado-web.co.jp,〒960-8101 福島県福島市上町2,024-572-4443,,https://bunkado-web.co.jp/contact/,,,,,,,,,,,株式会社文化堂,company_label,valid,,Web広告・デジタル集客,Google広告 / 広告運用,https://bunkado-web.co.jp
113,イノベーションズアイ株式会社,https://www.innovations-i.com,〒980-0013 宮城県 宮城県仙台市青葉区花京院1,,,https://www.innovations-i.com/contact/,,,,,,,,,,,イノベーションズアイ株式会社,existing_english,valid,,Web広告・デジタル集客,デジタルマーケティング,https://www.innovations-i.com
142,株式会社Genie,https://genie-inc.net,〒310-0836 茨城県水戸市元吉田町1,090-7725-6423,,https://genie-inc.net/inquiry/,,,,,,,,,,,株式会社Genie,existing,exclude,target_service_unconfirmed,,,https://genie-inc.net
244,株式会社柳沢建設,https://yanagi-k.co.jp,〒018-5421 秋田県鹿角市十和田大湯字川原ノ湯1,0186-37-2129,,https://yanagi-k.co.jp/contact,,,,,,,,,,,株式会社柳沢建設,existing,exclude,target_service_unconfirmed,,,https://yanagi-k.co.jp
254,株式会社アールイーナンバー,https://renumber.co.jp,〒299-3219 千葉県大網白里市南飯塚4,0475-71-3675,,https://renumber.co.jp/contact/,,,,,,,,,,,株式会社アールイーナンバー,existing,exclude,target_service_unconfirmed,,,https://renumber.co.jp
262,株式会社NITACO,https://nitaco.jp,〒150-0043 東京都渋谷区道玄坂1,090-6698-6866,,https://nitaco.jp/contact/,,,,,,,,,,,株式会社NITACO,company_label,exclude,target_service_unconfirmed,,,https://nitaco.jp
284,"shoubunsha Group, Inc.",https://shoubunsha.com,〒251-0047 神奈川県藤沢市辻堂５,,,https://shoubunsha.com/wp4/inquiry/,,,,,,,,,,,"shoubunsha Group, Inc",existing_english,valid,,Web制作・クリエイティブ,ホームページ制作,https://shoubunsha.com
289,株式会社雪原学舎,https://setsugen-gakusha.jp,〒949-8503 新潟県十日町市本屋敷丁5,025-757-8125,,https://setsugen-gakusha.jp/contact/,,,,,,,,,,,株式会社雪原学舎,company_label,exclude,target_service_unconfirmed,,,https://setsugen-gakusha.jp
337,NextValue株式会社,https://nextvalue-asahikawa.com,〒070-0000 北海道旭川市6,080-5698-0283,,https://nextvalue-asahikawa.com/contact/,,,,,,,,,,,NextValue株式会社,existing_english,valid,,Web制作・クリエイティブ,ブランディング / クリエイティブ制作,https://nextvalue-asahikawa.com
365,activo inc,https://activo.jp,〒080-0011 北海道帯広市西1,,,https://activo.jp/contact,,,,,,,,,,,株式会社activo,company_jsonld,exclude,target_service_unconfirmed,,,https://activo.jp
403,2026. RB合同会社,https://rb-llc.jp,〒460-0003 愛知県名古屋市中区錦三丁目,052-269-8638,,https://rb-llc.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,,,,,,,,,,RB合同会社,existing_english,valid,,SNS運用・SNS広告,SNS運用 / SNSマーケティング,https://rb-llc.jp
407,（事務局：株式会社豊橋まちなか活性化センター）,https://1484machinaka.jp,〒440-8508 愛知県豊橋市花田町字石塚4,0532-55-6666,,https://1484machinaka.jp/contact,,,,,,,,,,,株式会社豊橋まちなか活性化センター,existing,review,official_domain_unconfirmed,,,https://1484machinaka.jp
444,株式会社 Wisdomsthan,https://wisdomsthan.com,〒913-0002 福井県坂井市三国町加戸1,0776-50-2203,,https://wisdomsthan.com/consulting/work/,,,,,,,,,,,株式会社Wisdomsthan,company_label,valid,,店舗・業種特化マーケティング,集客支援,https://wisdomsthan.com
474,AIMEIO Inc.,https://aimeio.jp,〒210-0007 神奈川県川崎市川崎区駅前本町1,090-7912-7844,,https://aimeio.jp/contact/,,,,,,,,,,,株式会社AIMEIO,company_jsonld,valid,,Web広告・デジタル集客,Webマーケティング / SEO対策,https://aimeio.jp
502,Dunno inc.,https://dunno.co.jp,〒408-0026 山梨県北杜市長坂町日野3,,,https://dunno.co.jp/contact/,,,,,,,,,,,Dunno inc,existing_english,valid,,Web制作・クリエイティブ,ホームページ制作 / 動画制作 / 映像制作,https://dunno.co.jp
504,"株式会社NewSPO.【NewSPO. CO., LTD.】",https://newspo.co.jp,〒556-0011 大阪府大阪市浪速区難波中3,06-6633-7744,,,,,,,,,,,,,株式会社NewSPO,company_label,valid,,SNS運用・SNS広告,SNS運用 / Instagram運用 / TikTok運用,https://newspo.co.jp
511,合同会社makoto.,https://mmakoto-llc-sassa.cloud,〒657-0011 兵庫県神戸市灘区 天城通３,070-2285-1919,,https://mmakoto-llc-sassa.cloud/contact,,,,,,,,,,,合同会社makoto,company_label,valid,,SNS運用・SNS広告,SNS運用 / SNSマーケティング,https://mmakoto-llc-sassa.cloud
515,株式会社テレパル岡山,https://teleoka.com,〒700-0952 岡山県岡山市北区平田 1,086-243-7162,,,,,,,,,,,,,,,review,fetch_failed,,,
585,株式会社さとゆめ,https://satoyume.com,〒102-0074 東京都千代田区九段南3,,,https://satoyume.com/contact/,,,,,,,,,,,株式会社さとゆめ,company_jsonld,valid,,Web制作・クリエイティブ,ブランディング,https://satoyume.com
635,【運営会社】 株式会社Bizin,https://niigata-misetsuku.com,〒955-0852 新潟県三条市南四日町4,,,https://niigata-misetsuku.com#section-38,,,,,,,,,,,株式会社Bizin,existing,exclude,target_service_unconfirmed,,,https://niigata-misetsuku.com
650,株式会社日広 ALL RIGHTS REERVED,https://www.nicco-kk.co.jp,〒386-0002 長野県上田市住吉6,0268-24-1211,,https://www.nicco-kk.co.jp/contact,,,,,,,,,,,株式会社日広,existing,valid,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / ウェブサイト制作,https://www.nicco-kk.co.jp
664,著作権は株式会社 ビューティラボに帰属します。,https://www.beauty-labo.jp,〒102-0083 東京都千代田区麹町２,03-4405-6165,,https://www.beauty-labo.jp/category/1826870.html,,,,,,,,,,,株式会社ビューティラボ,company_label,valid,,Web広告・デジタル集客,インターネット広告,https://www.beauty-labo.jp
665,"M-HAND,Inc.",https://mh-sp.com,〒141-0022 東京都品川区東五反田1,0120-868-102,,https://mh-sp.com/contact/,,,,,,,,,,,株式会社エムハンド,company_label,valid,,Web広告・デジタル集客,Webマーケティング / Web広告 / リスティング広告,https://mh-sp.com
