company_name,url,domain,existing_name,existing_domain
JICDAQ (デジタル広告品質認証機構),https://jicdaq.or.jp/,jicdaq.or.jp,False,False
RTB HOUSE JAPAN株式会社,https://www.rtbhouse.com/,rtbhouse.com,False,False
株式会社 アイスタイル,http://www.istyle.co.jp,istyle.co.jp,False,False
アイティメディア株式会社,https://corp.itmedia.co.jp/,corp.itmedia.co.jp,False,False
株式会社 アイデム,https://www.aidem.co.jp,aidem.co.jp,False,False
株式会社 IPG,https://www.ipg.co.jp/,ipg.co.jp,False,False
株式会社 アイプラネット,http://www.iplanet-inc.com,iplanet-inc.com,False,False
株式会社 アイモバイル,https://www.i-mobile.co.jp,i-mobile.co.jp,False,False
アクセンチュア株式会社,https://www.accenture.com/jp,accenture.com,False,False
株式会社 朝日広告社,http://www.asakonet.co.jp,asakonet.co.jp,False,False
株式会社 朝日新聞社,http://www.asahi.com,asahi.com,False,False
株式会社 朝日新聞出版,http://publications.asahi.com,publications.asahi.com,False,False
朝日放送テレビ株式会社,https://www.asahi.co.jp,asahi.co.jp,False,False
UPPGO株式会社,https://uppgo.inc/,uppgo.inc,True,True
AppBank株式会社,http://www.appbank.co.jp,appbank.co.jp,False,False
株式会社 ADDIX,https://addix.co.jp/,addix.co.jp,False,False
株式会社 アドウェイズ,http://adways.net/,adways.net,False,False
株式会社 AbemaTV,https://abema.tv,abema.tv,False,False
アマゾンジャパン合同会社,http://www.amazon.co.jp/,amazon.co.jp,False,False
株式会社 アマナ,https://amana.jp/,amana.jp,False,False
RFA digital brains株式会社,https://www.r-f-a.co.jp/,r-f-a.co.jp,True,True
andtokyo株式会社,https://andtokyo.com/,andtokyo.com,False,False
株式会社 イード,http://www.iid.co.jp,iid.co.jp,False,False
イオンマーケティング株式会社,https://www.aeonmarketing.co.jp/,aeonmarketing.co.jp,False,False
株式会社 イノベーションエイド,https://www.i-aid.co.jp/,i-aid.co.jp,False,False
株式会社 イリアル,https://ereal.co.jp/,ereal.co.jp,False,False
株式会社 ILLEST PLUS,https://www.illestplus.com/,illestplus.com,False,False
INCLUSIVE株式会社,http://inclusive.co.jp/,inclusive.co.jp,False,False
株式会社 インタースペース,http://www.interspace.ne.jp,interspace.ne.jp,False,False
株式会社 indi,https://indi.co.jp/,indi.co.jp,False,False
株式会社 インティメート・マージャー,https://corp.intimatemerger.com,corp.intimatemerger.com,False,False
Index Exchange Japan株式会社,https://jp.indexexchange.com/,jp.indexexchange.com,False,False
株式会社 インフィニティエージェント,https://infinity-agent.co.jp/,infinity-agent.co.jp,False,False
株式会社 インプレス,http://impress.co.jp/,impress.co.jp,False,False
Uber Japan株式会社,https://www.uber.com/us/en/advertising,uber.com,False,False
UUUMマーケティング株式会社,https://marketing.uuum.co.jp/,marketing.uuum.co.jp,False,False
株式会社 ウエディングパーク,https://www.weddingpark.co.jp,weddingpark.co.jp,False,False
