"company_name","url","address","phone","maps_url","source_file"
"株式会社ディプシー","https://deepxi.net/","〒150-0043 東京都渋谷区道玄坂1丁目10番8号 渋谷道玄坂東急ビル2F-C","03-5761-7398","","agent_round11_vertical_industry_marketing_more.csv"
"株式会社ウェルボン","https://salesdoctor-amazon.com/","〒998-0102 山形県酒田市京田2-69-7","0234-41-0081","","agent_round11_vertical_industry_marketing_more.csv"
"UNIIDEO株式会社","https://uniideo.com/","〒153-0042 東京都目黒区青葉台1-20-4 FORCEビル3F","03-6712-7958","","agent_round11_vertical_industry_marketing_more.csv"
"KURO HOLDINGS株式会社","https://kuroholdgs.jp/","〒106-0041 東京都港区麻布台1丁目11-5 VILLAGE AZABUDAI 5階・6階","03-6434-7767","","agent_round11_vertical_industry_marketing_more.csv"
"株式会社アックスコンサルティング","https://www.accs-c.co.jp/","〒150-0013 東京都渋谷区恵比寿1-19-15 ウノサワ東急ビル3F","03-5420-2711","","agent_round11_vertical_industry_marketing_prefiltered.csv"
"株式会社リッチオール","https://www.cmri.jp/","〒144-0052 東京都大田区蒲田5-27-10 TKビル10F","03-5714-2277","","agent_round11_vertical_industry_marketing_raw.csv"
"有限会社エムジーエム","https://www.webcoco.jp/","〒794-0813 愛媛県今治市衣干町二丁目2番51-6号","0898-24-7112","","agent_round11_vertical_industry_marketing_raw.csv"
"レスポンス・コンテンツ・サーブ株式会社","https://www.recruit-marketing.jp/","〒104-0031 東京都中央区京橋1-1-5 セントラルビル2階","03-6820-9159","","agent_round11_vertical_industry_marketing_raw.csv"
"株式会社CTN","https://corp.ctn-net.jp/","〒572-0086 大阪府寝屋川市松屋町18-9 Casa Advance 2F","072-800-7106","","agent_round11_vertical_industry_marketing_raw.csv"
"株式会社プロパティフォース","https://property-force.jp/","〒169-0074 東京都新宿区北新宿4-4-2 大内ビル4F","","","agent_round11_vertical_industry_marketing_raw.csv"
"ANDYOU株式会社","https://andyou-inc.jp/","〒431-0429 静岡県湖西市南台3-6-31","050-5369-1028","","agent_round11_vertical_industry_marketing_raw.csv"
"株式会社HAMON","https://hamoninc.com","〒108-0074 東京都港区高輪1-20-2 NEUK白金高輪208","03-6555-3090","","agent_round13_tourism_regional_promo_candidates.csv"
