company_name,url,address,phone,maps_url,status
株式会社シェア,https://www.share-kagoshima.com/,"〒890-0054 鹿児島県鹿児島市荒田2丁目30-8",050-3552-0219,,
株式会社日本コミュニケーションズ,https://www.nichicomm.jp/,"〒892-0846 鹿児島県鹿児島市加治屋町11-1-1F",099-805-2710,,
MBC開発株式会社,https://www.mbcad.jp/,"〒892-8563 鹿児島県鹿児島市樋之口町1-1 5F",099-225-0113,,
株式会社大博,https://daihaku-miyazaki.co.jp/,"〒880-0051 宮崎県宮崎市江平西2丁目2-20-6",0985-24-3001,,
株式会社UMKエージェンシー,https://www.umkag.com/,"〒880-0022 宮崎県宮崎市大橋3丁目101番地1号",0985-22-1122,,
株式会社アシスト・コミュニケーション,https://www.assist-ccn.jp/,"〒861-8064 熊本県熊本市北区八景水谷2丁目14番23号",096-288-5494,,
株式会社プロモートウェブ,https://promote-web.jp/,"〒861-4101 熊本県熊本市南区近見3丁目11-136",,,
株式会社熊日広告社,https://kumakou.jp/,"〒860-0822 熊本県熊本市中央区本山町225-1",,,
株式会社マックスファイブ,https://www.maxfive.co.jp/,"〒860-0826 熊本県熊本市南区平田1-14-8 亀川ビル1F",,,
株式会社アド・プラス,https://www.ad-plus.co.jp/,"〒880-0035 宮崎県宮崎市下北方町野田628番地5 宮崎ビル2F",,,
