company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
"クラウドサーカス株式会社（英名：Cloud CIRCUS, Inc.）",https://check.cloudcircus.jp,〒163-0919 東京都新宿区西新宿2,,,SNS platform + operation service,https://check.cloudcircus.jp/company/info/ | https://check.cloudcircus.jp/about/ | https://check.cloudcircus.jp/company/ | https://check.cloudcircus.jp/company/info/BtoC/,A,18,19,0
株式会社ディーアイシー,https://www.d-ic.com,〒373-0026 群馬県太田市東本町2,0276-60-5440,,SNS platform + operation service,https://www.d-ic.com/company | https://www.d-ic.com/service | https://www.d-ic.com/service/home-page | https://www.d-ic.com/service/renewal,A,18,26,0
Curiver Inc.,https://curiver.com,〒329-1305 栃木県さくら市狭間田1,,,SNS運用 / SNS運用代行,https://curiver.com/media/ | https://curiver.com/service/seo/ | https://curiver.com/service/sns/ | https://curiver.com/service/web-marketing/,A,18,8,0
合同会社ConnectDesign,https://connect-design.biz,〒370-0314 群馬県太田市新田市野井町5,050-1808-5617,,SNS運用代行,https://connect-design.biz/service/service_graphic/ | https://connect-design.biz/service/ | https://connect-design.biz/service/ | https://connect-design.biz/service/,A,18,17,2
NTT株式会社,https://group.ntt,〒168-0063 東京都杉並区和泉2,0120-584-400,,SNS platform + operation service,https://group.ntt/jp/newsrelease/2016/backno2016.html | https://group.ntt/jp/contact/ | https://group.ntt/jp/group/product/ | https://group.ntt/jp/group/product/category/business.html,A,18,38,0
株式会社cantik,https://cantik.co.jp,〒252-0314 神奈川県相模原市南区南台5,080-7084-3102,,SNS運用 / SNSマーケティング,https://cantik.co.jp/seitai/ | https://cantik.co.jp/about/ | https://cantik.co.jp/contact/ | https://cantik.co.jp/contact/?service=web,A,18,88,18
株式会社エムアイエフ,https://www.elevendesign.online,〒260-0021 千葉県千葉市中央区新宿2,,,SNS運用,https://www.elevendesign.online/archives/11014 | https://www.elevendesign.online/company | https://www.elevendesign.online/profile | https://www.elevendesign.online/contact,A,18,15,3
株式会社リル,https://marketing.lill.co.jp,〒440-0876 愛知県豊橋市西松山町3,,,SNS運用,https://marketing.lill.co.jp/ | https://marketing.lill.co.jp/business/ | https://marketing.lill.co.jp/form/ | https://marketing.lill.co.jp/article102/,A,18,4,0
Aidma Holdings Inc. All Rights Reserved.,https://biz-maps.com,〒106-0032 東京都港区六本木3,,,SNSマーケティング / SNS運用代行,https://biz-maps.com/s/m-inds/277 | https://biz-maps.com/contact,A,18,12,1
マイキャディー株式会社,https://mycaddy.co.jp,〒222-0033 神奈川県横浜市港北区新横浜2,,,SNS platform + operation service,https://mycaddy.co.jp/news/press-alligate | https://mycaddy.co.jp/,A,18,28,0
株式会社シーエムエー,https://www.akindo2000.net,〒430-7715 静岡県浜松市中央区板屋町1,053-459-1510,,SNS platform + operation service,https://www.akindo2000.net/webapp/ | https://www.akindo2000.net/internetad/partner-support.php | https://www.akindo2000.net/company/ | https://www.akindo2000.net/company/about.php,A,18,10,0
株式会社みらい,https://sunrise-mirai.com,〒231-0033 神奈川県横浜市中区長者町9,045-212-3220,,SNS運用代行 / SNS運用,https://sunrise-mirai.com/recruit/ | https://sunrise-mirai.com/service/ | https://sunrise-mirai.com/company/ | https://sunrise-mirai.com/contact/,A,18,14,0
EXPACT株式会社,https://expact.jp,〒430-0928 静岡県浜松市中央区板屋町1,050-3562-7333,,SNS運用代行 / SNSマーケティング,https://expact.jp/promotion/ | https://expact.jp/about/ | https://expact.jp/seo-writing/ | https://expact.jp/contact/,A,18,7,2
FUN-CREATE株式会社,https://fun-create.co.jp,〒445-0077 愛知県 西尾市 新渡場町大西5,0563-53-7773,,SNSマーケティング / SNS運用,https://fun-create.co.jp/partner-aao-mizuno-designer-recruit-2026/ | https://fun-create.co.jp/about/ | https://fun-create.co.jp/contact/,A,18,11,0
株式会社インテライト,https://interrelite.co.jp,〒459-8009 愛知県名古屋市緑区清水山1,,,SNS運用 / SNSマーケティング / SNS運用代行,https://interrelite.co.jp/service/ | https://interrelite.co.jp/service/web/ | https://interrelite.co.jp/service/sns/ | https://interrelite.co.jp/service/applink/,A,18,6,0
株式会社キャディッシュ,https://www.489ban.net,〒506-0045 岐阜県高山市赤保木町1,0120-489-468,,SNS platform + operation service,https://www.489ban.net/services/489ban/faq_489ban/ | https://www.489ban.net/services/ | https://www.489ban.net/services/489ban/ | https://www.489ban.net/services/web/,A,18,313,0
株式会社grandioso,https://grandioso-sys.com,〒664-0025 兵庫県伊丹市奥畑1,,,SNS platform + operation service,https://grandioso-sys.com/ | https://grandioso-sys.com/industry | https://grandioso-sys.com/about | https://grandioso-sys.com/contact,A,18,26,0
