company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
株式会社アキデザイン,https://www.akidesign.co.jp,〒933-0804 富山県高岡市問屋町2,0766-24-0479,,LINE公式アカウント運用,https://www.akidesign.co.jp/line-support/,A,18,12,0
株式会社Lien,https://www.lien-fukui.com,〒916-0147 福井県丹生郡越前町内,,,Instagram運用代行 / LINE公式アカウント運用代行 / SNS運用 / SNS運用代行,https://www.lien-fukui.com/company/ | https://www.lien-fukui.com/ | https://www.lien-fukui.com/contact/ | https://www.lien-fukui.com/company/,A,18,4,0
株式会社NAC,https://www.nac-mob.jp,〒106-0044 東京都港区東麻布1,03-6228-0281,,TikTok運用代行 / SNS運用代行,https://www.nac-mob.jp/ | https://www.nac-mob.jp/reason/ | https://www.nac-mob.jp/service/ | https://www.nac-mob.jp/company/,A,18,6,0
株式会社 サム・コミュニケーションズ,https://sam-line-at.me,〒990-0042 山形県山形市七日町2,023-687-1925,,LINE公式アカウント運用,https://sam-line-at.me/ | https://sam-line-at.me/inquiry/,A,18,10,0
法人：スライムワークデザイン株式会社,https://slime-work.com,〒064-0805 北海道札幌市中央区南5,050-5574-2060,,SNS運用代行,https://slime-work.com/aboutus/ | https://slime-work.com/service/ | https://slime-work.com/contact/,A,18,35,0
株式会社 ZEN,https://www.zen-dionysos.com,〒271-0052 千葉県松戸市新作1,,,SNS運用 / SNS運用代行,https://www.zen-dionysos.com/web?srsltid=AfmBOor2X7ve9FDx9KveEu97RW8kGxe_ooFd0UtGy7Q37TwUZmkPfKVo | https://www.zen-dionysos.com/contact | https://www.zen-dionysos.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81,A,18,4,0
株式会社シェアスタック,https://www.surestack.net,〒107-0062 東京都港区南青山2,011-522-9739,,SNS運用代行 / SNS運用,https://www.surestack.net/post/20260420 | https://www.surestack.net/corporate-branding | https://www.surestack.net/company | https://www.surestack.net/about-us,A,18,35,6
経営基盤支援センター株式会社,https://shiencenter.jp,〒006-0012 北海道札幌市手稲区富岡2,0120-67-2238,,SNS運用,https://shiencenter.jp/ | https://shiencenter.jp/services/ | https://shiencenter.jp/about/ | https://shiencenter.jp/contact/,A,18,4,0
株式会社EYLホールディングス,https://eyl-holdings.co.jp,〒041-0853 北海道函館市中道1,,,SNS運用代行 / SNS運用,https://eyl-holdings.co.jp/service/sns/ | https://eyl-holdings.co.jp/professionals-dx/ | https://eyl-holdings.co.jp/retail-services-dx/ | https://eyl-holdings.co.jp/company-profile/,A,18,130,0
株式会社トモデザイン,https://tomodesign.co.jp,〒812-0011 福岡県福岡市博多区 博多駅前二丁目,,,SNS platform + operation service,https://tomodesign.co.jp/project/ | https://tomodesign.co.jp/company/ | https://tomodesign.co.jp/inquiry/,A,18,145,0
2021 株式会社MARKELINE,https://www.lstepoffcial.com,〒600-8423 京都府京都市下京区釘隠町2,,,LINE公式アカウント運用代行,https://www.lstepoffcial.com/service_post/02/ | https://www.lstepoffcial.com/about/ | https://www.lstepoffcial.com/service/ | https://www.lstepoffcial.com/contact/,A,18,12,0
有限会社オリエントコーティング,https://www.orientcoating.jp,〒984-0002 宮城県仙台市若林区卸町東2,022-788-2960,,SNS運用支援,https://www.orientcoating.jp/support/ | https://www.orientcoating.jp/company/ | https://www.orientcoating.jp/service/ | https://www.orientcoating.jp/contact/,A,18,20,0
合同会社Trash-B,https://www.trash-b.tech,〒989-3123 宮城県仙台市青葉区錦ケ丘6,022-200-2774,,SNS運用 / SNS運用代行,https://www.trash-b.tech/cases/ | https://www.trash-b.tech/service/ | https://www.trash-b.tech/company/ | https://www.trash-b.tech/contact/,A,18,39,0
株式会社ドリームゲート,https://dreamgate-inc.com,〒990-0831 山形県山形市西田2,023-645-1515,,SNS運用,https://dreamgate-inc.com/corporate/ | https://dreamgate-inc.com/business/ | https://dreamgate-inc.com/corporate/ | https://dreamgate-inc.com/contactus/,A,18,17,0
株式会社アビリブ,https://abilive.co.kr,〒150-0041 東京都渋谷区神南1,03-6712-6018,,SNSマーケティング / SNS運用,https://abilive.co.kr/,A,18,4,0
