_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード,official_name,name_source,audit_state,audit_reason,category,evidence,resolved_url
2,株式会社クイックリー,https://quickly.co.jp,〒513-0027 三重県鈴鹿市岡田3,06-6770-9895,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%AA%E3%83%BC+%E4%B8%89%E9%87%8D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9/data=!4m7!3m6!1s0x60038b947a555a1b:0x2b775078ff984f53!8m2!3d34.8796923!4d136.5503969!16s%2Fg%2F11fnbd7s0y!19sChIJG1pVepSLA2ARU0-Y_3hQdys?authuser=0&hl=ja&rclk=1,https://quickly.co.jp/contact/,,,,,,,,,,,リスティング・インターネット広告代理店｜株式会社クイックリー,official,exclude,direct_meo_competitor,,,https://quickly.co.jp
3,ZOOST株式会社,https://zoost.co.jp,大阪市 南本町１丁目８−１４ JRE堺筋本町ビル 9階,050-3135-3589,https://www.google.com/maps/place/ZOOST%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x6000e6e2c51a7207:0x879b0b1805ba9bd2!8m2!3d34.6829494!4d135.5069413!16s%2Fg%2F1tdb8qp6!19sChIJB3IaxeLmAGAR0pu6BRgLm4c?authuser=0&hl=ja&rclk=1,https://zoost.co.jp/contact/,,,,,,,,,,,ZOOST株式会社,official,valid,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング / Web広告,https://zoost.co.jp
4,株式会社日相印刷,https://www.print-nisso.com,〒252-0328 神奈川県相模原市南区麻溝台8,042-748-6020,https://www.google.com/maps/place/%EF%BC%88%E6%A0%AA%EF%BC%89%E6%97%A5%E7%9B%B8%E5%8D%B0%E5%88%B7%2F%E6%97%A5%E7%9B%B8%E5%87%BA%E7%89%88/data=!4m7!3m6!1s0x6018fe64f9307947:0x4b07a1296a26cc08!8m2!3d35.5265975!4d139.398648!16s%2Fg%2F1vvyy3n6!19sChIJR3kw-WT-GGARCMwmaimhB0s?authuser=0&hl=ja&rclk=1,https://www.print-nisso.com/contact/postmail.html,,,,,,,,,,,株式会社日相印刷,existing,exclude,target_service_unconfirmed,,,https://www.print-nisso.com
5,㈱ティーコネクト,https://tct-connect.com,〒064-0809 北海道札幌市中央区南９,011-206-6717,https://www.google.com/maps/place/%E3%88%B1%E3%83%86%E3%82%A3%E3%83%BC%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88/data=!4m7!3m6!1s0x5f0b29c12951caa7:0xa71b3f4f0e1ab1aa!8m2!3d43.0482559!4d141.3524434!16s%2Fg%2F11ty52557r!19sChIJp8pRKcEpC18RqrEaDk8_G6c?authuser=0&hl=ja&rclk=1,https://tct-connect.com/contact/,,,,,,,,,,,株式会社ティーコネクト,official,exclude,direct_meo_competitor,,,https://tct-connect.com
6,㈱愛京広告,https://aikyo-ad.com,〒059-1365 北海道苫小牧市字植苗1,0120-37-0098,https://www.google.com/maps/place/%E3%88%B1%E6%84%9B%E4%BA%AC%E5%BA%83%E5%91%8A/data=!4m7!3m6!1s0x5f751efec2f7989b:0xe5c726add9482103!8m2!3d42.7336478!4d141.7189699!16s%2Fg%2F11gh2wh9_j!19sChIJm5j3wv4edV8RAyFI2a0mx-U?authuser=0&hl=ja&rclk=1,https://aikyo-ad.com/contact/,,,,,,,,,,,株式会社愛京広告,official,valid,,Web広告・デジタル集客,Web広告 / インターネット広告 / Google広告,https://aikyo-ad.com
7,人にやさしいクリエイション,https://hitoniyasashii.com,〒064-0804 北海道札幌市中央区南4,011-600-0174,https://www.google.com/maps/place/%E4%BA%BA%E3%81%AB%E3%82%84%E3%81%95%E3%81%97%E3%81%84%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%82%B7%E3%83%A7%E3%83%B3/data=!4m7!3m6!1s0x5f0b29e72e223e11:0xe1f147bcb5288b71!8m2!3d42.9961379!4d141.4535288!16s%2Fg%2F11x16_cj6z!19sChIJET4iLucpC18RcYsotbxH8eE?authuser=0&hl=ja&rclk=1,https://hitoniyasashii.com/contact/,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://hitoniyasashii.com
8,合同会社テンシステム,http://ten-system.com,下関市 秋根東町３−３９,083-250-6616,https://www.google.com/maps/place/%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%E3%83%86%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0/data=!4m7!3m6!1s0x3543a2bb2feaff49:0x8db6cc6919f759be!8m2!3d34.010836!4d130.9537899!16s%2Fg%2F1pyqhbmsy!19sChIJSf_qL7uiQzURvln3GWnMto0?authuser=0&hl=ja&rclk=1,,,,,,,,,,,,合同会社テンシステム,existing,exclude,target_service_unconfirmed,,,http://ten-system.com
9,株式会社人材屋,http://jinzai-ya.co.jp,〒802-0006 福岡県北九州市小倉北区魚町1,093-513-2380,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E4%BA%BA%E6%9D%90%E5%B1%8B/data=!4m7!3m6!1s0x3543bf4da68ccda3:0xf67e19318953feaf!8m2!3d33.884439!4d130.880624!16s%2Fg%2F11c3n1q337!19sChIJo82Mpk2_QzURr_5TiTEZfvY?authuser=0&hl=ja&rclk=1,https://jinzai-ya.co.jp/inquiry/,,,,,,,,,,,株式会社人材屋,official,valid,,SNS運用・SNS広告,SNS運用代行 / SNS運用,http://jinzai-ya.co.jp
10,望月正明広告事務所,https://mocchy5.sakura.ne.jp,〒486-0856 愛知県春日井市梅ヶ坪町6,090-6591-8855,https://www.google.com/maps/place/%E6%9C%9B%E6%9C%88%E6%AD%A3%E6%98%8E%E5%BA%83%E5%91%8A%E4%BA%8B%E5%8B%99%E6%89%80/data=!4m7!3m6!1s0x6003736a2e8c221b:0x288ca2b4750385cd!8m2!3d35.2535233!4d136.97881!16s%2Fg%2F11p9wmk7cl!19sChIJGyKMLmpzA2ARzYUDdbSijCg?authuser=0&hl=ja&rclk=1,https://mocchy5.sakura.ne.jp#sec005,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://mocchy5.sakura.ne.jp
11,WebPromote Inc.,https://www.webpromote.jp,〒047-0028 北海道小樽市相生町8,0134-32-4234,https://www.google.com/maps/place/%E3%82%A6%E3%82%A7%E3%83%96%E3%83%97%E3%83%AD%E3%83%A2%E3%83%BC%E3%83%88/data=!4m7!3m6!1s0x5f0ae05a22a17e0d:0x8b824acf987aef1b!8m2!3d43.189952!4d141.004803!16s%2Fg%2F1tl1n76q!19sChIJDX6hIlrgCl8RG-96mM9Kgos?authuser=0&hl=ja&rclk=1,https://www.webpromote.jp/inquiry/,,,,,,,,,,,"有限会社ウェブプロモート ｜ WEBPROMOTE,Inc.",official,valid,,Web制作・クリエイティブ,ホームページ制作 / Webサイト制作 / ウェブサイト制作,https://www.webpromote.jp
