_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード,resolved_name,name_source,name_source_url,name_state,name_reason
3,株式会社愛京広告,https://aikyo-ad.com,〒059-1365 北海道苫小牧市字植苗1,0120-37-0098,https://www.google.com/maps/place/%E3%88%B1%E6%84%9B%E4%BA%AC%E5%BA%83%E5%91%8A/data=!4m7!3m6!1s0x5f751efec2f7989b:0xe5c726add9482103!8m2!3d42.7336478!4d141.7189699!16s%2Fg%2F11gh2wh9_j!19sChIJm5j3wv4edV8RAyFI2a0mx-U?authuser=0&hl=ja&rclk=1,https://aikyo-ad.com/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / インターネット広告 / Google広告,株式会社愛京広告（英語表記 AIKYO AD Inc,labeled,https://aikyo-ad.com/%E6%A6%82%E8%A6%81/,confirmed,
15,Gastroduce Japan株式会社,https://gastroduce-japan.co.jp,〒812-0027 福岡県福岡市博多区下川端町１,092-292-3104,https://www.google.com/maps/place/%E9%A3%9F%E5%93%81EC%E7%89%B9%E5%8C%96%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88-GastroduceJapan%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x354191efd81fd4b3:0xc49c013df286e6ac!8m2!3d33.5862907!4d130.4177899!16s%2Fg%2F11vjkz2svf!19sChIJs9Qf2O-RQTURrOaG8j0BnMQ?authuser=0&hl=ja&rclk=1,https://gastroduce-japan.co.jp/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / LP制作,Gastroduce Japan株式会社,labeled,https://gastroduce-japan.co.jp/company/,confirmed,
30,株式会社Revive,https://www.reviveinc.jp,〒060-0061 北海道札幌市中央区南1,011-252-9743,,https://www.reviveinc.jp/contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / デジタルマーケティング,株式会社Revive,labeled,https://www.reviveinc.jp/company,confirmed,
32,株式会社AandI,https://8-aandi-8.co.jp,〒651-0087 兵庫県神戸市中央区御幸通４,090-3716-8753,,https://8-aandi-8.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNSマーケティング / TikTok運用,株式会社AandI（エーアンドアイ,labeled,https://8-aandi-8.co.jp/company/,confirmed,
46,株式会社オンエモーション,https://on-emotion.com,〒980-0821 宮城県仙台市青葉区春日町1,022-797-0475,,https://on-emotion.com/contact/,,,,,,,,,Web制作・クリエイティブ,ウェブサイト制作 / ウェブ制作,株式会社オンエモーション,labeled,https://on-emotion.com/company/,confirmed,
59,東通インテグレート株式会社,https://www.totsug.co.jp,〒141-0031 東京都品川区西五反田1,03-5436-7265,,https://www.totsug.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,Web広告 / リスティング広告 / SEO対策,東通インテグレート株式会社,labeled,https://www.totsug.co.jp/about/,confirmed,
63,"Adoplanning Co.,Inc",https://adopura.com,〒399-4431 長野県伊那市西春近5,0265-76-5141,,https://adopura.com/contact_business/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / Web制作 / LP制作,株式会社アド・プランニング,labeled,https://adopura.com/company/,confirmed,
72,株式会社クロスフィット,https://x-fit.fit,〒920-0347 石川県金沢市松村町ヌ4,,,https://x-fit.fit/#contact,,,,,,,,,Web広告・デジタル集客,Webマーケティング / SEO対策,株式会社クロスフィット,labeled,https://x-fit.fit/#company,confirmed,
74,カンパーニュ株式会社,https://campagne.life,〒320-0851 栃木県宇都宮市鶴田町1,028-649-3565,,https://campagne.life/contact/,,,,,,,,,SNS運用・SNS広告,SNSマーケティング,地域の未来をデザインするカンパーニュ株式会社 | 持続可能なまちづくりと地域活性化,jsonld,https://campagne.life/,confirmed,
85,サンライズコーポレーション株式会社,https://sunrisecorporation.net,〒370-0823 群馬県高崎市中紺屋町2,0120-161-191,,https://sunrisecorporation.net/contact/,,,,,,,,,Web制作・クリエイティブ,ホームページ制作,サンライズコーポレーション株式会社,labeled,https://sunrisecorporation.net/company/,confirmed,
113,株式会社らふがき,https://laughgaki.com,〒490-1111 愛知県あま市甚目寺桑丸8,,,https://laughgaki.com/contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,株式会社らふがき,labeled,https://laughgaki.com/company/,confirmed,
151,株式会社ビー・オー・スタジオ,https://www.bostudio.co.jp,〒150-0043 東京都渋谷区道玄坂1,03-5784-1045,,https://www.bostudio.co.jp/contact/,,,,,,,,,Web広告・デジタル集客,ウェブマーケティング / デジタルマーケティング / 広告運用,株式会社ビー・オー・スタジオ,labeled,https://www.bostudio.co.jp/company/,confirmed,
152,合同会社アイフィルム,https://www.ifilm.co.jp,〒949-1352 新潟県糸魚川市大字能生2,025-556-6257,,https://www.ifilm.co.jp/contact,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作,合同会社アイフィルム,body_legal,https://www.ifilm.co.jp/company,confirmed,
155,株式会社ディーシーアンドエー,https://dc-a.co.jp,〒604-8242 京都府京都市中京区柳水町８,,,https://dc-a.co.jp/contact,,,,,,,,,Web広告・デジタル集客,ウェブマーケティング / デジタルマーケティング / Web広告,ＤＣ＆Ａ 株式会社ディーシーアンドエー,jsonld,https://dc-a.co.jp/about/,confirmed,
