company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
株式会社キャディッシュ,https://www.489ban.net,〒506-0045 岐阜県高山市赤保木町1,0120-489-468,,SNS platform + operation service,https://www.489ban.net/services/web/ | https://www.489ban.net/services/ | https://www.489ban.net/services/489ban/ | https://www.489ban.net/services/everyplus1/,A,18,342,0
コンサルは島根の株式会社Vistainnovate,https://vistainnovate.jp,〒690-0845 島根県松江市西茶町4,,,SNS運用,https://vistainnovate.jp/column/detail/20260723082419/ | https://vistainnovate.jp/contact/ | https://vistainnovate.jp/access/,A,18,212,0
合同会社SOL COMODA,https://minpaku-ehime.com,〒581-0045 大阪府八尾市西木の本2,090-8196-7107,,SNSマーケティング,https://minpaku-ehime.com/first/ | https://minpaku-ehime.com/intro/ | https://minpaku-ehime.com/contact/ | https://minpaku-ehime.com/contact/,A,18,30,1
合同会社ネットランド,https://www.netland-gk.co.jp,〒819-0030 福岡県福岡市西区室見ヶ丘1,,,SNS運用,https://www.netland-gk.co.jp/ | https://www.netland-gk.co.jp/service/ | https://www.netland-gk.co.jp/service/website/ | https://www.netland-gk.co.jp/service/ec-site/,A,18,4,15
合同会社CREWS SHIP（クルーズシップ）,https://crews-ship.com,〒722-0035 広島県尾道市土堂2,,,SNS platform + operation service,https://crews-ship.com/,A,16,30,0
株式会社コネクター・ジャパン,https://cnctor.jp,〒105-0004 東京都港区新橋5,092-482-1111,,SNS運用支援 / SNS運用,https://cnctor.jp/%E5%B1%95%E7%A4%BA%E4%BC%9A/2024-09-05-01/ | https://cnctor.jp/service/ | https://cnctor.jp/service/hotel-service-list/ | https://cnctor.jp/service/linesolution-service-list/,A,14,78,1
株式会社BizPlatform（英語表記：BizPlatform Inc.),https://zeinavi.jp,〒330-0802 埼玉県さいたま市大宮区宮町4,0120-999-411,,SNS運用,https://zeinavi.jp/?p=3699 | https://zeinavi.jp/?page_id=22 | https://zeinavi.jp/?page_id=20,A,12,29,0
株式会社Relic（Relic Inc.）,https://relic.co.jp,〒790-0012 愛媛県松山市湊町4,,,SNS platform + operation service,https://relic.co.jp/news/press-release/61071/ | https://relic.co.jp/about_us/ | https://relic.co.jp/services/ | https://relic.co.jp/services/incubation_tech/,A,12,3,0
株式会社パソナ地方創生,https://chihousousei.jp,〒107-0062 東京都港区南青山3,03-6832-7366,,SNS platform + operation service,https://chihousousei.jp/%E9%A6%99%E5%B7%9D%E7%9C%8C%E3%81%AE%E8%A6%B3%E5%85%89%E8%B3%87%E6%BA%90%E3%82%92%E6%B4%BB%E3%81%8B%E3%81%97%E3%81%9F%E5%95%86%E5%93%81%E9%96%8B%E7%99%BA%E3%82%92%E9%80%9A%E3%81%97%E3%81%A6%E3%80%81/ | https://chihousousei.jp/about/ | https://chihousousei.jp/service/ | https://chihousousei.jp/contact/,A,12,41,0
2023 NOVARCA Inc.,https://www.novarca.jp,〒101-0054 東京都千代田区神田錦町2,03-6773-9107,,SNS platform + operation service,https://www.novarca.jp/seminar/20251119/ | https://www.novarca.jp/about/ | https://www.novarca.jp/service/ | https://www.novarca.jp/company/,A,12,6,0
株式会社たべごとカンパニー,https://foodoffice357.amebaownd.com,〒402-0040 ◆大分県の名城（べっぷゆけむり大学） ◆留学生向け城下町講義（大分大学経済学部）平成2,,,SNS platform + operation service,https://foodoffice357.amebaownd.com/pages/176129/page_201511032133 | https://foodoffice357.amebaownd.com/pages/141249/profile | https://foodoffice357.amebaownd.com/pages/176131/page_201511032134,A,12,31,0
合同会社TASUKU,https://seaglass.jp,〒739-0034 広島県廿日市市宮内4,0829-59-1114,,SNSマーケティング,https://seaglass.jp/2024/12/05/14syunen/ | https://seaglass.jp/contact/ | https://seaglass.jp/category/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/ | https://seaglass.jp/category/%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/company-%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/,A,12,6,0
株式会社SALT,https://salt.camp,〒819-0168 福岡県福岡市西区今宿駅前1,092-517-4321,,SNS platform + operation service,https://salt.camp/company/ | https://salt.camp/about/ | https://salt.camp/contact/,A,12,82,0
株式会社テクノ総合コンサルティング,https://technojp.net,〒675-0021 兵庫県加古川市尾上町安田1,090-9255-4220,,SNS platform + operation service,https://technojp.net/videocontentproduction/ | https://technojp.net/home-services/ | https://technojp.net/other-businesses/ | https://technojp.net/company/,A,12,24,0
株式会社トリップシード,https://tripseed.jp,〒194-0003 東京都町田市小川7,,,SNS運用,https://tripseed.jp/company/ | https://tripseed.jp/service/ | https://tripseed.jp/contact/ | https://tripseed.jp/contact/,A,10,2,0
株式会社 地域環境計画研究所,https://www.ckkplan.net,〒660-0814 兵庫県尼崎市杭瀬本町1,,,SNS platform + operation service,https://www.ckkplan.net/archives/127 | https://www.ckkplan.net/ | https://www.ckkplan.net/contact,A,8,2,0
"AQUASTAR Inc, All Rights Reserved.",https://aqua-star.co.jp,〒104-0045 東京都中央区築地1,03-5550-8511,,SNSマーケティング,https://aqua-star.co.jp/works/kurayoshi-hakkenden/ | https://aqua-star.co.jp/service/ | https://aqua-star.co.jp/company/ | https://aqua-star.co.jp/contact/,C,4,0,0
有限会社エスプロデュース,https://s-produce.com,〒102-0074 東京都千代田区九段南1,,,SNS platform + operation service,https://s-produce.com/result/result-48/ | https://s-produce.com/ | https://s-produce.com/contact/,C,4,0,0
株式会社マイコンシェルジュ,https://www.myconcierge.jp,〒737-0137 広島県呉市広小坪1,,,SNS platform + operation service,https://www.myconcierge.jp/aboutus | https://www.myconcierge.jp/,C,4,0,0
