"_row","company_name","url","address","phone","maps_url","contact_url","message","sent_at","status","error_reason","screenshot_path","provider_used","提案区分","H1","区分","検出ワード"
"18","株式会社ラボーラ・クリエイト","https://lbl-c.com","〒980-0021 宮城県仙台市青葉区中央4","050-6883-9320","","https://lbl-c.com/form/","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用"
"34","株式会社シロカラ","https://shirokara.co.jp","〒950-0922 新潟県新潟市中央区山二ツ3","","","https://shirokara.co.jp/seo-contact","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用 / Instagram運用"
"68","株式会社システムサポート","https://www.sts-inc.co.jp","〒920-0853 石川県金沢市本町1","","","https://www.sts-inc.co.jp/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用"
"75","株式会社ティーツーシー","https://t2c-inc.com","〒101-0054 東京都千代田区神田錦町3","03-6811-7994","","https://t2c-inc.com/contact/","","","","","","","","","Web制作・クリエイティブ","Web制作 / ランディングページ制作 / 動画制作"
"95","株式会社共立プラニング","https://www.kyoritz-p.co.jp","〒380-0813 長野県長野市鶴賀緑町1","","","https://www.kyoritz-p.co.jp/contact/","","","","","","","","","店舗・業種特化マーケティング","販売促進 / 地域プロモーション"
"105","株式会社らふがき","https://laughgaki.com","〒490-1111 愛知県あま市甚目寺桑丸8","","","https://laughgaki.com/contact","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用 / SNSマーケティング"
"119","DOTZ株式会社","https://dotz.co.jp","〒153-0042 東京都目黒区青葉台4","03-6804-8711","","https://dotz.co.jp/contact/","","","","","","","","","店舗・業種特化マーケティング","LINE公式アカウント運用"
"135","株式会社ニコモア","https://nicomore.jp","〒257-0003 神奈川県秦野市南矢名1","080-7404-8198","","https://nicomore.jp/#ol-section-contact","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用"
"188","株式会社チェリービー","https://cherrybee.tv","〒330-0062 埼玉県さいたま市浦和区仲町１","048-762-7907","","https://cherrybee.tv/contact/","","","","","","","","","Web制作・クリエイティブ","ホームページ制作 / ウェブサイト制作 / 動画制作"
"190","株式会社ウェブサイト","https://kj-lively-support.com","〒310-0021 茨城県水戸市南町三丁目","","","https://kj-lively-support.com/ict-consulting/","","","","","","","","","Web制作・クリエイティブ","ホームページ制作"
"198","株式会社ココピア","https://cocopia-works.jp","〒248-0006 神奈川県鎌倉市小町2","0467-81-5334","","https://cocopia-works.jp/contact/","","","","","","","","","店舗・業種特化マーケティング","マーケティング支援"
"219","合同会社Yorimichi","https://yorimichi-local.jp","〒221-0056 神奈川県横浜市神奈川区金港町5","","","https://yorimichi-local.jp/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用"
"220","株式会社M-support","https://msu.co.jp","〒444-3515 愛知県岡崎市桑谷町字西平地3","","","https://msu.co.jp/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用 / SNSマーケティング / Instagram運用"
"227","飛labo株式会社","https://hi-labo.jp","〒900-0001 沖縄県那覇市港町2","098-963-8190","","https://hi-labo.jp/form/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用 / SNSマーケティング"
"252","合同会社makoto","https://mmakoto-llc-sassa.cloud","〒657-0011 兵庫県神戸市灘区 天城通３","070-2285-1919","","https://mmakoto-llc-sassa.cloud/contact","","","","","","","","","SNS運用・SNS広告","SNS運用 / SNSマーケティング"
"300","株式会社グリーンホワイト","https://www.greenw.co.jp","〒305-0031 茨城県つくば市吾妻二丁目","","","https://www.greenw.co.jp/contact","","","","","","","","","店舗・業種特化マーケティング","地域プロモーション"
"301","合同会社経営採用戦略室","https://tokyo-legaloffice.com","〒103-0003 東京都中央区日本橋横山町7","070-8398-4144","","https://tokyo-legaloffice.com/ma/sell-contact/","","","","","","","","","店舗・業種特化マーケティング","マーケティング支援"
"302","テルウェル東日本株式会社","https://www.telwel-east.co.jp","〒135-0033 東京都江東区深川2","","","https://www.telwel-east.co.jp/contact/","","","","","","","","","店舗・業種特化マーケティング","マーケティング支援"
"377","株式会社ラビナス","https://labinas.jp","〒171-0031 東京都豊島区目白2","048-795-6994","","https://labinas.jp/contact/","","","","","","","","","店舗・業種特化マーケティング","集客支援"
"387","株式会社ハイパークリエーション東京","https://hypercreation.tokyo","〒101-0025 東京都千代田区神田佐久間町 3","03-5829-8515","","https://hypercreation.tokyo/contact-test","","","","","","","","","店舗・業種特化マーケティング","集客支援 / 販売促進"
"399","共栄印刷株式会社","https://kyoeiprinting.com","〒996-0025 山形県新庄市若葉町1","0233-22-6516","","https://kyoeiprinting.com/contact/","","","","","","","","","Web制作・クリエイティブ","Web制作 / ブランディング"
"409","株式会社コンパス","https://u-compass.jp","〒300-1204 茨城県牛久市岡見町2","029-819-2411","","https://u-compass.jp/contact/","","","","","","","","","Web広告・デジタル集客","Webマーケティング / 広告運用"
"421","株式会社みんぷろ","https://www.minpromotion.jp","〒215-0023 神奈川県川崎市麻生区片平6","044-379-2004","","https://minpromotion.jp/contact/","","","","","","","","","Web制作・クリエイティブ","ホームページ制作 / ウェブサイト制作 / ウェブ制作"
"423","有限会社オータス","https://ohtas.jp","〒400-0032 山梨県甲府市中央1","055-298-4300","","https://ohtas.jp/contact/","","","","","","","","","Web広告・デジタル集客","Web広告 / リスティング広告"
"441","アスピリアス株式会社","https://www.aspirias-home.com","〒333-0801 埼玉県川口市東川口4","048-400-0484","","https://www.aspirias-home.com/contact-8","","","","","","","","","SNS運用・SNS広告","SNSマーケティング"
"442","合同会社エイチワイ","https://hy-exad.com","〒356-0053 埼玉県ふじみ野市大井字西台8","049-257-8277","","https://hy-exad.com/contact/","","","","","","","","","Web制作・クリエイティブ","ホームページ制作 / Web制作"
"456","株式会社ビジョンアーチ","https://www.visionarch.jp","〒220-0004 神奈川県横浜市西区北幸2","050-5470-6795","","https://www.visionarch.jp/contact","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用"
"475","株式会社オロパス","https://www.pascaljp.com","〒060-0042 北海道札幌市中央区大通西6","011-206-6870","","https://www.pascaljp.com/form/contact.html","","","","","","","","","Web広告・デジタル集客","Webマーケティング / ウェブマーケティング / SEO対策"
"481","株式会社Hyatt","https://hyatt-japan.com","〒150-0031 東京都渋谷区桜丘町2","03-6712-7315","","https://hyatt-japan.com/contact/","","","","","","","","","店舗・業種特化マーケティング","マーケティング支援"
"488","合同会社 ふくしまRISE","https://www.fukushima-rise.jp","〒960-0211 福島県福島市飯坂町湯野字切湯ノ上1","","","https://www.fukushima-rise.jp/inquiry.html","","","","","","","","","Web広告・デジタル集客","デジタルマーケティング"
"502","株式会社Valusync","https://valusync.co.jp","〒790-0001 愛媛県松山市一番","050-8895-1324","","https://valusync.co.jp/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用 / SNSマーケティング"
"519","株式会社 Rise","https://www.riseagency.co.jp","〒108-0073 東京都港区三田3","03-5443-6700","","https://www.riseagency.co.jp/contact/","","","","","","","","","Web広告・デジタル集客","Web広告 / リスティング広告 / 広告運用"
"525","株式会社Essence","https://www.essence-enrich.jp","〒604-0881 京都府京都市中京区高倉通丸太町下る坂本町6","075-600-0448","","https://www.essence-enrich.jp/contact","","","","","","","","","SNS運用・SNS広告","SNSマーケティング"
"528","株式会社チャムズ","https://chams-co.com","〒802-0084 福岡県北九州市小倉北区香春口1","050-1808-6990","","https://chams-co.com/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用"
"533","株式会社アップデート","https://www.update-up.com","〒541-0056 大阪府大阪市中央区久太郎町2","","","https://www.update-up.com/contact","","","","","","","","","Web広告・デジタル集客","デジタルマーケティング"
"544","株式会社ジャパンアイディア","https://jih.jp","〒700-0907 岡山県岡山市北区下石井１","086-238-6635","","https://jih.jp/contact/","","","","","","","","","店舗・業種特化マーケティング","集客支援"
"547","株式会社ブシドー","https://bsdinc.co.jp","〒900-0013 沖縄県那覇市牧志3","03-6804-6548","","https://bsdinc.co.jp/contact/","","","","","","","","","SNS運用・SNS広告","SNS運用代行 / SNS運用 / SNS広告"
"574","株式会社KISYABAREE","https://kisyabaree.com","〒890-0056 鹿児島県鹿児島市下荒田3","","","https://kisyabaree.com/contact/","","","","","","","","","店舗・業種特化マーケティング","地域プロモーション"
"622","株式会社クロス・デイリー","https://cross-daily.jp","〒810-0001 福岡県福岡市中央区天神2","092-687-7111","","https://cross-daily.jp/contact/","","","","","","","","","Web制作・クリエイティブ","動画制作"
"628","株式会社スタッカー","https://stacker.co.jp","〒651-0082 兵庫県神戸市中央区小野浜町 1","078-332-1318","","https://stacker.co.jp/contact/","","","","","","","","","Web制作・クリエイティブ","Web制作 / ブランディング"
