company_name,url,address,phone,has_contact,service_evidence,pages_checked
Cinarra Systems Japan株式会社,https://cinarra.co.jp/,〒105-7511 東京都港区海岸1-7-1 東京ポートシティ竹芝オフィスタワー 11階 MAP,,True,デジタル広告 / インターネット広告,https://cinarra.co.jp/ | https://cinarra.co.jp/company/ | https://cinarra.co.jp/contact/ | https://cinarra.co.jp/contact/
INCLUSIVE株式会社,https://inclusive.co.jp/,〒105-6923 東京都港区虎ノ門4-1-1 神谷町トラストタワー,03-6427-2020,True,SNS運用 / 広告運用,https://inclusive.co.jp/ | https://inclusive.co.jp/services/ | https://inclusive.co.jp/about-us/ | https://inclusive.co.jp/about-us/vision/ | https://inclusive.co.jp/about-us/from-ceo/ | https://inclusive.co.jp/about-us/profile/ | https://inclusive.co.jp/about-us/history/
Index Exchange Japan株式会社,https://www.indexexchange.com/ja/,〒107-0061 東京都港区北青山 2-14-4 WeWork the ARGYLE aoyama View map ソリューション パブリッシャー向け ストリーミングTVパブリ,,True,デジタル広告 / インターネット広告,https://www.indexexchange.com/ja/ | https://www.indexexchange.com/ja/about/ | https://www.indexexchange.com/ja/about/team/ | https://www.indexexchange.com/ja/about/ix-labs/ | https://www.indexexchange.com/ja/about/sustainability/ | https://www.indexexchange.com/ja/about/diversity-equity-inclusion/ | https://www.indexexchange.com/ja/contact/
JICDAQ (デジタル広告品質認証機構),https://www.jicdaq.or.jp/,〒104-0061 東京都中央区銀座3-10-7ヒューリック銀座三丁目ビル 8階 プライバシーポリシー サイトポリシー このウェブサイトはCookieを使用します このサイトでは快,03-6264-2065,True,デジタル広告 / 運用型広告,https://www.jicdaq.or.jp/ | https://www.jicdaq.or.jp/contact/ | https://www.jicdaq.or.jp/about/ | https://www.jicdaq.or.jp/about/ | https://www.jicdaq.or.jp/english/
Priv Tech株式会社,https://privtech.co.jp/,〒105-6234 東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34階 代表取締役 中道 大輔,,True,デジタルマーケティング,https://privtech.co.jp/ | https://privtech.co.jp/service/ | https://privtech.co.jp/company/ | https://privtech.co.jp/service/trust360/telecommunications-business-act/ | https://privtech.co.jp/service/privacy-consulting/ | https://privtech.co.jp/service/post-cookie-consulting/ | https://privtech.co.jp/news/2026/07/privtech-agenticcommerceone-eng.html
SMN株式会社,https://www.so-netmedia.jp:443/,〒141-0032 東京都品川区大崎2丁目11番1号 大崎ウィズタワー12階 Map 関西事業所,,True,広告運用 / マーケティング支援,https://www.so-netmedia.jp:443/ | https://www.so-netmedia.jp:443/about/ | https://www.so-netmedia.jp:443/business/ | https://www.so-netmedia.jp:443/contact/
Supership株式会社,https://supership.jp/,"〒105-0001 東京都港区虎ノ門2-10-1 虎ノ門ツインビルディング 東棟11階 11F East Wing, Toranomon Twin building, 2-10-1",,True,デジタルマーケティング / デジタル広告 / インターネット広告,https://supership.jp/ | https://supership.jp/about/ | https://supership.jp/about/identity/ | https://supership.jp/about/message/ | https://supership.jp/about/company/ | https://supership.jp/about/group/ | https://supership.jp/about/history/
UUUMマーケティング株式会社,https://marketing.uuum.co.jp/,〒106-0032 東京都港区六本木7-15-9 住友不動産六本木セントラルタワー7階,,True,デジタル広告 / 運用型広告 / 広告運用,https://marketing.uuum.co.jp/ | https://marketing.uuum.co.jp/company
YoungOne広告株式会社,https://www.y-one.co.jp/,〒101-0025 東京都千代田区神田佐久間町3-28星野ビル 代表取締役 本橋 且規 新卒において株式会社アクシブドットコムに入社（現：株式会社CARTA HOLDINGS） そ,,True,インターネット広告 / デジタル広告,https://www.y-one.co.jp/
bfj株式会社,https://bf-j.com/,〒153-0063 東京都目黒区目黒1-4-16 目黒Gビル4・5階 福岡支社,,True,マーケティング支援 / デジタルマーケティング / 広告運用,https://bf-j.com/ | https://bf-j.com/about/ | https://bf-j.com/service/ | https://bf-j.com/company/ | https://bf-j.com/contact/
